"Interval start","Filtered packets"
0,14400
1,0
2,0
3,0
4,811824
5,3.65427e+07
6,4.06922e+07
7,3.82259e+07
8,4.0117e+07
9,2.54625e+07
10,6.18134e+07
11,5.87261e+07
12,3.98623e+07
13,5.29249e+07
14,2.14636e+07
15,7.48895e+07
16,4.10495e+07
17,3.24384e+07
18,5.78112e+07
19,4.20787e+07
20,4.9059e+07
21,3.20724e+07
22,8.19026e+07
23,3.99642e+07
24,3.22901e+07
25,6.81146e+07
26,5.05578e+07
27,3.5215e+07
28,5.04221e+07
29,4.04709e+07
30,5.55184e+07
31,3.24714e+07
32,5.94241e+07
33,4.42779e+07
34,3.93108e+07
35,7.44077e+07
36,3.75722e+07
37,3.79308e+07
38,7.86891e+07
39,3.86555e+07
40,3.67515e+07
41,7.86542e+07
42,3.22143e+07
43,4.95722e+07
44,5.89054e+07
45,4.67545e+07
46,5.40706e+07
47,7.53365e+07
48,2.56219e+07
49,6.18599e+07
50,5.85047e+07
51,4.78152e+07
52,6.75899e+07
53,4.59393e+07
54,2.9475e+07
55,8.57449e+07
56,6.34368e+07
57,3.25135e+07
58,6.1273e+07
59,5.86112e+07
60,4.84605e+07
61,3.43391e+07
62,6.9577e+07
63,6.47505e+07
64,3.67869e+07
65,6.30526e+07
66,5.18013e+07
67,5.3177e+07
68,5.92582e+07
69,3.91335e+07
70,5.44402e+07
71,6.84762e+07
72,5.07491e+07
73,4.46284e+07
74,2.85842e+07
75,8.40448e+07
76,2.95758e+07
77,6.02086e+07
78,4.34054e+07
79,3.33572e+07
80,6.31226e+07
81,4.52169e+07
82,3.36101e+07
83,3.16483e+07
84,5.15495e+07
85,5.1414e+07
86,3.46918e+07
87,5.16525e+07
88,4.958e+07
89,2.87522e+07
90,6.25758e+07
91,4.00039e+07
92,3.3459e+07
93,4.71766e+07
94,4.51544e+07
95,4.47282e+07
96,2.83992e+07
97,7.66703e+07
98,3.66111e+07
99,3.0098e+07
100,5.91316e+07
101,4.28509e+07
102,3.50192e+07
103,5.93562e+07
104,4.36217e+07
105,5.88723e+07
106,2.60527e+07
107,7.12283e+07
108,3.35217e+07
109,2.77197e+07
110,6.45286e+07
111,3.76024e+07
112,3.67349e+07
113,7.50687e+07
114,4.05533e+07
115,3.94284e+07
116,6.39126e+07
117,4.15664e+07
118,3.25246e+07
119,5.73708e+07
120,5.12826e+07
121,3.67605e+07
122,7.2343e+07
123,3.64058e+07
124,5.37401e+07
125,6.02313e+07
126,3.81973e+07
127,5.10408e+07
128,3.61552e+07
129,5.7448e+07
130,5.7012e+07
131,3.88893e+07
132,6.50763e+07
133,2.76433e+07
134,4.99408e+07
135,6.91743e+07
136,3.0453e+07
137,3.04311e+07
138,9.57791e+07
139,3.08986e+07
140,3.52571e+07
141,7.67024e+07
142,4.30552e+07
143,2.97549e+07
144,7.80839e+07
145,4.89246e+07
146,2.57576e+07
147,1.13405e+08
148,3.94302e+07
149,2.33405e+07
150,6.13293e+07
151,7.37658e+07
152,2.91582e+07
153,5.08664e+07
154,7.9196e+07
155,4.54276e+07
156,6.4633e+07
157,8.13871e+07
158,3.06804e+07
159,5.76435e+07
160,9.11329e+07
161,3.79376e+07
