"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,20168
9,14688
10,50729
11,50393
12,27532
13,25876
14,14410
15,70753
16,28836
17,20434
18,56758
19,25356
20,31224
21,22556
22,69012
23,24619
24,24784
25,62834
26,45206
27,24543
28,49148
29,30738
30,25764
31,23298
32,55191
33,38686
34,30314
35,64034
36,25800
37,29814
38,65148
39,33315
40,23634
41,84261
42,29092
43,50244
44,57724
45,38466
46,53307
47,59957
48,17409
49,64933
50,54611
51,46135
52,70194
53,33285
54,23316
55,85404
56,56283
57,24791
58,65469
59,55774
60,30401
61,25081
62,69200
63,44623
64,24305
65,58462
66,43589
67,45479
68,53316
69,31190
70,48595
71,71205
72,25952
73,45676
74,22031
75,83645
76,17596
77,60494
78,35975
79,23431
80,41891
81,35278
82,25330
83,21810
84,50774
85,35148
86,24504
87,45884
88,23007
89,20456
90,58985
91,24904
92,26462
93,41448
94,32178
95,22790
96,18560
97,61042
98,25104
99,21308
100,50211
101,27240
102,23751
103,59594
104,31938
105,42935
106,21060
107,72752
108,22550
109,19303
110,59205
111,24283
112,32825
113,57980
114,34089
115,27541
116,64420
117,24516
118,22226
119,55226
120,36743
121,25510
122,59565
123,22506
124,54746
125,55394
126,27336
127,41637
128,26286
129,55914
130,41461
131,32708
132,62343
133,19868
134,56128
135,62536
136,18859
137,23837
138,86896
139,20203
140,24728
141,76125
142,30136
143,21648
144,77648
145,31467
146,19708
147,125687
148,24761
149,17978
150,65448
151,63983
152,20079
153,56079
154,70549
155,22132
156,75261
157,91437
158,16115
159,72814
160,89093
161,24246
162,55319
163,67470
164,78453
165,42897
166,58206
167,71287
168,36225
169,49581
170,55429
171,28080
172,78506
173,59110
174,30836
175,53051
176,80090
177,43400
178,67378
179,29004
180,71812
181,66928
182,65438
183,65998
184,42080
185,93523
186,69769
187,55408
188,34443
189,83297
190,69439
191,24158
192,73610
193,45489
194,32104
195,60722
196,51659
197,30190
198,57759
199,54904
200,27588
201,49109
202,68177
203,30585
204,33738
205,44925
206,52224
207,21963
208,58100
209,60804
210,38380
211,30164
212,56341
213,34145
214,14083
215,64799
216,38747
217,20269
218,47329
219,54609
220,27650
221,23252
222,43783
223,39163
224,29625
225,40099
226,41781
227,31438
228,27488
229,51783
230,23575
231,17096
232,93155
233,23577
234,18725
235,53085
236,28305
237,20628
238,73317
239,27672
240,25849
241,52445
242,89123
243,25652
244,59300
245,77983
246,24548
247,68482
248,25876
249,45565
250,55462
251,39813
252,28870
253,71727
254,31373
255,35980
256,46962
257,49122
258,25452
259,22292
260,63580
261,27305
262,17742
263,94724
264,25806
265,25435
266,67698
267,24902
268,23549
269,77205
270,36477
271,27747
272,66563
273,57439
274,44136
275,52724
276,80799
277,30209
278,51316
279,90846
280,31812
281,30787
282,111198
283,29851
284,27823
285,57247
286,18891
287,52083
288,63098
289,21595
290,33846
291,64184
292,20023
293,52293
294,63085
295,27247
296,45157
297,56015
298,30425
299,20561
300,89789
301,21345
302,20859
303,82808
304,24421
305,19808
306,118056
307,26648
308,18452
309,81118
310,53454
311,24769
312,59162
313,67643
314,26700
315,63586
316,32237
317,36482
318,66297
319,26418
320,43521
321,60537
322,45008
323,23395
324,78842
325,34477
326,62845
327,40491
328,37473
329,52305
330,68704
331,14542
332,77057
333,48840
334,20060
335,106854
336,53523
337,66637
338,54971
339,36332
340,76295
341,28742
342,8056
343,0
344,0
345,21948
346,3303
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,8336
362,16248
363,0
364,0
365,8012
366,15366
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,29967
376,600
377,35447
378,7039
379,0
380,0
381,0
382,1620
383,23030
384,0
385,0
386,12509
387,13045
388,0
389,0
390,0
391,19693
392,41672
393,0
394,0
395,0
396,0
397,51959
398,5068
399,0
400,0
401,698
402,26462
403,0
404,65628
405,9601
406,0
407,43876
408,36055
409,0
410,0
411,0
412,9781
413,30672
414,0
415,0
416,4114
417,21422
418,0
419,0
420,0
421,17744
422,4213
423,0
424,4721
425,39422
426,0
427,0
428,0
429,0
430,0
431,45373
432,18732
433,0
434,32157
435,0
436,0
437,0
