"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,6.05772e+07
45,1.94052e+07
46,4.56413e+07
47,1.31067e+08
48,5.41627e+07
49,9.79734e+06
50,1.06736e+08
51,8.47117e+07
52,12816
53,1.52307e+08
54,8.13756e+07
55,1.16489e+06
56,1.06002e+08
57,6.69448e+07
58,3.66867e+07
59,9.61158e+06
60,2.00122e+07
61,1.92716e+07
62,1.58068e+07
63,2.96414e+07
64,3.03363e+07
65,2.79127e+07
66,3.99167e+07
67,2.87547e+07
68,4.27673e+07
69,3.68185e+07
70,3.04433e+07
71,4.29427e+07
72,2.05333e+07
73,3.93449e+07
74,1.93729e+07
75,4.76129e+07
76,3.35403e+07
77,4.79262e+07
78,7.92561e+07
79,8.26791e+07
80,4.72568e+07
81,8.78149e+07
82,9.32403e+07
83,4.96277e+07
84,4.82331e+07
85,5.1331e+07
86,2.736e+07
87,1.82136e+07
88,2.19461e+07
89,2.61968e+07
90,2.47599e+07
91,2.05995e+07
92,4.2334e+07
93,3.79472e+07
94,2.23367e+07
95,1.9849e+07
96,2.83786e+07
97,2.1287e+07
98,2.78254e+07
99,2.45054e+07
100,1.91091e+07
101,1.82372e+07
102,3.94426e+07
103,3.07574e+07
104,4.92436e+07
105,3.54685e+07
106,2.87612e+07
107,2.68623e+07
108,2.89759e+07
109,2.34479e+07
110,2.79321e+07
111,2.526e+07
112,2.74054e+07
113,2.77687e+07
114,2.86331e+07
115,4.64772e+07
116,4.98322e+07
117,3.07721e+07
118,3.88794e+07
119,3.73419e+07
120,7.0986e+07
121,7.31587e+07
122,7.06751e+07
123,5.48912e+07
124,3.03201e+07
125,5.10196e+07
126,2.64809e+07
127,3.85866e+07
128,2.53122e+07
129,4.10638e+07
130,3.8566e+07
131,3.71069e+07
132,3.4005e+07
133,3.53486e+07
134,3.83623e+07
135,3.32194e+07
136,3.80962e+07
137,4.85555e+07
138,3.88448e+07
139,3.73394e+07
140,3.80671e+07
141,4.0653e+07
142,4.02142e+07
143,3.97077e+07
144,3.80038e+07
145,4.07142e+07
146,4.45231e+07
147,3.20131e+07
148,6.10917e+07
149,2.60168e+07
150,3.84204e+07
151,3.68799e+07
152,3.31571e+07
153,3.64148e+07
154,4.25025e+07
155,4.70023e+07
156,4.43786e+07
157,3.77978e+07
158,5.47748e+07
159,2.17206e+07
160,2.62236e+07
161,2.61378e+07
162,2.5307e+07
163,4.8032e+07
164,3.87226e+07
165,3.77655e+07
166,4.69626e+07
167,4.0685e+07
168,3.47066e+07
169,2.34326e+07
170,4.02161e+07
171,4.22461e+07
172,2.433e+07
173,1.86613e+07
174,1.80105e+07
175,2.22303e+07
176,2.18985e+07
177,2.57117e+07
178,4.48646e+07
179,5.3692e+07
180,3.78812e+07
181,2.89397e+07
182,3.6362e+07
183,4.75977e+07
184,4.65786e+07
185,4.60475e+07
186,4.69909e+07
187,4.935e+07
188,4.62412e+07
189,5.23435e+07
190,5.12438e+07
191,4.33413e+07
192,1.82106e+07
193,1.99922e+07
194,4.19788e+07
195,5.73165e+07
196,4.90533e+07
197,3.69293e+07
198,5.48465e+07
199,3.21771e+07
200,2.85502e+07
201,2.66068e+07
202,3.7674e+07
203,3.56473e+07
204,3.94758e+07
205,3.28876e+07
206,3.24092e+07
207,1.89857e+07
208,4.21266e+07
209,4.25882e+07
210,3.27314e+07
211,4.66173e+07
212,4.90107e+07
213,5.51211e+07
214,5.98871e+07
215,5.84878e+07
216,4.10263e+07
217,3.09934e+07
218,3.49179e+07
219,3.76333e+07
220,4.29972e+07
221,4.66113e+07
222,3.79244e+07
223,3.50704e+07
224,1.73781e+07
225,2.76259e+07
226,6.52025e+07
227,4.23381e+07
228,5.18861e+07
229,3.6624e+07
230,3.47383e+07
231,4.07468e+07
232,4.83355e+07
233,3.18322e+07
234,2.72835e+07
235,3.38039e+07
236,3.00465e+07
237,2.76388e+07
238,2.77995e+07
