"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,49554
45,13720
46,24823
47,94677
48,36261
49,4039
50,76663
51,57450
52,36
53,77004
54,58352
55,1188
56,69656
57,42936
58,25082
59,10205
60,18596
61,18734
62,15216
63,26893
64,24252
65,26264
66,30510
67,25793
68,34620
69,31114
70,25022
71,31270
72,18659
73,28630
74,18242
75,33308
76,31625
77,36279
78,62726
79,59524
80,34054
81,102934
82,95998
83,38150
84,37366
85,35999
86,23350
87,16815
88,20543
89,23288
90,19307
91,18586
92,30038
93,28505
94,17915
95,17989
96,18328
97,19070
98,24841
99,18723
100,18010
101,16656
102,28353
103,26067
104,35447
105,28084
106,24700
107,23742
108,23921
109,19943
110,23754
111,23286
112,23756
113,25107
114,23758
115,31826
116,34315
117,25917
118,31795
119,31934
120,54040
121,55362
122,54935
123,43865
124,25860
125,40539
126,24982
127,33485
128,23034
129,31268
130,30066
131,30156
132,28124
133,31126
134,31799
135,26346
136,31264
137,34033
138,33458
139,30968
140,32288
141,32528
142,32166
143,31787
144,30988
145,31098
146,34267
147,25949
148,33880
149,18465
150,25368
151,26322
152,27886
153,30585
154,30782
155,34610
156,33808
157,28105
158,34976
159,20050
160,22508
161,21995
162,21374
163,34770
164,33350
165,27533
166,35718
167,30360
168,26757
169,19337
170,26853
171,31371
172,20284
173,16935
174,17355
175,18623
176,19982
177,25097
178,35344
179,34709
180,29375
181,27141
182,26296
183,37065
184,35277
185,33865
186,35874
187,38283
188,36520
189,36730
190,37361
191,29424
192,17104
193,18462
194,35227
195,46929
196,42423
197,31750
198,41358
199,28915
200,24473
201,23154
202,31892
203,27905
204,34466
205,24667
206,25778
207,18935
208,35209
209,34492
210,25489
211,36548
212,37222
213,45804
214,43365
215,42131
216,33822
217,24768
218,29079
219,30196
220,35166
221,34149
222,30682
223,23447
224,16241
225,23706
226,44162
227,32965
228,42887
229,31354
230,30075
231,32261
232,32336
233,24221
234,21861
235,28114
236,24984
237,26109
238,25117
239,30088
240,31051
241,27956
242,25787
243,25795
244,47396
245,79341
246,58080
247,38674
248,16782
249,116128
250,92429
251,44066
252,38964
253,26304
254,25634
255,30683
256,34442
257,27680
258,18893
259,32305
260,32565
261,37498
262,45521
263,33430
264,22879
265,31848
266,26283
267,32623
268,31135
269,35658
270,29456
271,32766
272,38414
273,52485
274,44585
275,47060
276,53752
277,38647
278,34852
279,29734
280,36949
281,40011
282,34503
283,43621
284,28940
285,29992
286,27792
287,32308
288,27462
289,17382
290,20601
291,21307
292,22093
293,23986
294,34755
295,34026
296,38371
297,36208
298,29240
299,31709
300,31271
301,18674
302,13951
303,68284
304,54107
305,54382
306,73392
307,34413
308,106763
309,50164
310,58029
311,26422
312,29835
313,29350
314,37322
315,40659
316,42571
317,33886
318,30838
319,35741
320,40825
321,41003
322,42507
323,40254
324,31125
325,22450
326,42765
327,41404
328,39301
329,45401
330,47016
331,34570
332,31983
333,32936
334,31269
335,29683
336,33216
337,30708
338,24936
339,27680
340,17177
341,14071
342,34760
343,27645
344,36778
345,56251
346,51263
347,59986
348,47111
349,69323
350,70984
351,45468
352,89751
353,67620
354,48468
355,41635
356,105044
357,67565
358,47574
359,71194
360,80179
361,77340
362,64736
363,67010
364,118179
365,53905
366,50435
367,68626
368,76668
369,39292
370,42221
371,141110
372,108468
373,29815
374,14913
375,0
376,0
377,0
378,0
379,0
380,25254
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,3432
393,23636
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,18479
408,11118
409,0
410,0
411,0
412,0
413,0
414,14440
415,16206
416,0
417,0
418,0
419,25802
420,1801
421,2280
422,29979
423,0
424,0
425,0
426,0
427,90043
428,18676
429,0
430,0
431,13626
432,16930
433,0
434,0
435,0
436,0
437,42535
438,6097
439,0
440,0
441,0
442,13826
