"Interval start","Filtered packets"
0,0
1,0
2,0
3,1600
4,96200
5,1.62747e+06
6,7.08198e+06
7,1.13801e+07
8,1.09206e+07
9,1.2368e+07
10,1.37961e+07
11,1.39496e+07
12,1.48997e+07
13,1.31648e+07
14,1.89527e+07
15,2.29841e+07
16,6.65774e+06
17,1.55371e+07
18,3.21998e+07
19,0
20,3.74656e+07
21,8.20555e+06
22,4.33446e+06
23,6.41581e+06
24,5.07657e+06
25,6.99123e+06
26,6.26953e+06
27,2.34307e+06
28,1.58682e+07
29,2.332e+07
30,2.47821e+07
31,2.22621e+07
32,6.43705e+06
33,1472
34,4.85244e+07
35,1472
36,4.77314e+07
37,1472
38,4.79034e+07
39,91784
40,3.27572e+07
41,1.51674e+07
42,530840
43,3.36772e+07
44,1.36513e+07
45,1.44796e+07
46,1.74725e+07
47,1.60013e+07
48,1.36705e+07
49,1.41092e+07
50,1.36085e+07
51,1.03593e+07
52,1.17912e+07
53,1.97615e+07
54,1.25986e+07
55,2.42819e+07
56,1.55418e+07
57,7.69243e+06
58,1.32553e+07
59,1.15548e+07
60,1.26429e+07
61,7.33839e+06
62,1.65384e+06
63,3.49058e+06
64,3.34451e+06
65,2.76532e+06
66,5.31386e+06
67,5.73942e+06
68,4.81949e+06
69,7.63156e+06
70,5.57841e+06
71,7.79729e+06
72,6.81259e+06
73,5.70006e+06
74,8.4046e+06
75,3.68348e+06
76,7.77447e+06
77,3.22172e+06
78,9.5648e+06
79,5.90322e+06
80,9.24951e+06
81,1.50347e+07
82,1.6233e+07
83,1.35925e+07
84,1.3409e+07
85,1.04412e+07
86,9.52027e+06
87,9.66738e+06
88,9.73436e+06
89,5.04548e+06
90,3.17967e+06
91,3.94903e+06
92,4.84806e+06
93,4.62877e+06
94,3.69983e+06
95,8.09538e+06
96,7.40138e+06
97,4.22688e+06
98,3.56248e+06
99,5.77901e+06
100,3.84395e+06
101,5.24733e+06
102,4.5003e+06
103,3.37039e+06
104,3.26439e+06
105,7.75561e+06
106,5.68461e+06
107,9.67349e+06
108,6.74481e+06
109,5.28366e+06
110,4.87769e+06
111,5.41254e+06
112,4.32882e+06
113,5.1559e+06
114,4.49791e+06
115,5.01781e+06
116,4.9902e+06
117,5.34321e+06
118,9.23257e+06
119,9.9893e+06
120,5.7009e+06
121,7.2849e+06
122,6.8721e+06
123,1.35553e+07
124,1.40954e+07
125,1.40174e+07
126,1.02022e+07
127,6.76536e+06
128,8.18394e+06
129,4.66445e+06
130,7.05386e+06
131,4.5351e+06
132,7.91038e+06
133,7.36277e+06
134,6.91144e+06
135,6.36003e+06
136,6.47466e+06
137,7.15126e+06
138,6.44134e+06
139,6.86211e+06
140,9.75872e+06
141,7.1245e+06
142,6.96492e+06
143,7.03204e+06
144,7.62962e+06
145,7.66486e+06
146,7.5099e+06
147,7.12942e+06
148,7.69431e+06
149,8.63286e+06
150,6.06912e+06
151,1.27597e+07
152,5.31382e+06
153,7.75607e+06
154,7.23247e+06
155,6.08126e+06
156,6.86483e+06
157,8.3343e+06
158,9.16193e+06
159,8.54507e+06
160,7.29345e+06
161,1.12236e+07
162,3.81127e+06
163,4.84335e+06
164,4.88925e+06
165,4.68802e+06
166,9.41786e+06
167,7.10106e+06
168,7.38982e+06
169,9.05213e+06
170,7.89542e+06
171,6.82251e+06
172,4.21708e+06
173,8.09734e+06
174,8.20185e+06
175,4.52687e+06
176,3.28629e+06
177,3.22406e+06
178,4.13392e+06
179,3.92269e+06
180,4.45087e+06
181,8.53519e+06
182,1.09091e+07
183,7.25174e+06
184,5.31879e+06
185,6.9257e+06
186,9.09082e+06
187,8.99014e+06
188,8.9779e+06
189,9.04322e+06
190,9.4407e+06
191,8.68273e+06
192,1.04724e+07
193,9.95938e+06
194,8.74586e+06
195,3.35354e+06
196,3.49135e+06
197,7.72578e+06
198,1.07381e+07
199,8.97997e+06
200,6.72746e+06
201,1.06556e+07
202,5.79716e+06
203,5.25106e+06
204,4.86539e+06
205,6.96126e+06
206,6.7995e+06
207,7.38643e+06
208,6.18835e+06
209,6.14376e+06
210,3.25039e+06
211,7.8294e+06
212,8.01103e+06
213,6.25742e+06
214,8.8782e+06
215,9.45189e+06
216,1.02579e+07
217,1.17351e+07
