"Interval start","Filtered packets"
0,0
1,0
2,0
3,4
4,105
5,2680
6,11624
7,18669
8,17919
9,20288
10,22636
11,22886
12,24438
13,21596
14,29894
15,37702
16,10920
17,23265
18,52814
19,0
20,59327
21,13470
22,5325
23,10540
24,8344
25,11476
26,10298
27,3860
28,26032
29,38248
30,40645
31,36512
32,10562
33,4
34,78316
35,4
36,76065
37,4
38,76662
39,152
40,51732
41,24880
42,12
43,54019
44,22396
45,21788
46,28662
47,26244
48,20407
49,23148
50,22328
51,15058
52,19348
53,32412
54,20666
55,37889
56,25496
57,12068
58,18460
59,18968
60,20740
61,12054
62,2728
63,5736
64,5500
65,4557
66,8728
67,9424
68,7917
69,12524
70,9164
71,12800
72,11189
73,9364
74,13796
75,6056
76,12765
77,5296
78,15696
79,9697
80,15180
81,24664
82,26632
83,21054
84,22000
85,17136
86,15620
87,15866
88,15976
89,8292
90,5232
91,6491
92,7970
93,7604
94,6086
95,13024
96,12152
97,6948
98,5854
99,9496
100,6320
101,8621
102,7393
103,5544
104,5368
105,12733
106,9337
107,15876
108,11077
109,8685
110,8016
111,8888
112,7112
113,8470
114,7392
115,8244
116,8201
117,8781
118,15156
119,16400
120,9362
121,11956
122,11284
123,22241
124,23125
125,22996
126,16740
127,11113
128,13313
129,7668
130,11580
131,7453
132,12985
133,12084
134,11348
135,10445
136,10633
137,11740
138,10582
139,11263
140,16017
141,11696
142,11441
143,11549
144,12528
145,12584
146,12333
147,11701
148,12632
149,14164
150,9965
151,20937
152,8728
153,12736
154,11877
155,9989
156,11268
157,13681
158,15037
159,14024
160,11976
161,18417
162,6265
163,7960
164,8040
165,7705
166,15457
167,11656
168,12132
169,14861
170,12961
171,11203
172,6929
173,13293
174,13465
175,7440
176,5405
177,5305
178,6796
179,6452
180,7317
181,14013
182,17900
183,11908
184,8737
185,11373
186,14920
187,14757
188,14733
189,14844
190,15496
191,14253
192,17185
193,16348
194,14356
195,5525
196,5743
197,12682
198,17628
199,14741
200,11049
201,17488
202,9525
203,8625
204,7996
205,11428
206,11165
207,12127
208,10166
209,10088
210,5345
211,12857
212,13148
213,10277
214,14568
215,15517
216,16832
217,19253
218,18700
219,12729
220,9636
221,10681
222,11673
223,13108
224,15060
225,11721
226,11593
227,5060
228,8344
229,21425
230,13305
231,15868
232,11065
233,10620
234,12525
235,15960
236,10085
237,8480
238,10341
239,9200
240,7805
241,8401
242,9684
243,9681
244,11844
245,8385
246,9864
247,25461
248,38460
249,22132
250,6874
251,26994
252,15632
253,17525
254,13261
255,13708
256,8805
257,9892
258,11233
259,15112
260,11801
261,5499
262,11978
263,11208
264,14421
265,21045
266,12772
267,7524
268,11797
269,10733
270,11028
271,12108
272,11230
273,10672
274,12748
275,16661
276,25097
277,18872
278,19428
279,16913
280,17389
281,12828
282,10204
283,16425
284,15199
285,15646
286,19300
287,10537
288,10861
289,10468
290,15504
291,11533
292,5881
293,6992
294,8252
295,8502
296,9508
297,17408
298,11597
299,14373
300,14536
301,10980
302,10785
303,13781
304,9768
305,6512
306,34705
307,33233
308,30556
309,2268
310,21419
311,30642
312,11252
313,19120
314,9058
315,10388
316,10301
317,17297
318,17256
319,16772
320,11701
321,11409
322,14132
323,14776
324,15290
325,14440
326,15664
327,13356
328,7510
329,16976
330,15032
331,14432
332,16506
333,19648
334,13824
335,12288
336,13165
337,12032
338,12900
339,11317
340,11152
341,10716
342,11312
343,6457
344,4948
345,16144
346,11304
347,14277
348,21456
349,26232
350,22528
351,21463
352,20305
353,19104
354,19975
355,22301
356,24786
357,20808
358,14931
359,21168
360,21748
361,20404
362,20182
363,25176
364,23704
365,18676
366,26961
367,17136
368,12020
369,23566
370,27992
371,27032
372,10418
373,37558
374,25548
375,13244
376,24906
377,16464
378,13376
379,9070
380,21344
381,15184
382,11072
383,17161
384,10868
385,10116
386,12396
387,10059
388,8239
389,5988
390,13717
391,8136
392,5980
393,7132
394,9090
395,8680
396,11160
397,13612
398,14534
399,9775
400,10033
401,12339
402,8393
403,7872
404,17755
405,9778
406,8432
407,9820
408,7232
409,12033
410,15860
411,18868
412,14232
413,9037
414,8012
415,11724
416,15248
417,16409
418,9655
419,10703
420,13491
421,12064
422,17880
423,9004
424,9553
425,26968
