"Interval start","Filtered packets"
0,1600
1,96208
2,1.26758e+06
3,6.91838e+06
4,1.10993e+07
5,1.05861e+07
6,1.72781e+07
7,1.91556e+07
8,2.05517e+07
9,1.71189e+07
10,1.41982e+06
11,4.40584e+07
12,4.39915e+06
13,2184
14,4.77792e+07
15,1472
16,4.78626e+07
17,6.67359e+06
18,3.35996e+07
19,8.2485e+06
20,6.77639e+06
21,6.05584e+06
22,9.20482e+06
23,8.47322e+06
24,2.74349e+06
25,1.67886e+07
26,2.6475e+07
27,2.47908e+07
28,2.62029e+07
29,767640
30,1472
31,4.80399e+07
32,1472
33,4.80349e+07
34,1.21245e+07
35,3.55339e+07
36,1.9135e+07
37,2.89169e+07
38,3.23745e+07
39,1.56373e+07
40,2.40219e+07
41,2.37354e+07
42,3.61544e+07
43,1.16656e+07
44,4.48436e+07
45,2.88637e+06
46,2.7825e+07
47,1.9615e+07
48,2184
49,3.7804e+07
50,1.00291e+07
51,1.75438e+07
52,3.01476e+07
53,1472
54,4.03034e+07
55,7.66602e+06
56,2.24626e+07
57,1.31689e+07
58,8.53153e+06
59,2.47603e+06
60,5.1567e+06
61,4.95783e+06
62,3.63954e+06
63,7.86958e+06
64,8.31417e+06
65,6.8541e+06
66,1.10266e+07
67,8.10614e+06
68,9.94567e+06
69,9.63962e+06
70,9.23771e+06
71,1.33225e+07
72,3.62221e+06
73,7.80826e+06
74,4.26302e+06
75,1.00078e+07
76,9.9373e+06
77,1.37325e+07
78,2.00502e+07
79,2.32648e+07
80,5.09252e+06
81,1.0339e+07
82,3.72435e+07
83,1472
84,3.86783e+07
85,8.33937e+06
86,7.35266e+06
87,2.95417e+06
88,5.87992e+06
89,6.60821e+06
90,4.2009e+06
91,4.87002e+06
92,1.04997e+07
93,9.13094e+06
94,5.03517e+06
95,4.31994e+06
96,6.59373e+06
97,5.56294e+06
98,7.18606e+06
99,5.86405e+06
100,3.55314e+06
101,2.85892e+06
102,9.3829e+06
103,5.48803e+06
104,1.024e+07
105,5.20756e+06
106,7.84957e+06
107,7.9668e+06
108,9.08772e+06
109,6.55693e+06
110,8.20462e+06
111,7.07915e+06
112,7.98442e+06
113,7.57009e+06
114,8.20262e+06
115,1.11473e+07
116,1.07868e+07
117,6.64943e+06
