"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,7213
45,4650
46,43657
47,31580
48,6
49,59903
50,16450
51,26512
52,49437
53,4
54,64165
55,12576
56,34821
57,21608
58,14002
59,4080
60,8472
61,8148
62,5981
63,12916
64,13648
65,11256
66,18004
67,13308
68,16324
69,15824
70,15161
71,21725
72,5956
73,12820
74,7009
75,16420
76,16280
77,21996
78,32884
79,38156
80,8352
81,15776
82,59866
83,4
84,60354
85,13682
86,9969
87,4860
88,9656
89,10850
90,6904
91,8000
92,17232
93,14985
94,8272
95,7100
96,10824
97,9137
98,11800
99,9632
100,5840
101,4709
102,15400
103,9016
104,16805
105,8556
106,12888
107,13076
108,14914
109,10768
110,13468
111,11620
112,13110
113,12428
114,13464
115,18293
116,17705
117,10920
118,16618
119,17217
120,27321
121,38116
122,13054
123,2536
124,55336
125,18276
126,7953
127,11868
128,9324
129,18653
130,16281
131,13200
132,10980
133,12429
134,13145
135,13012
136,14832
137,21905
138,16069
139,12224
140,16006
141,15476
142,18112
143,15228
144,15620
145,18430
146,15944
147,10064
148,20976
149,7630
150,7952
151,16652
152,13812
153,15888
154,19696
155,20856
156,15912
157,16025
158,19524
159,6920
160,5748
161,8924
162,9920
163,20208
164,16905
165,18044
166,21416
167,15824
168,14362
169,9544
170,18580
171,18700
172,11990
173,8236
174,7728
175,9885
176,9517
177,11608
178,20860
179,24712
180,15469
181,12274
182,15872
183,21062
184,21860
185,20604
186,21916
187,16970
188,21220
189,26888
190,20744
191,21538
192,3896
193,4464
194,15861
195,28059
196,24904
197,20668
198,7650
199,28964
200,13352
201,12829
202,16689
203,16162
204,16516
205,14113
206,14521
207,7996
208,20108
209,22073
210,15444
211,23588
212,25048
213,21512
214,28964
215,31120
216,3858
217,25068
218,14924
219,18052
220,21090
221,21044
222,16300
223,14516
224,3906
225,4136
226,16340
227,6901
228,18408
229,17848
230,14628
231,18441
232,17708
233,6208
234,10312
235,15663
236,13956
237,10492
238,11277
239,14301
240,13972
241,16624
242,10984
243,14245
244,24516
245,38084
246,4660
247,49754
248,23488
249,1764
250,48786
251,22120
252,6722
253,20760
254,15884
255,18700
256,20714
257,16536
258,7788
259,17261
260,15569
261,19324
262,25972
263,13801
264,11385
265,18528
266,15420
267,15710
268,16520
269,16200
270,11484
271,16138
272,17940
273,30936
274,23976
275,18558
276,16458
277,15688
278,15213
279,15621
280,22476
281,20644
282,23001
283,22740
284,11728
285,12872
286,11900
287,13804
288,5768
289,4280
290,7333
291,5940
292,5504
293,3792
294,19220
295,20580
296,25032
297,24137
298,15984
299,16988
300,23196
301,13164
302,6556
303,32752
304,27368
305,24915
306,25920
307,23260
308,10844
309,15313
310,25724
311,10752
312,9964
313,15173
314,24272
315,27032
316,18990
317,23462
318,18648
319,23356
320,21224
321,23404
322,25952
323,22860
324,24664
325,11980
326,26669
327,18785
328,19544
329,25744
330,25920
331,25145
332,19448
333,19748
334,16750
335,20220
336,16392
337,16648
338,15598
339,17196
340,10880
341,1728
342,16843
343,10848
344,9768
345,35151
346,35757
347,35024
348,25254
349,4
350,69542
351,6008
352,46416
353,29914
354,6
355,70164
356,5790
357,31862
358,18928
359,21344
360,53410
361,22446
362,2
363,60764
364,14636
365,23148
366,22612
367,45093
368,40668
369,20498
370,2
371,42023
372,29533
373,50555
374,22904
375,8732
376,8440
377,19728
378,10385
379,7809
380,17736
381,14156
382,10653
383,17432
384,13080
385,5264
386,5229
387,16748
388,7888
389,6565
390,7772
391,10156
392,9848
393,15957
394,18564
395,15584
396,8269
397,11992
398,18646
399,12046
400,11749
401,26576
402,17536
403,17420
404,17049
405,13060
406,16444
407,20236
408,18693
409,14252
410,12084
411,14506
412,19388
413,24912
414,25701
415,12451
416,13544
417,19744
418,18096
419,28108
420,9640
421,14260
422,9411
423,0
424,0
425,0
426,0
427,0
428,0
429,2
430,8835
431,0
432,0
433,0
434,0
435,24512
436,0
