"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,1600
5,88632
6,765304
7,1.35555e+07
8,1.07876e+07
9,1.02618e+07
10,1.0283e+07
11,1.03683e+07
12,1.05504e+07
13,9.61267e+06
14,1.00173e+07
15,1.43124e+07
16,9.66909e+06
17,1.01692e+07
18,9.92254e+06
19,1.02182e+07
20,1.06845e+07
21,1.01702e+07
22,1.03173e+07
23,1.50448e+07
24,9.78686e+06
25,9.53434e+06
26,1.03296e+07
27,1.00214e+07
28,9.43355e+06
29,9.34396e+06
30,9.45289e+06
31,9.67297e+06
32,1.45306e+07
33,9.85017e+06
34,1.00108e+07
35,1.1827e+07
36,9.6866e+06
37,1.13796e+07
38,1.02956e+07
39,1.06276e+07
40,1.48539e+07
41,1.03609e+07
42,1.07928e+07
43,1.04403e+07
44,1.03184e+07
45,1.06113e+07
46,1.0256e+07
47,1.07496e+07
48,1.56835e+07
49,1.04403e+07
50,1.07503e+07
51,1.03037e+07
52,1.16411e+07
53,1.09926e+07
54,1.10896e+07
55,1.06836e+07
56,1.14716e+07
57,1.45208e+07
58,1.12963e+07
59,1.03607e+07
60,1.11898e+07
61,1.05569e+07
62,1.17393e+07
63,1.07515e+07
64,1.15329e+07
65,1.55074e+07
66,1.19916e+07
67,1.15707e+07
68,1.11246e+07
69,1.14848e+07
70,1.10514e+07
71,1.16633e+07
72,1.11105e+07
73,1.53133e+07
74,1.07855e+07
75,9.9725e+06
76,9.40541e+06
77,1.01065e+07
78,9.84417e+06
79,1.03903e+07
80,9.44214e+06
81,1.04322e+07
82,1.41122e+07
83,9.42054e+06
84,9.38958e+06
85,9.26859e+06
86,9.93049e+06
87,1.02706e+07
88,9.4261e+06
89,9.48e+06
90,1.37949e+07
91,8.83378e+06
92,1.00713e+07
93,9.00446e+06
94,8.80038e+06
95,1.18367e+07
96,1.12179e+07
97,9.92527e+06
98,1.41648e+07
99,9.49569e+06
100,9.43328e+06
101,9.95741e+06
102,1.01492e+07
103,1.0956e+07
104,1.08578e+07
105,1.01706e+07
106,1.05452e+07
107,1.48511e+07
108,1.01231e+07
109,9.82611e+06
110,1.00038e+07
111,9.52134e+06
112,9.72302e+06
113,1.1001e+07
114,1.01831e+07
115,1.52009e+07
116,1.04051e+07
117,1.00918e+07
118,1.08504e+07
119,1.13717e+07
120,1.05917e+07
121,1.06171e+07
122,1.12137e+07
123,1.5598e+07
124,1.06112e+07
125,1.1396e+07
126,1.0925e+07
127,1.10411e+07
128,1.07595e+07
129,1.06234e+07
130,1.09532e+07
131,9.68886e+06
132,1.53027e+07
133,9.96217e+06
134,1.06555e+07
135,1.05547e+07
136,1.03601e+07
137,1.10287e+07
138,1.02885e+07
139,1.09112e+07
140,1.529e+07
141,1.04105e+07
142,1.1517e+07
143,1.11867e+07
144,1.24758e+07
145,1.1269e+07
146,1.21576e+07
147,1.22748e+07
148,1.45593e+07
149,1.09881e+07
150,1.15492e+07
151,1.16747e+07
152,1.13985e+07
153,1.0964e+07
154,1.10777e+07
155,1.31093e+07
156,1.65999e+07
157,1.65467e+07
158,1.30701e+07
159,1.30833e+07
160,6.61354e+06
161,1.98552e+07
162,1.27786e+07
163,1.06678e+07
164,1.29154e+07
165,1.50574e+07
166,1.0451e+07
167,1.01659e+07
168,1.00904e+07
169,9.93498e+06
170,1.06709e+07
171,1.18556e+07
172,1.16441e+07
173,1.5549e+07
174,1.13194e+07
175,1.10093e+07
176,1.14976e+07
177,1.18093e+07
178,1.20312e+07
179,1.13165e+07
180,1.11839e+07
181,1.36896e+07
182,1.45666e+07
183,1.18735e+07
184,1.20461e+07
185,1.14758e+07
186,1.14866e+07
187,1.13697e+07
188,1.1146e+07
189,1.10106e+07
190,1.53118e+07
191,1.10988e+07
192,1.11368e+07
193,1.05216e+07
194,1.01834e+07
195,1.06359e+07
196,1.07957e+07
197,1.06603e+07
198,1.51444e+07
199,1.05422e+07
200,9.81114e+06
201,1.07674e+07
202,1.07796e+07
203,1.0059e+07
204,1.11856e+07
205,1.06128e+07
206,1.0553e+07
207,1.5141e+07
208,1.13025e+07
209,1.10256e+07
210,1.15908e+07
211,1.13095e+07
212,1.26949e+07
213,1.0635e+07
214,1.08438e+07
215,1.50447e+07
