"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,4
5,91
6,1256
7,22240
8,17708
9,16848
10,16884
11,17024
12,17316
13,15780
14,16448
15,23484
16,15877
17,16696
18,16284
19,16776
20,17541
21,16482
22,16936
23,24684
24,15886
25,15652
26,16956
27,16452
28,15489
29,15336
30,15522
31,15306
32,23844
33,16168
34,16432
35,19377
36,15900
37,18680
38,16900
39,17449
40,24376
41,17008
42,17724
43,17137
44,16939
45,17421
46,16840
47,17464
48,25740
49,17136
50,17648
51,16711
52,19105
53,18044
54,18200
55,17523
56,18834
57,23827
58,18540
59,16856
60,18368
61,17328
62,19268
63,17649
64,18932
65,25448
66,19688
67,18756
68,18259
69,18715
70,18136
71,19100
72,18236
73,25124
74,17705
75,16368
76,15440
77,16487
78,16051
79,17056
80,15500
81,17126
82,23159
83,15460
84,15420
85,15220
86,16305
87,16860
88,15476
89,15394
90,22641
91,14506
92,16534
93,14788
94,14449
95,19428
96,18240
97,16292
98,23249
99,15592
100,15488
101,16352
102,16660
103,17772
104,17820
105,16583
106,16495
107,24368
108,16616
109,16129
110,16346
111,15450
112,15964
113,18057
114,16720
115,24947
116,17081
117,16573
118,17812
119,18668
120,17388
121,17430
122,18411
123,25596
124,17416
125,18562
126,17928
127,18124
128,17660
129,17441
130,17980
131,15908
132,25108
133,16353
134,17492
135,17266
136,17008
137,18104
138,16890
139,17910
140,25088
141,17093
142,18904
143,18360
144,20480
145,18216
146,19956
147,20140
148,23018
149,17067
150,18956
151,19168
152,17853
153,17992
154,18184
155,21512
156,27100
157,27148
158,21446
159,21274
160,8716
161,32580
162,20976
163,17508
164,19276
165,24708
166,17156
167,16694
168,16564
169,16308
170,17518
171,19389
172,19110
173,25514
174,18580
175,18070
176,18868
177,19384
178,19748
179,18574
180,18364
181,22466
182,23906
183,18850
184,19518
185,18836
186,18856
187,18662
188,18168
189,18068
190,24934
191,18220
192,18280
193,17268
194,16715
195,17459
196,17720
197,17500
198,24852
199,17103
200,16082
201,17672
202,17693
203,16339
204,18361
205,17424
206,17325
207,24718
208,18552
209,18099
210,19026
211,18412
212,20832
213,17456
214,17797
215,24564
216,21876
217,21576
218,16896
219,15364
220,14780
221,14912
222,15150
223,23364
224,14000
225,14143
226,15025
227,15416
228,15144
229,16368
230,15971
231,19810
232,19894
233,14848
234,14898
235,14940
236,15628
237,14916
238,17296
239,16460
240,24474
241,15128
242,19124
243,18800
244,18222
245,17840
246,16410
247,17484
248,23632
249,15179
250,16247
251,15276
252,16756
253,16186
254,16676
255,17056
256,20116
257,20455
258,16810
259,17490
260,17040
261,16598
262,17952
263,16960
264,17388
265,23518
266,14452
267,15728
268,15221
269,13597
270,15646
271,17170
272,16520
273,24554
274,22067
275,26028
276,9338
277,31288
278,21244
279,20218
280,17286
281,23898
282,25586
283,11522
284,26366
285,20324
286,20115
287,18795
288,17088
289,17728
290,23510
291,17605
292,17304
293,18212
294,17652
295,17637
296,17414
297,17722
298,23510
299,17383
300,15992
301,17996
302,17732
303,16797
304,17838
305,16797
306,17653
307,24848
308,17208
309,16852
310,16605
311,17918
312,17956
313,16912
314,17361
315,25405
316,16984
317,17515
318,16576
319,16697
320,17028
321,17804
322,17159
323,25080
324,17274
325,18100
326,17635
327,18880
328,17332
329,19228
330,17230
331,18352
332,27740
333,22412
334,17064
335,18116
336,16988
337,18716
338,18654
339,17424
340,25892
341,18556
342,18282
343,18692
344,18376
345,18781
346,18200
347,18392
348,24624
349,18293
350,17517
351,18264
352,16924
353,16146
354,16646
355,16664
356,18673
357,21169
358,17084
359,16508
360,16164
361,15264
362,16378
363,15360
364,16608
365,23410
366,15964
367,16192
368,16580
369,15553
370,15588
371,15852
372,15864
373,22949
374,15160
375,14660
376,14604
377,16250
378,15110
379,16462
380,16690
381,15701
382,23900
383,16792
384,16244
385,18041
386,17864
387,17900
388,18997
389,17875
390,24400
391,15440
392,17308
393,16568
394,15816
395,19488
396,20381
397,20922
398,10549
399,0
400,0
401,0
402,18924
403,13696
404,0
405,0
406,0
407,0
408,0
409,11820
410,16820
411,16564
412,17085
413,16242
414,18048
415,24109
416,17568
417,18292
418,17328
419,18049
420,17700
421,17080
422,10586
423,0
424,0
425,11880
426,17718
