"Interval start","Filtered packets"
0,0
1,196088
2,1.67187e+07
3,3.62457e+07
4,4.32853e+07
5,6.43559e+07
6,6.6456e+07
7,7.42838e+07
8,7.6544e+07
9,6.30445e+07
10,6.09887e+07
11,9.04394e+07
12,6.54352e+07
13,7.56057e+07
14,6.13937e+07
15,6.59018e+07
16,6.74491e+07
17,7.34254e+07
18,7.85716e+07
19,9.90077e+07
20,6.14803e+07
21,6.89714e+07
22,7.44074e+07
23,7.48463e+07
24,6.13571e+07
25,6.52146e+07
26,5.79106e+07
27,9.78832e+07
28,7.02056e+07
29,6.35598e+07
30,6.46388e+07
31,7.55128e+07
32,7.27967e+07
33,7.96185e+07
34,6.88737e+07
35,6.55894e+07
36,9.31817e+07
37,7.23077e+07
38,7.61925e+07
39,6.38662e+07
40,6.5172e+07
41,6.66052e+07
42,6.97722e+07
43,8.12348e+07
44,9.71929e+07
45,6.80733e+07
46,6.43654e+07
47,7.26987e+07
48,7.98529e+07
49,7.1345e+07
50,6.99412e+07
51,6.81225e+07
52,1.00657e+08
53,7.57864e+07
54,6.82089e+07
55,7.01779e+07
56,6.93901e+07
57,7.45259e+07
58,8.19405e+07
59,7.22992e+07
60,6.73012e+07
61,1.01e+08
62,7.74822e+07
63,8.32481e+07
64,7.36181e+07
65,7.33071e+07
66,7.02532e+07
67,7.58473e+07
68,7.65165e+07
69,9.89578e+07
70,6.1266e+07
71,6.4009e+07
72,7.18794e+07
73,7.63125e+07
74,6.53015e+07
75,6.03623e+07
76,5.87553e+07
77,9.57865e+07
78,6.25533e+07
79,6.05564e+07
80,5.81983e+07
81,6.06119e+07
82,6.62921e+07
83,7.1667e+07
84,6.1479e+07
85,5.70689e+07
86,8.85072e+07
87,6.25392e+07
88,6.83976e+07
89,6.30772e+07
90,5.53567e+07
91,6.95326e+07
92,7.39306e+07
93,7.25693e+07
94,9.33e+07
95,5.52942e+07
96,5.76085e+07
97,6.17006e+07
98,6.46972e+07
99,6.2503e+07
100,6.04919e+07
101,6.49403e+07
102,8.62256e+07
103,5.74974e+07
104,5.90497e+07
105,5.4909e+07
106,5.47167e+07
107,5.72989e+07
108,6.1012e+07
109,6.35533e+07
110,5.76477e+07
111,8.5852e+07
112,6.17766e+07
113,6.52029e+07
114,6.58535e+07
115,6.30532e+07
116,5.92395e+07
117,6.52883e+07
118,6.7461e+07
119,9.16763e+07
120,6.39163e+07
121,6.09045e+07
122,6.17326e+07
123,6.24595e+07
124,5.78818e+07
125,5.81574e+07
126,5.5426e+07
127,8.28187e+07
128,5.60912e+07
129,5.81579e+07
130,5.53781e+07
131,5.61154e+07
132,5.92066e+07
133,5.98514e+07
134,5.98354e+07
135,5.56273e+07
136,7.72768e+07
137,6.16339e+07
138,6.30954e+07
139,6.05422e+07
140,6.25113e+07
141,6.41257e+07
142,6.63442e+07
143,6.93014e+07
144,8.53492e+07
145,6.31812e+07
146,6.12248e+07
147,6.68839e+07
148,6.68721e+07
149,6.37093e+07
150,6.11242e+07
151,7.14154e+07
152,9.44418e+07
153,7.23434e+07
154,6.72715e+07
155,6.74695e+07
156,7.02709e+07
157,7.69904e+07
158,7.15124e+07
159,6.48689e+07
160,6.97044e+07
161,8.76165e+07
162,6.31014e+07
163,6.47247e+07
164,6.01183e+07
165,6.00946e+07
166,6.22606e+07
167,7.10572e+07
168,6.9563e+07
169,8.73369e+07
170,6.64933e+07
171,6.28579e+07
172,6.57657e+07
173,7.22503e+07
174,6.40572e+07
175,6.80081e+07
176,6.52338e+07
177,9.21469e+07
178,6.63039e+07
179,6.67817e+07
180,6.62395e+07
181,6.59429e+07
182,6.53086e+07
183,6.65792e+07
184,6.26975e+07
185,6.43262e+07
186,8.37274e+07
187,6.45705e+07
188,6.40798e+07
189,5.87308e+07
190,5.71786e+07
191,5.9114e+07
192,6.14114e+07
193,6.28234e+07
194,8.63843e+07
195,6.00245e+07
196,5.398e+07
197,6.13728e+07
198,6.46301e+07
199,5.88936e+07
200,6.24912e+07
201,5.98253e+07
202,8.77181e+07
203,6.2493e+07
204,6.02954e+07
205,6.56714e+07
206,6.36208e+07
207,7.03619e+07
208,7.5372e+07
209,6.41673e+07
210,6.38237e+07
211,8.39519e+07
212,7.29969e+07
213,7.17811e+07
214,6.39595e+07
215,5.64695e+07
216,5.41237e+07
217,5.6495e+07
218,5.56754e+07
219,7.76252e+07
220,4.69006e+07
221,5.01452e+07
222,5.52782e+07
223,5.74468e+07
224,5.36843e+07
225,5.67352e+07
226,5.81685e+07
227,8.4138e+07
228,5.20879e+07
229,5.14747e+07
230,4.96594e+07
231,5.28216e+07
232,5.75961e+07
233,5.82544e+07
234,5.93352e+07
235,5.72034e+07
236,8.29037e+07
237,6.59181e+07
238,6.62694e+07
239,6.064e+07
240,5.94821e+07
241,6.13406e+07
242,5.68357e+07
243,5.97337e+07
244,7.7928e+07
245,4.85034e+07
246,5.23435e+07
247,5.44157e+07
248,5.39074e+07
249,5.42437e+07
250,5.29993e+07
251,5.97595e+07
252,8.74723e+07
253,5.61799e+07
254,5.29899e+07
255,5.69535e+07
256,5.94946e+07
257,5.71358e+07
258,6.4415e+07
259,5.73995e+07
260,5.70221e+07
261,8.20251e+07
262,5.52124e+07
263,5.58523e+07
264,5.52233e+07
265,4.91937e+07
266,5.39742e+07
267,6.18423e+07
268,5.69426e+07
269,8.4488e+07
270,6.2948e+07
271,7.70274e+07
272,7.19217e+07
273,7.05094e+07
274,6.50738e+07
275,6.12297e+07
276,6.63178e+07
277,9.04968e+07
278,6.32457e+07
279,6.66372e+07
280,6.46791e+07
281,6.68223e+07
282,6.84674e+07
283,6.47016e+07
284,5.97823e+07
285,6.04147e+07
286,8.33828e+07
287,6.14167e+07
288,6.30374e+07
289,6.11771e+07
290,5.72688e+07
291,5.96126e+07
292,6.02556e+07
293,6.33626e+07
294,8.48803e+07
295,5.60284e+07
296,5.9188e+07
297,6.47959e+07
298,6.06891e+07
299,5.8736e+07
300,5.8784e+07
301,6.07832e+07
302,8.48302e+07
303,6.07855e+07
304,5.72258e+07
305,5.82098e+07
306,5.86641e+07
307,6.67882e+07
308,6.20271e+07
309,6.15048e+07
310,5.61857e+07
311,8.19692e+07
312,6.41042e+07
313,6.18279e+07
314,5.69967e+07
315,5.63029e+07
316,5.66282e+07
317,6.63173e+07
318,6.32258e+07
319,8.22344e+07
320,5.82273e+07
321,5.72368e+07
322,6.51626e+07
323,6.22391e+07
324,5.73564e+07
325,5.83287e+07
326,5.65496e+07
327,8.6682e+07
328,6.05466e+07
329,6.51917e+07
330,5.886e+07
331,5.82258e+07
332,6.41369e+07
333,6.34793e+07
334,5.87936e+07
335,5.86118e+07
336,8.27096e+07
337,6.58379e+07
338,6.62431e+07
339,6.0124e+07
340,6.18905e+07
341,6.13616e+07
342,6.59268e+07
343,6.82927e+07
344,8.65405e+07
345,5.88102e+07
346,6.02531e+07
347,6.64907e+07
348,5.99754e+07
349,5.79372e+07
350,5.55999e+07
351,5.61104e+07
352,8.56985e+07
353,5.7413e+07
354,5.37387e+07
355,5.55503e+07
356,5.27815e+07
357,6.27014e+07
358,6.02207e+07
359,5.47249e+07
360,5.32507e+07
361,8.10257e+07
362,5.99126e+07
363,6.01723e+07
364,5.7139e+07
365,5.43893e+07
366,5.25486e+07
367,6.31724e+07
368,5.7441e+07
369,7.80969e+07
370,5.24504e+07
371,4.93392e+07
372,5.81043e+07
373,5.84814e+07
374,5.28821e+07
375,5.46483e+07
376,5.60684e+07
377,8.49119e+07
378,5.28228e+07
379,5.37772e+07
380,5.28777e+07
381,5.85421e+07
382,6.20938e+07
383,6.42424e+07
384,5.91118e+07
385,6.06456e+07
386,8.14901e+07
387,6.00847e+07
388,6.4049e+07
389,5.89046e+07
390,5.63323e+07
391,6.1503e+07
392,6.77651e+07
393,6.77121e+07
394,8.30653e+07
395,6.33995e+07
396,5.79609e+07
397,6.51401e+07
398,6.85426e+07
399,6.18977e+07
400,6.01521e+07
401,6.08145e+07
402,8.01493e+07
403,5.96746e+07
404,5.69742e+07
405,5.34223e+07
406,5.47069e+07
407,6.05433e+07
408,6.20691e+07
409,5.53769e+07
410,5.83556e+07
411,7.83238e+07
412,5.94249e+07
413,6.60643e+07
414,5.73829e+07
415,5.92924e+07
416,6.0397e+07
417,6.50792e+07
418,6.7487e+07
419,8.49685e+07
420,6.01359e+07
421,6.02663e+07
422,6.65512e+07
423,6.61092e+07
424,6.21816e+07
425,6.44688e+07
426,5.77304e+07
427,8.45589e+07
428,6.34003e+07
429,6.3344e+07
430,6.09529e+07
431,6.3242e+07
432,6.57898e+07
433,6.95105e+07
434,6.65931e+07
435,6.47124e+07
436,8.33675e+07
437,6.70557e+07
438,6.73344e+07
439,5.82201e+07
440,6.0253e+07
441,5.90463e+07
442,5.72865e+07
443,5.93311e+07
444,7.3825e+07
445,5.05125e+07
446,5.09804e+07
447,5.33103e+07
448,5.37467e+07
449,5.02869e+07
450,4.88188e+07
451,5.08612e+07
452,7.50215e+07
453,5.04317e+07
454,4.87185e+07
455,4.9993e+07
456,4.93605e+07
457,5.55994e+07
458,5.41984e+07
459,5.38401e+07
460,4.8702e+07
461,7.50838e+07
462,5.35506e+07
463,5.33884e+07
464,5.3013e+07
465,4.8e+07
466,5.0494e+07
467,5.54477e+07
468,5.09574e+07
469,7.60511e+07
470,4.5597e+07
471,4.73257e+07
472,5.32709e+07
473,5.38105e+07
474,5.22627e+07
475,5.13122e+07
476,5.47235e+07
477,8.04058e+07
478,5.53793e+07
479,5.71744e+07
480,5.48541e+07
481,5.86337e+07
482,6.05146e+07
483,6.00575e+07
484,5.76847e+07
485,5.60872e+07
486,7.6756e+07
487,5.8374e+07
488,5.78781e+07
489,6.04152e+07
490,5.41636e+07
491,5.43618e+07
492,5.55358e+07
493,5.67771e+07
494,7.6328e+07
495,5.29237e+07
496,5.27495e+07
497,5.75216e+07
498,5.89952e+07
499,5.96823e+07
500,5.40774e+07
501,5.79145e+07
502,7.84509e+07
503,5.46595e+07
504,5.87829e+07
505,5.5665e+07
506,5.35997e+07
507,6.27032e+07
508,6.17391e+07
509,7.23259e+07
510,6.08443e+07
511,8.20857e+07
512,6.76017e+07
513,8.15958e+07
514,7.27162e+07
515,6.49371e+07
516,6.22445e+07
517,6.61378e+07
518,6.57121e+07
519,8.51194e+07
520,6.09623e+07
521,5.99313e+07
522,6.42233e+07
523,6.19087e+07
524,5.52447e+07
525,5.7307e+07
526,5.31842e+07
527,8.28129e+07
528,5.47495e+07
529,5.51251e+07
530,5.54625e+07
531,5.16104e+07
532,5.45582e+07
533,5.63841e+07
534,5.34091e+07
535,5.49971e+07
536,7.60905e+07
537,5.47654e+07
538,5.37605e+07
539,4.95534e+07
540,5.79822e+07
541,5.13757e+07
542,5.60312e+07
543,5.32655e+07
544,7.48036e+07
545,5.13779e+07
546,4.773e+07
547,5.48559e+07
548,5.45989e+07
549,5.19303e+07
550,5.4567e+07
551,5.36604e+07
552,8.35457e+07
553,5.36879e+07
554,5.19966e+07
555,5.73762e+07
556,5.24522e+07
557,6.13058e+07
558,6.18189e+07
559,5.65653e+07
560,5.85453e+07
561,8.26573e+07
562,5.95146e+07
563,6.36075e+07
564,5.82192e+07
565,5.79055e+07
566,5.65263e+07
567,6.30844e+07
568,6.17847e+07
569,8.09947e+07
570,5.81405e+07
571,5.3915e+07
572,6.10725e+07
573,6.5495e+07
574,5.50932e+07
575,6.02301e+07
576,5.56991e+07
577,8.37898e+07
578,5.6086e+07
579,5.44414e+07
580,5.65476e+07
581,5.53752e+07
582,5.58227e+07
583,5.7413e+07
584,5.17794e+07
585,5.59954e+07
586,7.5869e+07
587,5.53844e+07
588,5.62409e+07
589,5.42098e+07
590,5.52061e+07
591,5.35832e+07
592,5.54048e+07
593,5.77918e+07
594,7.85686e+07
595,5.56749e+07
596,4.91488e+07
597,5.5142e+07
598,2.82697e+07
599,2.63376e+07
600,2.2074e+07
601,5.948e+06
602,1280
603,2112
