"Interval start","Filtered packets"
0,0
1,207
2,1394
3,3110
4,3923
5,5580
6,5763
7,6406
8,6576
9,5460
10,5290
11,7733
12,5677
13,6521
14,5335
15,5707
16,5850
17,6337
18,6752
19,8470
20,5341
21,5975
22,6414
23,6452
24,5330
25,5660
26,5048
27,8367
28,6062
29,5508
30,5601
31,6533
32,6274
33,6848
34,5980
35,5673
36,7974
37,6219
38,6557
39,5513
40,5649
41,5764
42,6005
43,6988
44,8309
45,5885
46,5596
47,6280
48,6874
49,6165
50,6039
51,5893
52,8584
53,6544
54,5890
55,6060
56,5991
57,6405
58,7047
59,6217
60,5818
61,8638
62,6681
63,7155
64,6341
65,6327
66,6052
67,6514
68,6603
69,8441
70,5327
71,5546
72,6185
73,6578
74,5647
75,5251
76,5113
77,8192
78,5449
79,5271
80,5057
81,5276
82,5730
83,6189
84,5343
85,4980
86,7585
87,5417
88,5932
89,5483
90,4844
91,6037
92,6390
93,6280
94,7980
95,4830
96,5037
97,5340
98,5603
99,5380
100,5210
101,5613
102,7355
103,4997
104,5096
105,4768
106,4757
107,4954
108,5274
109,5464
110,4999
111,7332
112,5323
113,5624
114,5676
115,5446
116,5128
117,5604
118,5806
119,7812
120,5526
121,5275
122,5316
123,5389
124,4988
125,5014
126,4792
127,7064
128,4875
129,5010
130,4798
131,4853
132,5096
133,5162
134,5148
135,4815
136,6628
137,5320
138,5426
139,5199
140,5369
141,5511
142,5696
143,5950
144,7285
145,5436
146,5261
147,5727
148,5738
149,5470
150,5259
151,6112
152,8023
153,6208
154,5764
155,5779
156,6025
157,6571
158,6144
159,5565
160,5959
161,7453
162,5424
163,5575
164,5184
165,5177
166,5344
167,6088
168,5949
169,7449
170,5707
171,5396
172,5643
173,6194
174,5501
175,5828
176,5590
177,7825
178,5725
179,5719
180,5673
181,5661
182,5622
183,5722
184,5391
185,5522
186,7125
187,5549
188,5514
189,5052
190,4938
191,5085
192,5311
193,5420
194,7344
195,5161
196,4669
197,5290
198,5566
199,5068
200,5374
201,5150
202,7468
203,5384
204,5178
205,5638
206,5455
207,6027
208,6462
209,5533
210,5489
211,7158
212,6276
213,6147
214,5492
215,4889
216,4687
217,4878
218,4805
219,6634
220,4069
221,4347
222,4795
223,4959
224,4651
225,4905
226,5012
227,7174
228,4537
229,4475
230,4308
231,4567
232,4978
233,5034
234,5112
235,4926
236,7070
237,5655
238,5690
239,5231
240,5112
241,5267
242,4930
243,5155
244,6665
245,4213
246,4544
247,4696
248,4675
249,4704
250,4586
251,5158
252,7449
253,4851
254,4584
255,4904
256,5128
257,4927
258,5539
259,4972
260,4951
261,6992
262,4782
263,4840
264,4784
265,4272
266,4672
267,5307
268,4913
269,7195
270,5399
271,6561
272,6169
273,6037
274,5598
275,5272
276,5684
277,7702
278,5435
279,5718
280,5548
281,5747
282,5868
283,5559
284,5191
285,5199
286,7111
287,5281
288,5422
289,5292
290,4949
291,5133
292,5215
293,5455
294,7269
295,4856
296,5083
297,5570
298,5207
299,5071
300,5051
301,5222
302,7247
303,5234
304,4963
305,5019
306,5051
307,5719
308,5328
309,5319
310,4858
311,6998
312,5510
313,5315
314,4925
315,4852
316,4895
317,5712
318,5441
319,7029
320,5016
321,4935
322,5608
323,5333
324,4966
325,5034
326,4881
327,7385
328,5215
329,5607
330,5076
331,5023
332,5524
333,5447
334,5082
335,5043
336,7051
337,5632
338,5696
339,5204
340,5329
341,5278
342,5672
343,5833
344,7381
345,5058
346,5181
347,5737
348,5161
349,4999
350,4804
351,4853
352,7333
353,4968
354,4663
355,4787
356,4564
357,5396
358,5189
359,4747
360,4590
361,6908
362,5190
363,5195
364,4949
365,4703
366,4554
367,5443
368,4938
369,6706
370,4567
371,4272
372,5019
373,5032
374,4602
375,4700
376,4840
377,7257
378,4572
379,4650
380,4587
381,5046
382,5354
383,5495
384,5089
385,5205
386,6946
387,5169
388,5489
389,5097
390,4863
391,5291
392,5838
393,5801
394,7084
395,5440
396,4995
397,5597
398,5860
399,5318
400,5167
401,5216
402,6835
403,5118
404,4932
405,4611
406,4726
407,5213
408,5329
409,4806
410,5045
411,6689
412,5131
413,5664
414,4978
415,5114
416,5188
417,5575
418,5784
419,7253
420,5180
421,5202
422,5729
423,5661
424,5357
425,5544
426,4983
427,7202
428,5448
429,5459
430,5235
431,5419
432,5649
433,5962
434,5720
435,5551
436,7117
437,5765
438,5765
439,5032
440,5193
441,5093
442,4936
443,5096
444,6331
445,4371
446,4436
447,4610
448,4656
449,4383
450,4232
451,4416
452,6450
453,4366
454,4239
455,4346
456,4285
457,4809
458,4684
459,4662
460,4245
461,6425
462,4629
463,4618
464,4603
465,4161
466,4366
467,4781
468,4432
469,6514
470,3970
471,4127
472,4634
473,4658
474,4543
475,4438
476,4727
477,6862
478,4800
479,4941
480,4743
481,5063
482,5222
483,5190
484,4972
485,4860
486,6573
487,5021
488,4997
489,5214
490,4690
491,4694
492,4789
493,4892
494,6533
495,4608
496,4575
497,4979
498,5084
499,5145
500,4691
501,4998
502,6709
503,4729
504,5084
505,4821
506,4648
507,5391
508,5318
509,6187
510,5259
511,7007
512,5814
513,6961
514,6215
515,5592
516,5356
517,5665
518,5645
519,7251
520,5251
521,5179
522,5519
523,5303
524,4771
525,4956
526,4620
527,7085
528,4752
529,4775
530,4809
531,4481
532,4730
533,4864
534,4623
535,4781
536,6510
537,4734
538,4658
539,4307
540,5026
541,4464
542,4861
543,4607
544,6402
545,4462
546,4144
547,4738
548,4711
549,4490
550,4727
551,4659
552,7133
553,4636
554,4512
555,4961
556,4558
557,5298
558,5314
559,4896
560,5066
561,7053
562,5132
563,5482
564,5023
565,5002
566,4885
567,5428
568,5325
569,6915
570,5027
571,4675
572,5303
573,5616
574,4761
575,5192
576,4801
577,7130
578,4842
579,4692
580,4884
581,4777
582,4835
583,4946
584,4516
585,4844
586,6494
587,4809
588,4857
589,4699
590,4781
591,4652
592,4809
593,4994
594,6714
595,4809
596,4267
597,4784
598,2425
599,2289
600,1919
601,525
602,2
603,6
