"Interval start","Filtered packets"
0,195448
1,7.61086e+06
2,2.95619e+07
3,4.4862e+07
4,4.333e+07
5,4.94058e+07
6,5.80224e+07
7,1.07251e+08
8,1.1941e+08
9,1.18301e+08
10,1.41871e+08
11,1.83141e+08
12,1.65601e+08
13,1.52839e+08
14,1.35512e+08
15,1.47758e+08
16,1.4515e+08
17,5.77651e+07
18,4.73838e+07
19,4.93526e+07
20,3.95473e+07
21,5.63967e+07
22,4.59433e+07
23,1.89468e+07
24,1.3531e+08
25,1.82932e+08
26,1.94744e+08
27,1.72988e+08
28,1.68488e+08
29,1.73102e+08
30,1.78117e+08
31,1.89901e+08
32,1.95732e+08
33,1.6209e+08
34,1.47303e+08
35,1.3459e+08
36,1.34641e+08
37,1.27849e+08
38,1.34612e+08
39,1.37363e+08
40,1.30068e+08
41,1.25343e+08
42,1.30373e+08
43,1.13641e+08
44,1.16246e+08
45,1.10436e+08
46,1.05343e+08
47,9.52138e+07
48,8.90452e+07
49,1.6223e+08
50,1.493e+08
51,1.51599e+08
52,1.14665e+08
53,9.81423e+07
54,9.31033e+07
55,9.15499e+07
56,9.9172e+07
57,5.12261e+07
58,1.3453e+07
59,2.84759e+07
60,2.54003e+07
61,2.53133e+07
62,3.91346e+07
63,4.44562e+07
64,3.80989e+07
65,6.02096e+07
66,4.23872e+07
67,6.41991e+07
68,5.15525e+07
69,4.51979e+07
70,6.66965e+07
71,2.69178e+07
72,5.9065e+07
73,2.74792e+07
74,7.51683e+07
75,4.76231e+07
76,7.51728e+07
77,1.19893e+08
78,1.25678e+08
79,1.14418e+08
80,1.05523e+08
81,7.902e+07
82,7.49471e+07
83,7.59312e+07
84,7.31838e+07
85,3.99313e+07
86,2.38787e+07
87,3.12216e+07
88,3.70172e+07
89,3.6111e+07
90,2.91119e+07
91,6.72462e+07
92,5.82488e+07
93,3.10416e+07
94,2.79559e+07
95,4.61724e+07
96,2.99735e+07
97,3.97492e+07
98,3.62361e+07
99,2.52791e+07
100,2.62204e+07
101,6.14883e+07
102,4.52847e+07
103,7.66721e+07
104,5.05985e+07
105,4.17775e+07
106,3.93275e+07
107,4.17304e+07
108,3.40239e+07
109,4.07231e+07
110,3.37628e+07
111,3.96693e+07
112,3.95972e+07
113,5.013e+07
114,6.65403e+07
115,7.4332e+07
116,4.72097e+07
117,5.68622e+07
118,5.79809e+07
119,1.05268e+08
120,1.11274e+08
121,1.09775e+08
122,7.62255e+07
123,5.37262e+07
124,6.34702e+07
125,3.64291e+07
126,5.46201e+07
127,3.54743e+07
128,6.3745e+07
129,5.68505e+07
130,5.40917e+07
131,4.99892e+07
132,5.04208e+07
133,5.62057e+07
134,5.00533e+07
135,5.43626e+07
136,7.63994e+07
137,5.58671e+07
138,5.51356e+07
139,5.52694e+07
140,5.88742e+07
141,6.04758e+07
142,5.79042e+07
143,5.70829e+07
144,5.95049e+07
145,6.68254e+07
146,4.75597e+07
147,1.04087e+08
148,3.75861e+07
149,5.86051e+07
150,5.95619e+07
151,4.80264e+07
152,5.35494e+07
153,6.53078e+07
154,7.25539e+07
155,6.57824e+07
156,5.7372e+07
157,8.60098e+07
158,3.19267e+07
159,3.63298e+07
160,3.85407e+07
161,3.69892e+07
162,7.53609e+07
163,5.40424e+07
164,5.9458e+07
165,7.06702e+07
166,6.22248e+07
167,5.60112e+07
168,2.84678e+07
169,6.55096e+07
170,6.14833e+07
171,3.51101e+07
172,2.61295e+07
173,2.53242e+07
174,3.32615e+07
175,3.07443e+07
176,3.50101e+07
177,6.87183e+07
178,8.51044e+07
179,5.4866e+07
180,4.0129e+07
181,5.84378e+07
182,7.09466e+07
183,7.00674e+07
184,6.98231e+07
185,7.19202e+07
186,7.22656e+07
187,6.9959e+07
188,8.12665e+07
189,7.77438e+07
190,6.74923e+07
191,2.38615e+07
192,2.76388e+07
193,6.54394e+07
194,8.34271e+07
195,7.12568e+07
196,4.90612e+07
197,8.5392e+07
198,4.23525e+07
199,4.21317e+07
200,3.84003e+07
201,5.34743e+07
202,5.51841e+07
203,5.58816e+07
204,4.95752e+07
205,4.66171e+07
206,2.56477e+07
207,6.38714e+07
208,6.1625e+07
209,4.87977e+07
210,7.18515e+07
211,7.4142e+07
212,8.42919e+07
213,8.94859e+07
214,8.75907e+07
215,5.90363e+07
216,4.56839e+07
217,5.28044e+07
218,5.41154e+07
219,6.3588e+07
220,7.16562e+07
221,5.43023e+07
222,5.62867e+07
223,2.32243e+07
224,3.76051e+07
225,1.06066e+08
226,6.60655e+07
227,7.27463e+07
228,5.27436e+07
229,4.8315e+07
230,6.13756e+07
231,7.60731e+07
232,4.73958e+07
233,4.24164e+07
234,4.73454e+07
235,4.51278e+07
236,3.64909e+07
237,3.97752e+07
238,4.69623e+07
239,4.54263e+07
240,5.53305e+07
241,4.08771e+07
242,4.78989e+07
243,1.31051e+08
244,1.80546e+08
245,1.17213e+08
246,8.81454e+07
247,8.31262e+07
248,7.41765e+07
249,8.32106e+07
250,6.24446e+07
251,6.49323e+07
252,4.14963e+07
253,4.78983e+07
254,6.19181e+07
255,6.44429e+07
256,5.40791e+07
257,2.56992e+07
258,5.9362e+07
259,5.34957e+07
260,7.53958e+07
261,9.55918e+07
262,5.81304e+07
263,3.48418e+07
264,5.78515e+07
265,5.3618e+07
266,5.07734e+07
267,5.73071e+07
268,5.33572e+07
269,5.11819e+07
270,6.25071e+07
271,8.19214e+07
272,1.17113e+08
273,9.1365e+07
274,9.50189e+07
275,7.63498e+07
276,8.34375e+07
277,6.01662e+07
278,4.87442e+07
279,8.06636e+07
280,7.11852e+07
281,7.61406e+07
282,8.99952e+07
283,5.18453e+07
284,5.06321e+07
285,4.92905e+07
286,7.34887e+07
287,5.31362e+07
288,2.9371e+07
289,3.2346e+07
290,4.12161e+07
291,4.00468e+07
292,8.60254e+07
293,4.17476e+07
294,5.83145e+07
295,6.62625e+07
296,7.12427e+07
297,4.78451e+07
298,5.4876e+07
299,6.93935e+07
300,3.86828e+07
301,4.0899e+07
302,1.64534e+08
303,1.56357e+08
304,1.47314e+08
305,1.32815e+08
306,1.0458e+08
307,4.22312e+07
308,5.50849e+07
309,8.84912e+07
310,4.34303e+07
311,5.01611e+07
312,4.95592e+07
313,8.46914e+07
314,8.24637e+07
315,7.79096e+07
316,5.60614e+07
317,5.42183e+07
318,6.7985e+07
319,7.17704e+07
320,6.96129e+07
321,7.3486e+07
322,7.48488e+07
323,6.1588e+07
324,3.24293e+07
325,8.7046e+07
326,6.90278e+07
327,6.97051e+07
328,8.10862e+07
329,8.98766e+07
330,6.65629e+07
331,5.8742e+07
332,6.37027e+07
333,5.63578e+07
334,6.04338e+07
335,5.442e+07
336,5.36082e+07
337,5.06326e+07
338,5.23389e+07
339,3.35451e+07
340,2.2443e+07
341,7.74289e+07
342,5.33e+07
343,6.81047e+07
344,1.07686e+08
345,1.2147e+08
346,1.09095e+08
347,1.13876e+08
348,9.67951e+07
349,9.12876e+07
350,9.70032e+07
351,1.09894e+08
352,1.1932e+08
353,9.7746e+07
354,9.54804e+07
355,9.79074e+07
356,1.11207e+08
357,8.8712e+07
358,1.1909e+08
359,1.20488e+08
360,1.12772e+08
361,1.14265e+08
362,1.28742e+08
363,7.30968e+07
364,5.70048e+07
365,1.15811e+08
366,1.36821e+08
367,1.2529e+08
368,1.32611e+08
369,1.23633e+08
370,1.19594e+08
371,9.6981e+07
372,1.1387e+08
373,7.55413e+07
374,5.97643e+07
375,4.32276e+07
376,1.10286e+08
377,6.43088e+07
378,5.18255e+07
379,8.60445e+07
380,5.06482e+07
381,4.69601e+07
382,5.86599e+07
383,4.65911e+07
384,3.91282e+07
385,2.96452e+07
386,6.63401e+07
387,3.85101e+07
388,2.71432e+07
389,3.45974e+07
390,4.29607e+07
391,4.13191e+07
392,5.36618e+07
393,7.61293e+07
394,5.8953e+07
395,4.53177e+07
396,4.73403e+07
397,5.97315e+07
398,4.01937e+07
399,3.90824e+07
400,8.36095e+07
401,4.56761e+07
402,4.09542e+07
403,4.70066e+07
404,3.49139e+07
405,5.55489e+07
406,7.67552e+07
407,9.00759e+07
408,7.07823e+07
409,3.98787e+07
410,3.89279e+07
411,5.7649e+07
412,7.28949e+07
413,7.70222e+07
414,4.5082e+07
415,5.34567e+07
416,6.34534e+07
417,6.83792e+07
418,7.39856e+07
419,4.2568e+07
420,4.59271e+07
421,1.37458e+08
422,9.06729e+07
423,1.82272e+08
424,1.87353e+08
425,1.31851e+08
426,4.49791e+07
427,1.0038e+08
428,1.87043e+08
429,4.38687e+07
430,4.3358e+07
431,5.31086e+07
432,1.53679e+08
433,1.57749e+08
434,1.74499e+08
435,5.69796e+07
436,5.38491e+07
437,9.90357e+07
438,6.72537e+07
439,6.60759e+07
