"Interval start","Filtered packets"
0,207
1,726
2,2565
3,3780
4,3657
5,4179
6,5049
7,9047
8,10103
9,9976
10,11980
11,15372
12,13916
13,12824
14,11433
15,12453
16,12203
17,4975
18,4119
19,4220
20,3456
21,4921
22,4014
23,1778
24,11373
25,15312
26,16311
27,14497
28,14113
29,14504
30,14946
31,15926
32,16398
33,13557
34,12391
35,11337
36,11372
37,10734
38,11355
39,11566
40,10995
41,10609
42,11010
43,9588
44,9812
45,9350
46,8954
47,8060
48,7598
49,13646
50,12531
51,12727
52,9652
53,8341
54,7887
55,7742
56,8402
57,4392
58,1335
59,2508
60,2346
61,2331
62,3470
63,3913
64,3444
65,5175
66,3711
67,5517
68,4491
69,3989
70,5703
71,2448
72,5060
73,2460
74,6428
75,4111
76,6433
77,10089
78,10602
79,9668
80,8946
81,6759
82,6391
83,6459
84,6235
85,3505
86,2203
87,2769
88,3265
89,3185
90,2625
91,5786
92,5005
93,2821
94,2532
95,4056
96,2695
97,3470
98,3222
99,2301
100,2374
101,5353
102,3933
103,6548
104,4408
105,3660
106,3462
107,3653
108,2994
109,3558
110,3062
111,3494
112,3487
113,4350
114,5703
115,6308
116,4090
117,4884
118,5028
119,8913
120,9460
121,9290
122,6533
123,4679
124,5498
125,3206
126,4747
127,3159
128,5516
129,4891
130,4666
131,4315
132,4353
133,4862
134,4352
135,4699
136,6534
137,4871
138,4806
139,4748
140,5070
141,5196
142,5023
143,4893
144,5126
145,5708
146,4105
147,8805
148,3308
149,5077
150,5133
151,4118
152,4654
153,5576
154,6139
155,5628
156,4963
157,7343
158,2858
159,3181
160,3370
161,3247
162,6381
163,4664
164,5114
165,6103
166,5379
167,4871
168,2571
169,5619
170,5301
171,3087
172,2317
173,2319
174,2985
175,2749
176,3078
177,5887
178,7263
179,4750
180,3580
181,5028
182,6068
183,5968
184,5970
185,6148
186,6180
187,6013
188,6908
189,6676
190,5799
191,2139
192,2484
193,5618
194,7112
195,6128
196,4197
197,7254
198,3720
199,3694
200,3389
201,4609
202,4784
203,4825
204,4317
205,4053
206,2370
207,5505
208,5294
209,4231
210,6169
211,6365
212,7179
213,7537
214,7491
215,5042
216,4021
217,4572
218,4683
219,5462
220,6132
221,4674
222,4867
223,2139
224,3302
225,8948
226,5667
227,6276
228,4579
229,4172
230,5317
231,6475
232,4118
233,3714
234,4139
235,3901
236,3205
237,3512
238,4107
239,3997
240,4827
241,3584
242,4136
243,11042
244,15117
245,9918
246,7485
247,7132
248,6361
249,7092
250,5392
251,5583
252,3669
253,4187
