"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,21696
6,0
7,1.15158e+06
8,6.83757e+06
9,9.86392e+06
10,9.68086e+06
11,1.09167e+07
12,1.18628e+07
13,1.20035e+07
14,1.32387e+07
15,1.36296e+07
16,1.54417e+07
17,2.04784e+07
18,1.8473e+07
19,1.67044e+07
20,1.5418e+07
21,1.62329e+07
22,1.6038e+07
23,5.86232e+06
24,5.28702e+06
25,5.25512e+06
26,4.56891e+06
27,6.42021e+06
28,4.80122e+06
29,2.11675e+06
30,1.61912e+07
31,1.97739e+07
32,2.20836e+07
33,1.91112e+07
34,1.87212e+07
35,1.93067e+07
36,1.9832e+07
37,2.11536e+07
38,2.16399e+07
39,1.78356e+07
40,1.63801e+07
41,1.48286e+07
42,1.4688e+07
43,1.44114e+07
44,1.51228e+07
45,1.53253e+07
46,1.42592e+07
47,1.38743e+07
48,1.4278e+07
49,1.28477e+07
50,1.29312e+07
51,1.17457e+07
52,1.20853e+07
53,1.01805e+07
54,1.17421e+07
55,1.70589e+07
56,1.6414e+07
57,1.69707e+07
58,1.20588e+07
59,1.16985e+07
60,9.91491e+06
61,1.00545e+07
62,1.09388e+07
63,5.20786e+06
64,1.80195e+06
65,3.05428e+06
66,2.72333e+06
67,3.04867e+06
68,4.23141e+06
69,4.99082e+06
70,4.00701e+06
71,6.86867e+06
72,4.80856e+06
73,7.16331e+06
74,5.66339e+06
75,5.0144e+06
76,7.36086e+06
77,2.96248e+06
78,6.46274e+06
79,2.9977e+06
80,8.56022e+06
81,5.41824e+06
82,8.7999e+06
83,1.32261e+07
84,1.40435e+07
85,1.25776e+07
86,1.16831e+07
87,8.5941e+06
88,8.37706e+06
89,8.41554e+06
90,7.68643e+06
91,4.59022e+06
92,2.62506e+06
93,3.50024e+06
94,4.1557e+06
95,3.93707e+06
96,3.34187e+06
97,7.4817e+06
98,6.32176e+06
99,3.35312e+06
100,5.54434e+06
101,2.82603e+06
102,3.3845e+06
103,4.43069e+06
104,4.17758e+06
105,2.55677e+06
106,2.90027e+06
107,6.96918e+06
108,5.19706e+06
109,8.34677e+06
110,5.56898e+06
111,4.49973e+06
112,4.61454e+06
113,4.5448e+06
114,3.84664e+06
115,4.50242e+06
116,3.71803e+06
117,4.36685e+06
118,4.46232e+06
119,6.17538e+06
120,6.94603e+06
121,8.02285e+06
122,5.47894e+06
123,6.25e+06
124,6.32862e+06
125,1.21748e+07
126,1.2342e+07
127,1.20682e+07
128,8.2501e+06
129,6.12851e+06
130,6.87283e+06
131,3.99819e+06
132,6.02645e+06
133,3.98901e+06
134,7.1845e+06
135,6.30885e+06
136,5.71117e+06
137,5.82091e+06
138,5.54131e+06
139,6.25393e+06
140,5.72235e+06
141,5.68748e+06
142,8.72646e+06
143,6.19266e+06
144,6.1795e+06
145,6.22419e+06
146,6.41789e+06
147,6.87251e+06
148,6.25546e+06
149,6.44394e+06
150,6.59533e+06
151,7.25608e+06
152,5.36554e+06
153,1.22759e+07
154,3.6166e+06
155,6.16606e+06
156,6.80522e+06
157,5.36733e+06
158,5.97333e+06
159,7.56346e+06
160,7.8333e+06
161,6.95955e+06
162,6.684e+06
163,9.38149e+06
164,3.67334e+06
165,3.9301e+06
166,4.27486e+06
167,4.14011e+06
168,8.52997e+06
169,5.88658e+06
170,6.74744e+06
171,7.897e+06
172,6.82856e+06
173,5.92005e+06
174,3.13099e+06
175,7.6247e+06
176,6.85168e+06
177,3.61115e+06
178,2.94949e+06
179,2.8264e+06
180,3.72267e+06
181,3.45128e+06
182,3.91963e+06
183,7.8171e+06
184,9.42619e+06
185,5.94574e+06
186,4.4493e+06
187,6.73722e+06
188,7.8748e+06
189,7.71573e+06
190,7.92576e+06
191,7.89037e+06
192,7.84002e+06
193,7.9696e+06
194,9.1364e+06
195,8.42648e+06
196,7.2345e+06
197,2.8526e+06
198,2.88957e+06
199,7.66075e+06
200,9.19096e+06
201,7.78625e+06
202,5.96952e+06
203,9.0612e+06
204,4.43976e+06
205,4.86019e+06
206,4.08952e+06
207,6.18278e+06
208,6.04709e+06
209,6.18542e+06
210,5.56485e+06
211,4.9741e+06
212,2.75319e+06
213,7.4359e+06
214,6.6983e+06
215,5.39187e+06
