"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,23
6,0
7,128
8,596
9,837
10,824
11,928
12,1000
13,1014
14,1119
15,1151
16,1302
17,1718
18,1554
19,1400
20,1303
21,1366
22,1350
23,508
24,458
25,451
26,399
27,558
28,420
29,198
30,1360
31,1655
32,1850
33,1602
34,1568
35,1619
36,1663
37,1776
38,1812
39,1493
40,1378
41,1248
42,1239
43,1210
44,1276
45,1292
46,1205
47,1174
48,1206
49,1083
50,1094
51,992
52,1031
53,861
54,997
55,1436
56,1380
57,1422
58,1016
59,992
60,840
61,850
62,929
63,446
64,174
65,276
66,251
67,279
68,374
69,440
70,360
71,590
72,421
73,616
74,492
75,442
76,632
77,268
78,554
79,268
80,732
81,471
82,750
83,1114
84,1184
85,1062
86,989
87,737
88,714
89,716
90,654
91,404
92,243
93,310
94,366
95,346
96,304
97,644
98,544
99,304
100,484
101,259
102,302
103,388
104,370
105,234
106,263
107,607
108,450
109,714
110,484
111,396
112,409
113,396
114,338
115,392
116,336
117,388
118,390
119,534
120,596
121,682
122,475
123,536
124,552
125,1031
126,1049
127,1024
128,704
129,530
130,596
131,353
132,526
133,352
134,622
135,542
136,493
137,505
138,476
139,544
140,496
141,492
142,749
143,538
144,536
145,534
146,553
147,591
148,544
149,552
150,568
151,620
152,463
153,1036
154,324
155,536
156,585
157,460
158,519
159,644
160,662
161,596
162,579
163,800
164,328
165,344
166,375
167,362
168,723
169,510
170,580
171,682
172,590
173,517
174,280
175,654
176,591
177,319
178,262
179,258
180,334
181,308
182,349
183,668
184,804
185,516
186,394
187,578
188,674
189,656
190,678
191,675
192,672
193,684
194,776
195,724
196,624
197,256
198,260
199,656
200,784
201,668
202,509
203,772
204,390
205,426
206,361
207,533
208,524
209,534
210,484
211,434
212,256
213,641
214,576
215,468
216,703
217,679
218,828
219,810
220,856
221,530
222,468
223,515
224,518
225,746
226,535
227,501
228,538
229,262
230,352
231,1016
232,628
233,671
234,530
235,456
236,593
237,728
238,445
239,420
240,460
241,432
242,356
243,390
244,461
245,446
246,523
247,400
248,476
249,1287
250,1656
251,1076
252,824
253,766
254,730
255,795
256,591
257,616
258,384
259,486
260,630
261,613
262,476
263,260
264,582
265,542
266,715
267,859
268,570
269,340
270,560
271,535
272,476
273,530
274,520
275,500
276,610
277,784
278,1072
279,886
280,894
281,708
282,801
283,558
284,474
285,782
286,643
287,757
288,838
289,510
290,476
291,460
292,719
293,498
294,296
295,324
296,398
297,406
298,806
299,422
300,582
301,610
302,677
303,456
304,540
305,666
306,352
307,488
308,1518
309,1500
310,1313
311,1286
312,942
313,402
314,586
315,794
316,424
317,486
318,486
319,823
320,786
321,714
322,538
323,500
324,677
325,696
326,617
327,744
328,702
329,570
330,305
331,848
332,668
333,632
334,812
335,846
336,614
337,562
338,616
339,532
340,596
341,510
342,493
343,510
344,494
345,328
346,223
347,762
348,509
349,676
350,1256
351,902
352,1018
353,1074
354,907
355,872
356,915
357,1030
358,1128
359,903
360,906
361,918
362,1080
363,759
364,1172
365,1134
366,1051
367,1075
368,1172
369,710
370,534
371,1119
372,1290
373,1190
374,1210
375,1115
376,1179
377,882
378,1096
379,780
380,474
381,415
382,1066
383,586
384,530
385,796
386,458
387,490
388,546
389,468
390,363
391,288
392,642
393,354
394,298
395,343
396,415
397,406
398,518
399,780
400,502
401,449
402,468
403,548
404,410
405,399
406,809
407,416
408,398
409,456
410,356
411,513
412,738
413,856
414,680
415,391
416,379
417,554
418,704
419,720
420,415
421,534
422,612
423,636
424,707
425,422
426,447
427,1324
428,825
429,1772
430,1732
431,1162
432,432
433,1032
434,1675
435,416
436,405
437,533
438,1486
439,1498
440,1591
441,502
442,536
443,930
444,636
445,630
446,498
447,478
448,318
449,1598
450,960
451,1053
452,892
453,504
454,466
455,624
456,364
457,452
458,392
459,652
460,588
461,476
462,271
463,344
464,568
465,510
466,434
467,484
468,98
469,1094
470,1462
471,1452
472,1467
473,1472
474,838
475,1000
476,783
477,816
478,663
479,260
480,498
481,370
482,484
483,439
484,446
485,480
486,610
487,478
488,378
489,334
490,352
491,536
492,433
493,548
494,332
495,358
496,320
497,414
498,512
499,536
500,270
501,451
502,296
503,298
504,314
505,362
506,457
507,625
508,620
509,784
510,832
511,872
512,856
513,915
514,968
515,994
516,1033
517,1044
518,943
519,842
520,940
521,882
522,914
523,887
524,898
525,900
526,915
527,956
528,988
529,911
530,992
531,988
532,924
533,915
534,818
535,786
536,851
537,809
538,846
539,856
540,1290
541,1554
542,1815
543,2188
544,2512
545,2787
546,3106
547,3103
548,3068
549,3096
550,2860
551,3160
552,3087
553,3007
554,3079
555,3054
556,3133
557,3256
558,3143
559,3062
560,2914
561,2742
562,2838
563,2730
564,2718
565,2703
566,2728
567,2515
568,2302
569,1955
570,1662
571,1262
572,974
573,696
574,535
575,500
576,495
577,460
578,481
579,538
580,608
581,576
582,484
583,443
584,474
585,366
586,265
587,183
588,280
589,378
590,434
591,388
592,344
593,307
594,306
595,366
596,387
597,421
598,458
599,460
600,518
601,458
602,763
603,2
604,0
605,1
