"Interval start","Filtered packets"
0,0
1,21216
2,1.59209e+06
3,7.18448e+06
4,9.03622e+06
5,1.07396e+07
6,1.54699e+07
7,1.75628e+07
8,1.60687e+07
9,1.70488e+07
10,1.95062e+07
11,2.20318e+07
12,2.5807e+07
13,1.9295e+07
14,1.82986e+07
15,1.71177e+07
16,1.71583e+07
17,1.73273e+07
18,7.35882e+06
19,7.40154e+06
20,6.71266e+06
21,5.04797e+06
22,1.08263e+07
23,4.07614e+06
24,2.25306e+06
25,1.90837e+07
26,2.31651e+07
27,2.17697e+07
28,2.34732e+07
29,2.36819e+07
30,2.31293e+07
31,2.13423e+07
32,2.39635e+07
33,2.45303e+07
34,1.97038e+07
35,2.0433e+07
36,2.26155e+07
37,2.33898e+07
38,2.2906e+07
39,2.25453e+07
40,2.19752e+07
41,2.02012e+07
42,1.88005e+07
43,1.85319e+07
44,1.47735e+07
45,1.2419e+07
46,1.65073e+07
47,2.0753e+07
48,1.76557e+07
49,1.28374e+07
50,2.16503e+07
51,2.67021e+07
52,2.40601e+07
53,1.00606e+07
54,1.16843e+07
55,9.86138e+06
56,1.07404e+07
57,1.14248e+07
58,5.24885e+06
59,2.67112e+06
60,4.81973e+06
61,3.74191e+06
62,4.91037e+06
63,5.65347e+06
64,7.30078e+06
65,7.63821e+06
66,8.16632e+06
67,7.26312e+06
68,9.16013e+06
69,8.13293e+06
70,8.17894e+06
71,1.13782e+07
72,2.00736e+06
73,7.17317e+06
74,3.80128e+06
75,9.60649e+06
76,9.42058e+06
77,1.26307e+07
78,1.88336e+07
79,2.03748e+07
80,1.89885e+07
81,1.76307e+07
82,1.53399e+07
83,1.64121e+07
84,1.35981e+07
85,9.02819e+06
86,4.11595e+06
87,2.85005e+06
88,5.38955e+06
89,5.85382e+06
90,2.95046e+06
91,5.90671e+06
92,8.12726e+06
93,8.05694e+06
94,3.77547e+06
95,6.6835e+06
96,2.89882e+06
97,5.21142e+06
98,6.3671e+06
99,4.52043e+06
100,2.85282e+06
101,4.00939e+06
102,7.07342e+06
103,5.88219e+06
104,7.94514e+06
105,4.12966e+06
106,7.39977e+06
107,7.54805e+06
108,7.30272e+06
109,6.17621e+06
110,7.02894e+06
111,6.00062e+06
112,6.56923e+06
113,6.93011e+06
114,8.75864e+06
115,8.04754e+06
116,8.88066e+06
117,6.79003e+06
118,9.03965e+06
119,8.55907e+06
120,1.77272e+07
121,1.97215e+07
122,1.78864e+07
123,1.1187e+07
124,9.04115e+06
125,9.42146e+06
126,4.94179e+06
127,7.01344e+06
128,4.94374e+06
129,1.09422e+07
130,8.14088e+06
131,6.64315e+06
132,5.57706e+06
133,6.79617e+06
134,7.12907e+06
135,7.6531e+06
136,7.5143e+06
137,1.16394e+07
138,8.08675e+06
139,6.87298e+06
140,8.80613e+06
141,8.5688e+06
142,9.59093e+06
143,7.52832e+06
144,8.94077e+06
145,9.50966e+06
146,7.66136e+06
147,9.3161e+06
148,7.39537e+06
149,3.61834e+06
150,3.60134e+06
151,1.00097e+07
152,7.76254e+06
153,8.7681e+06
154,1.01181e+07
155,1.1636e+07
156,7.54446e+06
157,8.32158e+06
158,1.00605e+07
159,3.08139e+06
160,3.79816e+06
161,4.69421e+06
162,5.07936e+06
163,1.21458e+07
164,8.2819e+06
165,1.03066e+07
166,1.06478e+07
167,8.8448e+06
168,7.30718e+06
169,4.24613e+06
170,1.0923e+07
171,9.52179e+06
172,5.65803e+06
173,4.47582e+06
174,4.35368e+06
175,5.30838e+06
176,5.29848e+06
177,6.29208e+06
178,1.19714e+07
179,1.34189e+07
180,7.0244e+06
181,6.59001e+06
182,9.60854e+06
183,1.1203e+07
184,1.13722e+07
185,1.11209e+07
186,1.18638e+07
187,1.0293e+07
188,1.26946e+07
189,1.45966e+07
190,1.28404e+07
191,9.42994e+06
192,1.68403e+06
193,2.58912e+06
194,1.11695e+07
195,1.46923e+07
196,1.2813e+07
197,1.23669e+07
198,1.25666e+07
199,6.88517e+06
200,7.60742e+06
201,6.30688e+06
202,9.17846e+06
203,9.26736e+06
204,8.22922e+06
205,7.27888e+06
206,7.03351e+06
207,4.41539e+06
208,1.22473e+07
209,1.09787e+07
210,7.91693e+06
211,1.39379e+07
212,1.35572e+07
213,1.42349e+07
214,1.58474e+07
215,1.67765e+07
216,8.81454e+06
217,7.46517e+06
218,8.5657e+06
