"Interval start","Filtered packets"
0,0
1,22
2,166
3,618
4,770
5,906
6,1300
7,1474
8,1350
9,1432
10,1626
11,1848
12,2156
13,1614
14,1530
15,1434
16,1444
17,1456
18,630
19,634
20,576
21,434
22,916
23,362
24,208
25,1600
26,1938
27,1816
28,1962
29,1976
30,1934
31,1786
32,2008
33,2046
34,1650
35,1706
36,1892
37,1956
38,1910
39,1886
40,1840
41,1688
42,1574
43,1554
44,1240
45,1052
46,1386
47,1740
48,1478
49,1082
50,1810
51,2228
52,2010
53,854
54,990
55,840
56,910
57,964
58,456
59,244
60,420
61,334
62,428
63,488
64,634
65,656
66,694
67,624
68,780
69,696
70,700
71,968
72,188
73,616
74,336
75,822
76,806
77,1062
78,1578
79,1708
80,1592
81,1480
82,1286
83,1382
84,1146
85,770
86,366
87,266
88,468
89,506
90,266
91,512
92,696
93,688
94,332
95,584
96,258
97,456
98,544
99,390
100,262
101,354
102,608
103,506
104,680
105,372
106,638
107,648
108,624
109,532
110,606
111,516
112,572
113,588
114,744
115,690
116,764
117,584
118,770
119,730
120,1486
121,1656
122,1500
123,946
124,766
125,802
126,428
127,606
128,428
129,928
130,698
131,574
132,486
133,586
134,612
135,656
136,644
137,980
138,698
139,586
140,752
141,730
142,816
143,642
144,764
145,810
146,656
147,794
148,632
149,318
150,322
151,850
152,664
153,748
154,858
155,980
156,648
157,710
158,850
159,276
160,332
161,414
162,448
163,1032
164,706
165,870
166,902
167,756
168,630
169,376
170,924
171,810
172,494
173,392
174,382
175,460
176,460
177,544
178,1010
179,1134
180,604
181,570
182,818
183,950
184,960
185,944
186,1004
187,870
188,1074
189,1224
190,1086
191,802
192,160
193,236
194,948
195,1236
196,1078
197,1048
198,1060
199,592
200,656
201,542
202,778
203,788
204,702
205,622
206,608
207,384
208,1032
209,932
210,672
211,1176
212,1142
213,1198
214,1330
215,1406
216,748
217,640
218,728
219,790
220,1106
221,762
222,686
223,630
224,144
225,342
226,630
227,392
228,874
229,798
230,590
231,878
232,724
233,320
234,536
235,718
236,614
237,496
238,506
239,694
240,602
241,722
242,536
243,702
244,1238
245,1688
246,1342
247,1296
248,1248
249,1120
250,1200
251,956
252,904
253,578
254,786
255,988
256,822
257,634
258,334
259,872
260,726
261,934
262,1038
263,610
264,512
265,894
266,808
267,590
268,790
269,688
270,522
271,768
272,1232
273,1038
274,1074
275,994
276,738
277,658
278,730
279,704
280,1092
281,998
282,958
283,928
284,560
285,576
286,718
287,434
288,260
289,228
290,332
291,282
292,226
293,546
294,660
295,1032
296,1014
297,1106
298,662
299,856
300,1102
301,370
302,646
303,1324
304,1262
305,1130
306,1098
307,948
308,532
309,782
310,1042
311,500
312,492
313,710
314,1182
315,1232
316,1108
317,846
318,826
319,1082
320,1028
321,960
322,1296
323,1270
324,916
325,646
326,1156
327,1062
328,884
329,1294
330,1452
331,876
332,872
333,920
334,804
335,886
336,764
337,766
338,706
339,714
340,454
341,264
342,696
343,472
344,562
345,1900
346,1422
347,1596
348,1596
349,1410
350,1460
351,1570
352,1688
353,1586
354,1102
355,1244
356,916
357,1306
358,654
359,1932
360,1840
361,1784
362,1800
363,1148
364,392
365,482
366,1246
367,2102
368,1820
369,1940
370,1832
371,1756
372,510
373,1176
374,802
375,494
376,376
377,1046
378,296
379,448
380,858
381,572
382,530
383,748
384,536
385,212
386,302
387,802
388,320
389,302
390,408
391,440
392,478
393,738
394,1018
395,468
396,446
397,722
398,646
399,558
400,608
401,1182
402,774
403,770
404,754
405,624
406,628
407,966
408,886
409,568
410,622
411,662
412,916
413,1140
414,1108
415,528
416,670
417,894
418,942
419,1136
420,414
421,672
422,2100
423,1462
424,2534
425,2602
426,1748
427,672
428,1576
429,2378
430,868
431,788
432,942
433,2532
434,2616
435,2556
436,840
437,950
438,1422
439,1016
440,1040
441,742
442,642
443,278
444,2396
445,1464
446,1382
447,1468
448,626
449,674
450,928
451,490
452,648
453,694
454,950
455,1116
456,422
457,220
458,578
459,966
460,826
461,754
462,794
463,68
464,1362
465,2058
466,1784
467,1708
468,1830
469,1484
470,1648
471,1414
472,1514
473,1038
474,282
475,684
476,626
477,712
478,666
479,546
480,1258
481,1342
482,804
483,364
484,402
485,406
486,528
487,296
488,682
489,576
490,504
491,528
492,466
493,532
494,460
495,170
496,536
497,283
498,345
499,394
500,440
501,550
502,730
503,770
504,898
505,1034
506,1048
507,1038
508,998
509,1060
510,1084
511,1114
512,1200
513,1068
514,982
515,1062
516,1004
517,1052
518,976
519,972
520,990
521,1054
522,1168
523,1022
524,1008
525,1128
526,1144
527,1068
528,1004
529,930
530,948
531,964
532,914
533,1022
534,1166
535,1760
536,2130
537,2462
538,2912
539,3422
540,3600
541,4018
542,4060
543,4056
544,3952
545,3886
546,3962
547,4026
548,3952
549,3928
550,3994
551,4182
552,4404
553,4088
554,3962
555,3740
556,3708
557,3632
558,3566
559,3646
560,3546
561,3296
562,2910
563,2842
564,2438
565,2122
566,1610
567,1246
568,766
569,514
570,636
571,740
572,722
573,848
574,942
575,962
576,934
577,700
578,582
579,598
580,402
581,258
582,142
583,380
584,544
585,600
586,530
587,448
588,356
589,380
590,494
591,544
592,580
593,622
594,616
595,714
596,660
597,1012
598,0
599,0
600,1
