"Interval start","Filtered packets"
0,0
1,0
2,21696
3,5.21769e+06
4,8.45419e+06
5,8.96419e+06
6,8.9693e+06
7,8.90941e+06
8,9.19349e+06
9,8.67093e+06
10,8.50352e+06
11,1.28003e+07
12,8.09861e+06
13,8.72912e+06
14,8.93314e+06
15,8.91688e+06
16,9.05075e+06
17,8.78479e+06
18,9.41242e+06
19,1.31597e+07
20,8.44573e+06
21,8.59382e+06
22,8.85539e+06
23,8.72179e+06
24,8.11059e+06
25,8.42534e+06
26,8.13757e+06
27,8.21299e+06
28,1.30256e+07
29,8.64165e+06
30,8.61626e+06
31,1.00033e+07
32,8.91526e+06
33,9.49914e+06
34,9.33455e+06
35,9.02059e+06
36,1.29308e+07
37,8.96594e+06
38,9.42814e+06
39,9.07538e+06
40,9.13717e+06
41,9.17045e+06
42,8.95598e+06
43,9.50118e+06
44,1.36181e+07
45,9.19002e+06
46,9.21893e+06
47,9.29772e+06
48,9.73893e+06
49,9.62431e+06
50,9.64814e+06
51,9.37458e+06
52,9.4515e+06
53,1.33467e+07
54,9.52512e+06
55,9.46523e+06
56,9.45586e+06
57,9.49434e+06
58,9.79021e+06
59,9.70942e+06
60,9.7067e+06
61,1.38634e+07
62,9.9643e+06
63,1.01918e+07
64,1.0095e+07
65,9.82565e+06
66,1.00331e+07
67,9.78573e+06
68,9.76453e+06
69,1.39222e+07
70,9.08603e+06
71,8.55262e+06
72,8.62904e+06
73,8.64323e+06
74,8.81918e+06
75,8.69806e+06
76,8.66792e+06
77,8.51045e+06
78,1.26254e+07
79,8.39182e+06
80,8.03354e+06
81,8.29475e+06
82,8.24277e+06
83,8.91566e+06
84,8.53512e+06
85,8.29754e+06
86,1.20753e+07
87,7.55691e+06
88,8.75571e+06
89,7.8533e+06
90,7.70573e+06
91,9.54502e+06
92,1.00051e+07
93,9.26501e+06
94,1.26086e+07
95,7.98013e+06
96,8.1701e+06
97,8.4239e+06
98,8.94002e+06
99,9.5535e+06
100,9.32005e+06
101,9.712e+06
102,9.38555e+06
103,1.27597e+07
104,8.80834e+06
105,8.75866e+06
106,8.59718e+06
107,8.45867e+06
108,8.6689e+06
109,9.13406e+06
110,9.25074e+06
111,1.30887e+07
112,8.85307e+06
113,9.13805e+06
114,9.42966e+06
115,9.37368e+06
116,9.55269e+06
117,9.0968e+06
118,9.68778e+06
119,1.3749e+07
120,9.29248e+06
121,9.78846e+06
122,9.47855e+06
123,9.6099e+06
124,9.53616e+06
125,9.2149e+06
126,9.64152e+06
127,8.68494e+06
128,1.30361e+07
129,8.82554e+06
130,9.1792e+06
131,9.00629e+06
132,9.35526e+06
133,9.40022e+06
134,9.16605e+06
135,9.18358e+06
136,1.34415e+07
137,9.20577e+06
138,9.59594e+06
139,9.90056e+06
140,1.05826e+07
141,1.0455e+07
142,1.01847e+07
143,1.05754e+07
144,1.42326e+07
145,9.8527e+06
146,1.00904e+07
147,9.81886e+06
148,1.05362e+07
149,9.77554e+06
150,9.5826e+06
151,1.06596e+07
152,1.28681e+07
153,1.59996e+07
154,1.2014e+07
155,1.1184e+07
156,1.19641e+07
157,1.26688e+07
158,1.1255e+07
159,1.07605e+07
160,1.11543e+07
161,1.38833e+07
162,8.88944e+06
163,8.8955e+06
164,9.04382e+06
165,8.66462e+06
166,9.07064e+06
167,9.90654e+06
168,1.03053e+07
169,1.36232e+07
170,9.61728e+06
171,1.00492e+07
172,9.73347e+06
173,1.00465e+07
174,1.06404e+07
175,9.9336e+06
176,9.66157e+06
177,1.01957e+07
178,1.43168e+07
179,1.04154e+07
180,1.07721e+07
181,1.04113e+07
182,9.955e+06
183,1.004e+07
184,9.78186e+06
185,9.7279e+06
186,1.34528e+07
187,9.53603e+06
188,9.55013e+06
189,9.28301e+06
190,9.07563e+06
191,9.12659e+06
192,9.24171e+06
193,9.41548e+06
194,1.37337e+07
195,8.73765e+06
196,8.93798e+06
197,9.05746e+06
198,9.38765e+06
199,9.11842e+06
200,9.32534e+06
201,9.34256e+06
202,9.43032e+06
203,1.33409e+07
204,9.40723e+06
205,9.85469e+06
206,9.7861e+06
207,9.90546e+06
208,1.10167e+07
209,9.82654e+06
210,9.41667e+06
211,1.28656e+07
212,1.12439e+07
213,1.14921e+07
