"Interval start","Filtered packets"
0,0
1,0
2,23
3,439
4,747
5,770
6,773
7,764
8,792
9,746
10,728
11,1083
12,697
13,750
14,774
15,765
16,776
17,754
18,812
19,1120
20,728
21,739
22,763
23,752
24,704
25,729
26,700
27,704
28,1104
29,740
30,745
31,858
32,767
33,818
34,800
35,772
36,1091
37,770
38,812
39,778
40,781
41,790
42,773
43,814
44,1154
45,790
46,793
47,804
48,832
49,830
50,824
51,796
52,814
53,1132
54,812
55,812
56,808
57,815
58,842
59,836
60,828
61,1175
62,859
63,870
64,864
65,838
66,859
67,838
68,834
69,1184
70,778
71,734
72,744
73,744
74,760
75,752
76,739
77,736
78,1078
79,724
80,692
81,711
82,711
83,766
84,728
85,713
86,1032
87,652
88,754
89,678
90,666
91,823
92,859
93,796
94,1074
95,688
96,703
97,724
98,768
99,818
100,797
101,826
102,803
103,1088
104,756
105,757
106,738
107,730
108,744
109,778
110,794
111,1113
112,759
113,788
114,808
115,802
116,825
117,780
118,832
119,1162
120,803
121,834
122,817
123,826
124,822
125,790
126,827
127,746
128,1104
129,754
130,789
131,776
132,801
133,812
134,790
135,789
136,1144
137,790
138,820
139,844
140,908
141,893
142,871
143,906
144,1202
145,836
146,855
147,836
148,902
149,836
150,818
151,914
152,1090
153,1352
154,1022
155,952
156,1018
157,1076
158,967
159,914
160,954
161,1176
162,767
163,767
164,776
165,746
166,774
167,852
168,887
169,1158
170,826
171,862
172,833
173,864
174,907
175,848
176,826
177,872
178,1214
179,889
180,912
181,890
182,851
183,862
184,834
185,831
186,1144
187,816
188,814
189,800
190,782
191,780
192,790
193,810
194,1170
195,750
196,768
197,783
198,806
199,780
200,800
201,799
202,811
203,1134
204,810
205,844
206,836
207,843
208,940
209,842
210,806
211,1093
212,967
213,980
214,894
215,733
216,688
217,680
218,702
219,1056
220,627
221,662
222,689
223,690
224,730
225,710
226,753
227,780
228,1040
229,694
230,660
231,683
232,707
233,716
234,744
235,788
236,1086
237,793
238,842
239,852
240,844
241,800
242,801
243,781
244,1082
245,702
246,724
247,714
248,745
249,732
250,750
251,766
252,797
253,1101
254,752
255,776
256,788
257,750
258,800
259,791
260,780
261,1082
262,695
263,688
264,700
265,659
266,682
267,766
268,762
269,1106
270,905
271,1138
272,1073
273,1012
274,1014
275,942
276,961
277,958
278,1272
279,980
280,956
281,951
282,921
283,846
284,816
285,790
286,1098
287,791
288,814
289,800
290,814
291,800
292,812
293,798
294,1130
295,766
296,764
297,786
298,801
299,798
300,792
301,794
302,793
303,1110
304,795
305,784
306,770
307,794
308,818
309,801
310,784
311,1128
312,769
313,801
314,778
315,772
316,774
317,790
318,797
319,1150
320,786
321,818
322,837
323,849
324,800
325,844
326,822
327,814
328,1172
329,1035
330,994
331,854
332,799
333,806
334,859
335,802
336,1152
337,834
338,850
339,854
340,861
341,832
342,821
343,846
344,1142
345,796
346,819
347,806
348,780
349,768
350,767
351,740
352,763
353,1084
354,752
355,754
356,745
357,710
358,728
359,726
360,733
361,1050
362,737
363,746
364,740
365,722
366,721
367,710
368,758
369,1082
370,646
371,685
372,691
373,694
374,732
375,731
376,754
377,752
378,1070
379,752
380,761
381,794
382,803
383,842
384,836
385,820
386,1131
387,752
388,779
389,758
390,742
391,832
392,897
393,961
394,1262
395,950
396,944
397,960
398,955
399,950
400,934
401,870
402,763
403,1103
404,762
405,742
406,748
407,761
408,764
409,772
410,788
411,1098
412,775
413,853
414,794
415,808
416,792
417,810
418,846
419,1177
420,798
421,814
422,847
423,828
424,836
425,823
426,834
427,816
428,1138
429,856
430,820
431,851
432,857
433,904
434,898
435,882
436,1163
437,852
438,852
439,809
440,800
441,800
442,768
443,724
444,1046
445,640
446,657
447,666
448,676
449,648
450,636
451,650
452,660
453,998
454,664
455,666
456,696
457,727
458,748
459,758
460,762
461,1096
462,748
463,762
464,758
465,750
466,744
467,750
468,753
469,1086
470,692
471,708
472,727
473,726
474,747
475,752
476,758
477,772
478,1120
479,804
480,801
481,804
482,805
483,808
484,780
485,762
486,1043
487,742
488,760
489,740
490,749
491,726
492,729
493,718
494,1070
495,670
496,705
497,750
498,772
499,786
500,761
501,762
502,755
503,1058
504,761
505,742
506,750
507,758
508,792
509,892
510,841
511,1066
512,917
513,1144
514,1166
515,979
516,938
517,990
518,1042
519,1288
520,988
521,978
522,1028
523,828
524,846
525,790
526,780
527,754
528,1089
529,764
530,758
531,706
532,707
533,741
534,722
535,742
536,1038
537,704
538,704
539,699
540,716
541,732
542,667
543,701
544,1044
545,636
546,650
547,646
548,692
549,687
550,694
551,698
552,721
553,1055
554,732
555,726
556,738
557,754
558,766
559,783
560,800
561,1110
562,768
563,802
564,770
565,790
566,785
567,774
568,804
569,1108
570,760
571,759
572,777
573,792
574,800
575,796
576,784
577,789
578,1098
579,756
580,766
581,752
582,727
583,749
584,684
585,680
586,1030
587,662
588,709
589,726
590,736
591,722
592,723
593,735
594,1094
595,730
596,754
597,745
598,670
599,544
600,782
601,0
602,1
603,0
604,1
