"Interval start","Filtered packets"
0,63360
1,63360
2,63072
3,3.09523e+07
4,3.48123e+07
5,3.43638e+07
6,3.3566e+07
7,3.4696e+07
8,4.38147e+07
9,3.51852e+07
10,3.28391e+07
11,4.77928e+07
12,3.04077e+07
13,4.09286e+07
14,3.30645e+07
15,3.31705e+07
16,3.54645e+07
17,3.5088e+07
18,4.29605e+07
19,3.81864e+07
20,4.88614e+07
21,3.37084e+07
22,3.61103e+07
23,4.30645e+07
24,3.31995e+07
25,3.27784e+07
26,3.33572e+07
27,3.00382e+07
28,5.45727e+07
29,3.40263e+07
30,3.30244e+07
31,3.6263e+07
32,3.76624e+07
33,4.36675e+07
34,3.64445e+07
35,3.57446e+07
36,5.06472e+07
37,3.29906e+07
38,4.07388e+07
39,3.56786e+07
40,3.38571e+07
41,3.39653e+07
42,3.48583e+07
43,4.05208e+07
44,3.85843e+07
45,5.16902e+07
46,3.4784e+07
47,3.36313e+07
48,4.19054e+07
49,3.92184e+07
50,3.79634e+07
51,3.59158e+07
52,3.55442e+07
53,5.42185e+07
54,3.86833e+07
55,3.51525e+07
56,3.78038e+07
57,3.58109e+07
58,4.27072e+07
59,3.97852e+07
60,3.71905e+07
61,5.10648e+07
62,3.87736e+07
63,4.3712e+07
64,3.96284e+07
65,3.85679e+07
66,3.82614e+07
67,3.67467e+07
68,4.26121e+07
69,3.73072e+07
70,5.02003e+07
71,3.23671e+07
72,3.43299e+07
73,4.0844e+07
74,3.69663e+07
75,3.25795e+07
76,3.10332e+07
77,3.08763e+07
78,5.16297e+07
79,3.26763e+07
80,3.02452e+07
81,3.14133e+07
82,3.17709e+07
83,3.88792e+07
84,3.40743e+07
85,3.18277e+07
86,4.72716e+07
87,2.80081e+07
88,3.78525e+07
89,3.37635e+07
90,2.99826e+07
91,3.22081e+07
92,3.62738e+07
93,4.18306e+07
94,3.36724e+07
95,4.73801e+07
96,3.00779e+07
97,3.03173e+07
98,3.92119e+07
99,3.59754e+07
100,3.40364e+07
101,3.62481e+07
102,3.47889e+07
103,5.02954e+07
104,3.34712e+07
105,3.287e+07
106,3.02927e+07
107,2.98293e+07
108,3.76577e+07
109,3.33526e+07
110,3.39128e+07
111,5.00989e+07
112,3.25436e+07
113,4.01289e+07
114,3.38159e+07
115,3.73089e+07
116,3.40428e+07
117,3.28477e+07
118,4.1541e+07
119,3.54852e+07
120,5.39213e+07
121,3.58181e+07
122,3.34319e+07
123,4.04842e+07
124,3.55898e+07
125,3.58837e+07
126,3.37201e+07
127,3.43494e+07
128,5.22146e+07
129,3.26663e+07
130,3.50833e+07
131,3.377e+07
132,3.26596e+07
133,3.99248e+07
134,3.43117e+07
135,3.50642e+07
136,5.03369e+07
137,3.22689e+07
138,3.97706e+07
139,3.58921e+07
140,3.85439e+07
141,3.74631e+07
142,3.74928e+07
143,4.34509e+07
144,3.76541e+07
145,5.39608e+07
146,3.59284e+07
147,3.54373e+07
148,4.34876e+07
149,3.62874e+07
150,3.63188e+07
151,3.75954e+07
152,4.13413e+07
153,5.79426e+07
154,4.15525e+07
155,3.86939e+07
156,3.82167e+07
157,4.17864e+07
158,4.63268e+07
159,3.91341e+07
160,4.00155e+07
161,5.38236e+07
162,3.77332e+07
163,4.10034e+07
164,3.5429e+07
165,3.59689e+07
166,3.55355e+07
167,3.753e+07
168,4.47449e+07
169,3.7515e+07
170,5.39963e+07
171,3.78788e+07
172,3.64095e+07
173,4.45524e+07
174,4.09074e+07
175,3.92781e+07
176,4.04055e+07
177,4.04725e+07
178,5.74661e+07
179,3.99319e+07
180,4.16879e+07
181,4.02023e+07
182,3.91436e+07
183,4.43633e+07
184,3.93035e+07
185,3.8902e+07
186,5.51073e+07
187,3.66306e+07
188,4.35799e+07
189,3.71439e+07
190,3.55609e+07
191,3.69739e+07
192,3.5354e+07
193,4.40877e+07
194,3.73237e+07
195,5.17476e+07
196,3.67518e+07
197,3.55764e+07
198,4.17777e+07
199,3.66306e+07
200,3.67912e+07
201,3.7969e+07
202,3.67744e+07
203,5.56362e+07
204,3.75562e+07
205,3.70695e+07
206,3.97545e+07
207,3.76204e+07
208,4.44501e+07
209,4.24377e+07
210,3.81136e+07
211,5.49019e+07
212,3.679e+07
213,4.46163e+07
214,4.04365e+07
215,3.74901e+07
216,3.51801e+07
217,3.08435e+07
218,3.64349e+07
219,3.17954e+07
220,4.73309e+07
221,2.9546e+07
222,3.03844e+07
223,3.6606e+07
224,3.26127e+07
225,3.02188e+07
226,3.52637e+07
227,3.40389e+07
228,5.16893e+07
229,3.04873e+07
230,2.91599e+07
231,3.27145e+07
232,2.9371e+07
233,3.90149e+07
234,3.31839e+07
235,3.60907e+07
236,5.23756e+07
237,3.49316e+07
238,4.36851e+07
239,3.88476e+07
240,3.65089e+07
241,3.78628e+07
242,3.44268e+07
243,4.0676e+07
244,3.305e+07
245,4.96712e+07
246,3.20486e+07
247,3.01739e+07
248,3.85992e+07
249,3.15235e+07
250,3.34856e+07
251,3.40581e+07
252,3.73744e+07
253,5.58422e+07
254,3.37647e+07
255,3.27988e+07
256,3.58202e+07
257,3.46271e+07
258,3.79172e+07
259,3.7767e+07
260,3.31846e+07
261,5.06569e+07
262,3.30458e+07
263,3.67768e+07
264,3.11296e+07
265,3.22789e+07
266,2.95196e+07
267,3.391e+07
268,4.12356e+07
269,3.16179e+07
270,5.33058e+07
271,4.37119e+07
272,4.62553e+07
273,4.37662e+07
274,4.2614e+07
275,3.80179e+07
276,3.64383e+07
277,4.01227e+07
278,5.48517e+07
279,3.77867e+07
280,3.90282e+07
281,3.77046e+07
282,3.91445e+07
283,4.303e+07
284,3.46865e+07
285,3.47067e+07
286,5.08429e+07
287,3.52778e+07
288,4.00904e+07
289,3.45681e+07
290,3.41596e+07
291,3.41088e+07
292,3.3417e+07
293,4.16872e+07
294,3.43361e+07
295,5.05964e+07
296,3.41867e+07
297,3.66173e+07
298,3.95799e+07
299,3.36084e+07
300,3.41805e+07
301,3.40011e+07
302,3.64461e+07
303,5.22433e+07
304,3.35659e+07
305,3.42404e+07
306,3.28056e+07
307,3.61072e+07
308,4.05476e+07
309,3.42793e+07
310,3.41376e+07
311,5.04276e+07
312,3.48567e+07
313,4.13432e+07
314,3.4528e+07
315,3.28091e+07
