"Interval start","Filtered packets"
0,72
1,72
2,81
3,3155
4,3833
5,3803
6,3712
7,3802
8,4673
9,3860
10,3666
11,5063
12,3437
13,4407
14,3667
15,3672
16,3928
17,3880
18,4604
19,4152
20,5159
21,3718
22,3955
23,4590
24,3692
25,3648
26,3715
27,3401
28,5681
29,3766
30,3661
31,3960
32,4100
33,4649
34,3999
35,3941
36,5338
37,3660
38,4393
39,3914
40,3750
41,3762
42,3858
43,4383
44,4181
45,5430
46,3841
47,3723
48,4507
49,4244
50,4136
51,3951
52,3906
53,5679
54,4176
55,3858
56,4128
57,3935
58,4588
59,4310
60,4058
61,5367
62,4220
63,4676
64,4271
65,4165
66,4172
67,4005
68,4547
69,4079
70,5298
71,3622
72,3793
73,4416
74,4046
75,3637
76,3490
77,3471
78,5450
79,3640
80,3418
81,3528
82,3572
83,4208
84,3739
85,3579
86,5042
87,3204
88,4142
89,3751
90,3380
91,3632
92,3971
93,4492
94,3729
95,5025
96,3404
97,3430
98,4269
99,3949
100,3757
101,3974
102,3826
103,5286
104,3712
105,3657
106,3427
107,3368
108,4102
109,3696
110,3757
111,5281
112,3627
113,4343
114,3727
115,4075
116,3775
117,3642
118,4471
119,3891
120,5636
121,3951
122,3697
123,4374
124,3895
125,3930
126,3727
127,3814
128,5462
129,3630
130,3873
131,3765
132,3663
133,4323
134,3789
135,3856
136,5310
137,3599
138,4309
139,3922
140,4191
141,4081
142,4080
143,4639
144,4088
145,5652
146,3958
147,3913
148,4655
149,3975
150,3971
151,4142
152,4426
153,6016
154,4464
155,4221
156,4142
157,4516
158,4900
159,4221
160,4321
161,5605
162,4135
163,4398
164,3934
165,3929
166,3913
167,4088
168,4751
169,4071
170,5633
171,4131
172,3980
173,4754
174,4411
175,4268
176,4356
177,4353
178,5975
179,4313
180,4480
181,4325
182,4263
183,4731
184,4267
185,4207
186,5718
187,4013
188,4647
189,4054
190,3926
191,4044
192,3888
193,4741
194,4060
195,5431
196,4045
197,3909
198,4492
199,4019
200,4012
201,4130
202,4015
203,5788
204,4077
205,4050
206,4302
207,4097
208,4720
209,4539
210,4169
211,5710
212,4043
213,4740
214,4376
215,4081
216,3865
217,3462
218,3969
219,3548
220,5051
221,3359
222,3426
223,4015
224,3630
225,3388
226,3901
227,3773
228,5427
229,3448
230,3311
231,3641
232,3337
233,4249
234,3683
235,3978
236,5504
237,3841
238,4674
239,4218
240,3985
241,4125
242,3789
243,4383
244,3672
245,5250
246,3585
247,3399
248,4183
249,3544
250,3717
251,3777
252,4090
253,5822
254,3746
255,3661
256,3945
257,3822
258,4121
259,4121
260,3675
261,5329
262,3685
263,4017
264,3494
265,3601
266,3351
267,3760
268,4431
269,3550
270,5588
271,4692
272,4916
273,4679
274,4578
275,4147
276,3983
277,4355
278,5707
279,4147
280,4242
281,4120
282,4251
283,4602
284,3815
285,3847
286,5358
287,3883
288,4336
289,3816
290,3764
291,3783
292,3695
293,4511
294,3777
295,5335
296,3780
297,3999
298,4271
299,3712
300,3781
301,3767
302,4000
303,5482
304,3726
305,3780
306,3674
307,3965
308,4390
309,3789
310,3776
311,5317
312,3844
313,4451
314,3805
315,3642
316,3871
317,3975
318,4594
319,3980
320,5376
321,3926
322,4044
323,4590
324,3961
325,3875
326,3949
327,3922
328,5685
329,4040
330,4216
331,3852
332,3983
333,4542
334,4019
335,3884
336,5659
337,3901
338,4773
339,4121
