"Interval start","Filtered packets"
0,63360
1,63360
2,31392
3,7.66931e+06
4,3.00396e+07
5,4.61729e+07
6,4.44925e+07
7,5.05995e+07
8,5.52207e+07
9,5.57818e+07
10,6.12409e+07
11,6.18583e+07
12,7.26089e+07
13,9.35013e+07
14,8.54881e+07
15,7.88413e+07
16,6.99218e+07
17,7.55183e+07
18,7.5073e+07
19,3.17457e+07
20,2.48347e+07
21,2.60715e+07
22,2.09029e+07
23,2.90835e+07
24,2.48852e+07
25,1.03155e+07
26,6.74571e+07
27,9.38267e+07
28,9.99231e+07
29,8.96308e+07
30,8.67172e+07
31,8.85845e+07
32,9.16757e+07
33,9.71652e+07
34,1.01184e+08
35,8.36748e+07
36,7.59581e+07
37,6.99226e+07
38,6.94853e+07
39,6.60793e+07
40,6.92631e+07
41,7.14581e+07
42,6.63575e+07
43,6.50218e+07
44,6.74439e+07
45,5.85689e+07
46,6.02688e+07
47,5.72321e+07
48,5.45551e+07
49,4.9315e+07
50,4.67465e+07
51,8.15675e+07
52,7.74133e+07
53,7.7337e+07
54,6.14766e+07
55,5.04346e+07
56,4.8086e+07
57,4.72333e+07
58,5.12268e+07
59,2.82933e+07
60,7.36278e+06
61,1.5145e+07
62,1.38158e+07
63,1.16582e+07
64,2.23144e+07
65,2.35057e+07
66,2.00443e+07
67,3.143e+07
68,2.21448e+07
69,3.33592e+07
70,2.73825e+07
71,2.36011e+07
72,3.48044e+07
73,1.45245e+07
74,3.10545e+07
75,1.44428e+07
76,3.90817e+07
77,2.48161e+07
78,3.80237e+07
79,6.21364e+07
80,6.55013e+07
81,5.85859e+07
82,5.43669e+07
83,4.17587e+07
84,3.88176e+07
85,3.96889e+07
86,3.86131e+07
87,2.06445e+07
88,1.33504e+07
89,1.66171e+07
90,1.95097e+07
91,1.95074e+07
92,1.54988e+07
93,3.45913e+07
94,3.08351e+07
95,1.6526e+07
96,1.49857e+07
97,2.41724e+07
98,1.58826e+07
99,2.09429e+07
100,1.94527e+07
101,1.38641e+07
102,1.36899e+07
103,3.21404e+07
104,2.37203e+07
105,3.9713e+07
106,2.70253e+07
107,2.1842e+07
108,2.04969e+07
109,2.20316e+07
110,1.82496e+07
111,2.147e+07
112,1.81176e+07
113,2.09789e+07
114,2.06431e+07
115,2.17227e+07
116,3.8037e+07
117,4.00295e+07
118,2.44307e+07
119,2.98973e+07
120,2.90064e+07
121,5.4593e+07
122,5.75874e+07
123,5.6466e+07
124,4.0861e+07
125,2.76273e+07
126,3.31458e+07
127,1.97286e+07
128,2.86545e+07
129,1.87732e+07
130,3.29067e+07
131,2.98761e+07
132,2.84738e+07
133,2.59962e+07
134,2.66435e+07
135,2.93998e+07
136,2.61786e+07
137,2.8549e+07
138,3.97064e+07
139,2.91746e+07
140,2.8693e+07
141,2.89196e+07
142,3.098e+07
143,3.13398e+07
144,3.05358e+07
145,2.96062e+07
146,3.11825e+07
147,3.49997e+07
148,2.48164e+07
149,5.43402e+07
150,1.98815e+07
151,3.0855e+07
152,3.03479e+07
153,2.53641e+07
154,2.80063e+07
155,3.39721e+07
156,3.76667e+07
157,3.45867e+07
158,2.97007e+07
159,4.51314e+07
160,1.6372e+07
161,2.0031e+07
162,2.02735e+07
163,1.94445e+07
164,3.88514e+07
165,2.87388e+07
166,3.08206e+07
167,3.68256e+07
168,3.23631e+07
169,2.97069e+07
170,1.53416e+07
171,3.37946e+07
172,3.26653e+07
173,1.85877e+07
174,1.39801e+07
175,1.34245e+07
176,1.77307e+07
177,1.60547e+07
178,1.88216e+07
179,3.53656e+07
180,4.42472e+07
181,2.91166e+07
182,2.10179e+07
183,2.96259e+07
184,3.75214e+07
185,3.63682e+07
186,3.68849e+07
187,3.70212e+07
188,3.79215e+07
189,3.62189e+07
190,4.1916e+07
191,4.06059e+07
192,3.57003e+07
193,1.29515e+07
194,1.48302e+07
195,3.33482e+07
196,4.35204e+07
197,3.60685e+07
198,2.7108e+07
199,4.39112e+07
200,2.29061e+07
201,2.2084e+07
202,2.0493e+07
203,2.82741e+07
204,2.83481e+07
205,2.9215e+07
206,2.60233e+07
207,2.48459e+07
208,1.3662e+07
209,3.20586e+07
210,3.29421e+07
211,2.59091e+07
212,3.67929e+07
213,3.87411e+07
214,4.40405e+07
215,4.56327e+07
216,4.57812e+07
217,3.11435e+07
218,2.40872e+07
219,2.72011e+07
220,2.87945e+07
221,3.28023e+07
222,3.75486e+07
223,2.87914e+07
224,2.97493e+07
225,1.19324e+07
226,2.06819e+07
227,5.41728e+07
228,3.42903e+07
229,3.81847e+07
230,2.76959e+07
231,2.56013e+07
232,3.19983e+07
233,3.93108e+07
234,2.53224e+07
235,2.21754e+07
236,2.49531e+07
237,2.30104e+07
238,1.9968e+07
239,2.11004e+07
240,2.45627e+07
241,2.39464e+07
242,2.90612e+07
243,2.13035e+07
244,2.53261e+07
245,6.52915e+07
246,9.36596e+07
247,6.12234e+07
248,4.6089e+07
249,4.27114e+07
250,3.91208e+07
251,4.30292e+07
252,3.29754e+07
253,3.39095e+07
254,2.22106e+07
255,2.50227e+07
256,2.80362e+07
257,3.79545e+07
258,2.86923e+07
259,1.39473e+07
260,3.0652e+07
261,2.78021e+07
262,3.72361e+07
263,5.13026e+07
264,3.10134e+07
265,1.86985e+07
266,2.99524e+07
267,2.8028e+07
268,2.52865e+07
269,3.11403e+07
270,2.81868e+07
271,2.6056e+07
272,3.25653e+07
273,4.18539e+07
274,6.22226e+07
275,4.62443e+07
276,4.95155e+07
277,4.00851e+07
278,4.26287e+07
279,3.23999e+07
280,2.5249e+07
281,4.16168e+07
282,3.71411e+07
283,3.93105e+07
284,4.74297e+07
285,2.68045e+07
286,2.67893e+07
287,2.60314e+07
288,3.81269e+07
289,2.81919e+07
290,1.56686e+07
291,1.70472e+07
292,2.13184e+07
293,2.13807e+07
294,4.15401e+07
295,2.5918e+07
296,2.98616e+07
297,3.50713e+07
298,3.65188e+07
299,2.58892e+07
300,2.8147e+07
301,3.53618e+07
302,2.21868e+07
303,1.97156e+07
304,8.47282e+07
305,8.17536e+07
306,7.61019e+07
307,6.89707e+07
308,5.51026e+07
309,2.20967e+07
310,2.83513e+07
311,4.64325e+07
312,2.29229e+07
313,2.62849e+07
314,2.5916e+07
315,4.37832e+07
