"Interval start","Filtered packets"
0,72
1,72
2,45
3,1082
4,3262
5,4752
6,4616
7,5185
8,5609
9,5684
10,6184
11,6233
12,7235
13,9190
14,8439
15,7825
16,6986
17,7548
18,7467
19,3420
20,2805
21,2923
22,2412
23,3169
24,2797
25,1464
26,6760
27,9217
28,9796
29,8801
30,8527
31,8722
32,9004
33,9524
34,9921
35,8278
36,7565
37,7002
38,6977
39,6658
40,6915
41,7139
42,6642
43,6538
44,6770
45,5984
46,6116
47,5841
48,5578
49,5070
50,4824
51,8070
52,7654
53,7685
54,6208
55,5170
56,4947
57,4888
58,5280
59,3096
60,1189
61,1891
62,1786
63,1564
64,2540
65,2676
66,2363
67,3411
68,2539
69,3566
70,3016
71,2671
72,3712
73,1830
74,3364
75,1829
76,4139
77,2773
78,4051
79,6263
80,6567
81,5967
82,5536
83,4368
84,4089
85,4187
86,4077
87,2389
88,1721
89,2024
90,2298
91,2297
92,1924
93,3689
94,3342
95,2025
96,1849
97,2742
98,1956
99,2423
100,2299
101,1775
102,1767
103,3464
104,2682
105,4174
106,3000
107,2519
108,2374
109,2534
110,2201
111,2480
112,2166
113,2435
114,2405
115,2493
116,4009
117,4201
118,2760
119,3258
120,3177
121,5591
122,5871
123,5769
124,4294
125,3028
126,3539
127,2303
128,3162
129,2238
130,3518
131,3284
132,3145
133,2910
134,2956
135,3213
136,2924
137,3144
138,4154
139,3208
140,3144
141,3161
142,3328
143,3383
144,3288
145,3207
146,3364
147,3711
148,2803
149,5561
150,2316
151,3351
152,3318
153,2825
154,3076
155,3631
156,3983
157,3696
158,3219
159,4704
160,1988
161,2340
162,2371
163,2285
164,4096
165,3145
166,3326
167,3925
168,3493
169,3262
170,1920
171,3615
172,3532
173,2204
174,1783
175,1740
176,2156
177,1973
178,2225
179,3790
180,4620
181,3196
182,2427
183,3259
184,3961
185,3874
186,3876
187,3931
188,4001
189,3865
190,4381
191,4273
192,3788
193,1719
194,1882
195,3587
196,4536
197,3832
198,2986
199,4571
200,2613
201,2544
202,2396
203,3091
204,3120
205,3216
206,2901
207,2792
208,1755
209,3439
210,3558
211,2886
212,3913
213,4108
214,4581
215,4754
216,4731
217,3376
218,2713
219,3026
220,3146
221,3533
222,3975
223,3163
224,3254
225,1623
226,2448
227,5559
228,3707
229,4043
230,3045
231,2859
232,3462
233,4155
234,2842
235,2539
236,2796
237,2633
238,2358
239,2466
240,2753
241,2713
242,3198
243,2466
244,2834
245,6557
246,9198
247,6167
248,4807
249,4462
250,4125
251,4486
252,3552
253,3668
254,2540
255,2805
256,3096
257,4006
258,3159
259,1788
260,3337
261,3059
262,3955
263,5287
264,3353
265,2226
266,3303
267,3082
268,2800
269,3401
270,3099
271,2899
272,3510
273,4365
274,6273
275,4813
276,5124
277,4202
278,4438
279,3472
280,2822
281,4364
282,3932
283,4128
284,4909
285,2999
286,2974
287,2906
288,4020
289,3127
290,1934
291,2090
292,2461
293,2469
294,4351
295,2915
296,3259
297,3755
298,3873
299,2864
300,3107
301,3772
302,2597
303,2368
304,8387
305,8121
306,7589
307,6923
308,5604
309,2523
310,3125
311,4806
312,2604
313,2924
314,2867
315,4553
316,4478
317,4303
318,3207
319,3122
320,3743
321,3977
322,3936
323,3978
324,4149
325,3515
326,2128
327,4652
328,3802
329,3854
330,4326
331,4921
332,3773
333,3306
334,3568
335,3227
336,3414
337,3132
338,3077
339,2952
