"Interval start","Filtered packets"
0,0
1,0
2,7040
3,3488
4,605536
5,3.04848e+06
6,4.87494e+06
7,5.11997e+06
8,5.27341e+06
9,6.4023e+06
10,6.10118e+06
11,6.37971e+06
12,6.76835e+06
13,8.28243e+06
14,1.03829e+07
15,9.08346e+06
16,9.05299e+06
17,7.91318e+06
18,8.06662e+06
19,8.57325e+06
20,4.19443e+06
21,2.71731e+06
22,3.1089e+06
23,2.3441e+06
24,3.03267e+06
25,3.01731e+06
26,1.13542e+06
27,6.40566e+06
28,9.99318e+06
29,1.08148e+07
30,1.07889e+07
31,9.27251e+06
32,1.02687e+07
33,9.57622e+06
34,1.05745e+07
35,1.19212e+07
36,9.5064e+06
37,8.16259e+06
38,8.15306e+06
39,7.45062e+06
40,7.59078e+06
41,7.3185e+06
42,8.00518e+06
43,7.75542e+06
44,6.82928e+06
45,6.93798e+06
46,7.30986e+06
47,6.95267e+06
48,6.11354e+06
49,6.23946e+06
50,5.57366e+06
51,5.50979e+06
52,8.38976e+06
53,8.72861e+06
54,8.60758e+06
55,7.14531e+06
56,5.7751e+06
57,5.24237e+06
58,4.93328e+06
59,5.91533e+06
60,3.77978e+06
61,638464
62,1.66022e+06
63,1.44595e+06
64,1.43898e+06
65,2.39894e+06
66,2.6488e+06
67,2.15654e+06
68,3.35949e+06
69,2.47334e+06
70,3.46957e+06
71,3.17594e+06
72,2.71757e+06
73,3.57443e+06
74,2.0584e+06
75,2.93654e+06
76,2.02886e+06
77,4.24643e+06
78,2.70026e+06
79,3.32922e+06
80,7.30211e+06
81,7.3007e+06
82,6.36922e+06
83,6.3151e+06
84,4.85331e+06
85,4.18448e+06
86,4.34054e+06
87,4.65517e+06
88,2.21203e+06
89,1.71402e+06
90,1.73418e+06
91,2.01478e+06
92,2.46685e+06
93,1.564e+06
94,3.61885e+06
95,3.21725e+06
96,2.18899e+06
97,1.75814e+06
98,2.63933e+06
99,1.79907e+06
100,2.22963e+06
101,2.15485e+06
102,1.72278e+06
103,1.43795e+06
104,3.54653e+06
105,2.47469e+06
106,4.36205e+06
107,2.82086e+06
108,2.83411e+06
109,2.06906e+06
110,2.55398e+06
111,2.06022e+06
112,2.30301e+06
113,2.06454e+06
114,2.3729e+06
115,2.15824e+06
116,2.53958e+06
117,4.04906e+06
118,2.75302e+06
119,4.47418e+06
120,3.14794e+06
121,3.32269e+06
122,5.92954e+06
123,5.94986e+06
124,6.44643e+06
125,4.84531e+06
126,3.12592e+06
127,3.75267e+06
128,2.25539e+06
129,3.28643e+06
130,2.00662e+06
131,3.57459e+06
132,3.2664e+06
133,3.32902e+06
134,2.76218e+06
135,2.98998e+06
136,3.13581e+06
137,2.94134e+06
138,3.35309e+06
139,4.41398e+06
140,3.06771e+06
141,3.16506e+06
142,3.22714e+06
143,3.55965e+06
144,3.26637e+06
145,3.44422e+06
146,3.35382e+06
147,3.4271e+06
148,4.04768e+06
149,2.57507e+06
150,5.56947e+06
151,2.65395e+06
152,3.48506e+06
153,3.43747e+06
154,2.80259e+06
155,3.07888e+06
156,3.66973e+06
157,4.07027e+06
158,4.12435e+06
159,3.1783e+06
160,5.25302e+06
161,1.6415e+06
162,2.25549e+06
163,2.23715e+06
164,2.18448e+06
165,4.17402e+06
166,3.2784e+06
167,3.35222e+06
168,3.92627e+06
169,3.58659e+06
170,3.25875e+06
171,2.10752e+06
172,3.49155e+06
173,3.59411e+06
174,2.29661e+06
175,1.51658e+06
176,1.59514e+06
177,1.7056e+06
178,1.91958e+06
179,2.09632e+06
180,3.5639e+06
181,4.94253e+06
182,3.47613e+06
183,2.37082e+06
184,2.59088e+06
185,4.70784e+06
186,4.07197e+06
187,3.9064e+06
188,4.22605e+06
189,4.30579e+06
190,3.81517e+06
191,4.99101e+06
192,4.2191e+06
193,4.12445e+06
194,1.73632e+06
195,1.68947e+06
196,2.98115e+06
197,4.95011e+06
198,4.14419e+06
199,3.28035e+06
200,4.7391e+06
201,2.87088e+06
202,2.18195e+06
203,2.50618e+06
204,2.928e+06
205,3.20522e+06
206,3.1456e+06
207,2.90845e+06
208,2.95187e+06
209,1.57942e+06
210,3.2167e+06
211,3.87725e+06
212,2.73811e+06
213,4.01158e+06
214,4.24874e+06
