"Interval start","Filtered packets"
0,0
1,0
2,8
3,5
4,91
5,336
6,499
7,528
8,534
9,644
10,619
11,647
12,695
13,829
14,1023
15,907
16,906
17,795
18,814
19,863
20,441
21,308
22,344
23,272
24,334
25,330
26,160
27,652
28,981
29,1057
30,1056
31,917
32,1026
33,950
34,1045
35,1175
36,947
37,812
38,823
39,742
40,761
41,736
42,810
43,783
44,687
45,704
46,735
47,707
48,621
49,637
50,573
51,564
52,844
53,879
54,863
55,723
56,589
57,538
58,506
59,605
60,403
61,112
62,210
63,186
64,190
65,274
66,298
67,257
68,366
69,283
70,372
71,343
72,308
73,382
74,248
75,326
76,245
77,447
78,306
79,359
80,739
81,736
82,644
83,646
84,504
85,436
86,454
87,488
88,254
89,213
90,212
91,241
92,285
93,199
94,388
95,352
96,256
97,215
98,300
99,223
100,260
101,250
102,213
103,188
104,383
105,280
106,461
107,312
108,321
109,242
110,290
111,249
112,267
113,242
114,276
115,251
116,291
117,424
118,307
119,472
120,345
121,364
122,610
123,599
124,659
125,506
126,342
127,399
128,261
129,363
130,240
131,385
132,356
133,365
134,308
135,332
136,341
137,331
138,365
139,461
140,336
141,346
142,351
143,382
144,352
145,368
146,363
147,367
148,427
149,294
150,576
151,299
152,379
153,370
154,314
155,337
156,388
157,431
158,438
159,342
160,545
161,205
162,264
163,260
164,256
165,442
166,352
167,366
168,417
169,383
170,355
171,254
172,377
173,383
174,266
175,193
176,205
177,212
178,232
179,249
180,382
181,513
182,376
183,275
184,296
185,492
186,432
187,409
188,445
189,449
190,409
191,514
192,440
193,435
194,220
195,216
196,326
197,510
198,436
199,359
200,493
201,320
202,254
203,290
204,324
205,352
206,343
207,324
208,330
209,200
210,348
211,414
212,304
213,427
214,446
215,460
216,530
217,535
218,412
219,289
220,327
221,366
222,362
223,460
224,338
225,382
226,181
227,256
228,586
229,422
230,446
231,348
232,333
233,361
234,478
235,313
236,269
237,315
238,286
239,263
240,284
241,284
242,324
243,278
244,353
245,292
246,664
247,971
248,745
249,574
250,475
251,468
252,464
253,410
254,437
255,280
256,289
257,356
258,426
259,379
260,195
261,355
262,338
263,332
264,684
265,387
266,248
267,355
268,275
269,377
270,383
271,341
272,310
273,398
274,459
275,667
276,562
277,540
278,495
279,511
280,375
281,318
282,471
283,419
284,469
285,541
286,344
287,340
288,310
289,467
290,349
291,203
292,224
293,279
294,284
295,297
296,476
297,353
298,411
299,408
300,349
301,347
302,371
303,363
304,151
305,929
306,934
307,790
308,804
309,672
310,262
311,334
312,542
313,300
314,332
315,316
316,417
317,570
318,478
319,365
320,338
321,415
322,432
323,444
324,409
325,442
326,434
327,258
328,451
329,432
330,441
331,432
332,583
333,416
334,386
335,358
336,378
337,402
338,341
339,323
340,345
341,343
342,209
343,211
344,443
345,348
346,426
347,547
348,723
349,663
350,609
351,611
352,537
353,557
354,636
355,656
356,639
357,529
358,619
359,588
360,585
361,651
362,670
363,682
364,627
365,739
366,519
367,355
368,461
369,889
370,786
371,748
372,681
373,720
374,611
375,622
376,473
377,422
378,287
379,572
380,462
381,329
382,516
383,319
384,321
385,387
386,287
387,280
388,228
389,387
390,287
391,213
392,225
393,310
394,250
395,358
396,272
397,521
398,285
399,345
400,385
401,267
402,241
403,514
404,303
405,284
406,285
407,265
408,367
409,454
410,525
411,421
412,289
413,255
414,335
415,458
416,461
417,309
418,325
419,402
420,376
421,471
422,314
423,309
424,668
425,632
426,929
427,1051
428,909
429,287
430,453
431,1206
432,315
433,267
434,344
435,745
436,929
437,949
438,477
439,291
440,590
441,472
442,372
443,367
444,286
445,273
446,763
447,724
448,586
449,661
450,375
451,314
452,404
453,265
454,285
455,285
456,396
457,381
458,343
459,220
460,220
461,373
462,341
463,282
464,293
465,192
466,437
467,978
468,840
469,951
470,914
471,529
472,553
473,577
474,493
475,504
476,202
477,334
478,249
479,301
480,311
481,306
482,302
483,411
484,316
485,255
486,255
487,243
488,328
489,306
490,377
491,230
492,251
493,244
494,226
495,369
496,324
497,285
498,275
499,221
500,232
501,203
502,247
503,307
504,397
505,389
506,457
507,532
508,520
509,574
510,555
511,548
512,647
513,615
514,652
515,577
516,556
517,585
518,537
519,564
520,580
521,541
522,573
523,553
524,583
525,612
526,597
527,593
528,609
529,590
530,596
531,504
532,537
533,493
534,528
535,509
536,549
537,688
538,913
539,1066
540,1305
541,1399
542,1688
543,1808
544,1785
545,1830
546,1887
547,1722
548,1810
549,1907
550,1745
551,1861
552,1744
553,1945
554,1911
555,1800
556,1872
557,1736
558,1713
559,1657
560,1606
561,1666
562,1650
563,1590
564,1528
565,1396
566,1300
567,992
568,857
569,664
570,438
571,370
572,334
573,337
574,308
575,305
576,362
577,394
578,364
579,355
580,287
581,331
582,268
583,198
584,195
585,164
586,265
587,287
588,279
589,249
590,230
591,223
592,232
593,278
594,271
595,315
596,296
597,314
598,347
599,304
600,228
601,8
602,6
