"Interval start","Filtered packets"
0,7040
1,7008
2,72512
3,1.86541e+06
4,4.70026e+06
5,4.14112e+06
6,6.73974e+06
7,8.2377e+06
8,9.61971e+06
9,6.99533e+06
10,1.05355e+07
11,9.59686e+06
12,1.25264e+07
13,1.25799e+07
14,9.54237e+06
15,8.77776e+06
16,8.95504e+06
17,8.67299e+06
18,7.40694e+06
19,3.65158e+06
20,4.08842e+06
21,3.02922e+06
22,3.02432e+06
23,5.25107e+06
24,1.6336e+06
25,2.75341e+06
26,1.17971e+07
27,1.17502e+07
28,1.13325e+07
29,1.2114e+07
30,1.22808e+07
31,1.15004e+07
32,1.13371e+07
33,1.23624e+07
34,1.20029e+07
35,1.00431e+07
36,1.08924e+07
37,1.17884e+07
38,1.20731e+07
39,1.15439e+07
40,1.16296e+07
41,1.10254e+07
42,1.00507e+07
43,9.51878e+06
44,9.05242e+06
45,7.38611e+06
46,6.4153e+06
47,9.70582e+06
48,1.0524e+07
49,8.27958e+06
50,6.55968e+06
51,1.33817e+07
52,1.3282e+07
53,1.08125e+07
54,5.73555e+06
55,4.08883e+06
56,5.38291e+06
57,5.86973e+06
58,5.60022e+06
59,1.4624e+06
60,1.81197e+06
61,2.63008e+06
62,1.73859e+06
63,3.14576e+06
64,2.74627e+06
65,3.87222e+06
66,5.11574e+06
67,3.38118e+06
68,3.99926e+06
69,4.67286e+06
70,4.1663e+06
71,5.13539e+06
72,4.09638e+06
73,1.09366e+06
74,3.96874e+06
75,3.90643e+06
76,3.66925e+06
77,5.90874e+06
78,7.26941e+06
79,1.02143e+07
80,1.03121e+07
81,9.37626e+06
82,8.68307e+06
83,8.14205e+06
84,8.21011e+06
85,6.28096e+06
86,3.65629e+06
87,1.94054e+06
88,1.95082e+06
89,2.93328e+06
90,2.72067e+06
91,1.73302e+06
92,4.14106e+06
93,3.36326e+06
94,3.96566e+06
95,1.87667e+06
96,2.92646e+06
97,2.18938e+06
98,3.04426e+06
99,3.17674e+06
100,2.09462e+06
101,1.33296e+06
102,3.78848e+06
103,2.29059e+06
104,4.42205e+06
105,2.72547e+06
106,3.54678e+06
107,3.00259e+06
108,4.26733e+06
109,3.38218e+06
110,3.31142e+06
111,3.63504e+06
112,3.46982e+06
113,2.97504e+06
114,3.92739e+06
115,4.78006e+06
116,3.81338e+06
117,4.33373e+06
118,4.12643e+06
119,4.84144e+06
120,5.24778e+06
121,1.01107e+07
122,1.02531e+07
123,8.0448e+06
124,5.07203e+06
125,4.74278e+06
126,3.96339e+06
127,3.67568e+06
128,2.55098e+06
129,4.26419e+06
130,4.9545e+06
131,3.79795e+06
132,3.15856e+06
133,3.26566e+06
134,3.47971e+06
135,3.51638e+06
136,4.42499e+06
137,4.18051e+06
138,5.90077e+06
139,3.76934e+06
140,3.79645e+06
141,4.6649e+06
142,4.54035e+06
143,4.7536e+06
144,3.87018e+06
145,5.04227e+06
146,4.87373e+06
147,3.36202e+06
148,4.24538e+06
149,4.08822e+06
150,1.90266e+06
151,3.07011e+06
152,4.44474e+06
153,4.36688e+06
154,5.13222e+06
155,5.36966e+06
156,5.68122e+06
157,3.88365e+06
158,4.71274e+06
159,3.84835e+06
160,1.30739e+06
161,2.24054e+06
162,2.92048e+06
163,4.26058e+06
164,5.28237e+06
165,3.67958e+06
166,6.16992e+06
167,5.20362e+06
168,4.34317e+06
169,3.08346e+06
170,3.76106e+06
171,5.24698e+06
172,4.52144e+06
173,2.44899e+06
174,2.06483e+06
175,2.54195e+06
176,2.80534e+06
177,2.97014e+06
178,4.19443e+06
179,7.4696e+06
180,5.10614e+06
181,3.42054e+06
182,3.53946e+06
183,5.61062e+06
184,5.76285e+06
185,5.86173e+06
186,5.80125e+06
187,6.51005e+06
188,4.76531e+06
189,7.30112e+06
190,7.37606e+06
191,6.07213e+06
192,3.67302e+06
193,870144
194,1.36419e+06
195,7.95658e+06
196,7.31882e+06
197,6.31638e+06
198,7.22938e+06
199,5.33654e+06
200,3.36829e+06
201,3.79043e+06
202,3.86829e+06
203,4.21037e+06
204,5.13034e+06
205,3.9657e+06
206,3.59674e+06
207,3.32525e+06
208,3.80253e+06
209,6.15427e+06
210,4.32874e+06
211,5.84979e+06
212,7.02608e+06
213,7.27619e+06
214,7.45622e+06
215,8.26109e+06
216,7.47578e+06
217,4.23219e+06
218,4.04102e+06
219,4.7217e+06
220,5.06224e+06
221,6.43136e+06
222,4.64531e+06
223,4.11466e+06
224,2.53347e+06
225,1.15837e+06
226,4.21878e+06
227,1.51507e+06
228,3.47322e+06
229,5.42259e+06
230,4.86598e+06
231,4.39427e+06
232,5.77168e+06
233,2.28822e+06
234,1.81462e+06
235,4.30093e+06
236,4.02259e+06
237,2.93674e+06
238,3.436e+06
239,3.22112e+06
240,4.30224e+06
241,3.45216e+06
242,4.47747e+06
243,3.07098e+06
244,5.70813e+06
245,8.5015e+06
246,9.48752e+06
247,8.28112e+06
248,7.79254e+06
249,7.73622e+06
250,6.91584e+06
251,6.64285e+06
252,6.7167e+06
253,3.86896e+06
254,3.85126e+06
255,5.22368e+06
256,5.82902e+06
257,4.59706e+06
258,3.32874e+06
259,3.16672e+06
260,4.66589e+06
261,4.6359e+06
262,6.02717e+06
263,5.8471e+06
264,3.69398e+06
265,4.0976e+06
266,4.20771e+06
267,5.07258e+06
268,3.26429e+06
269,5.70467e+06
270,3.49469e+06
271,3.78704e+06
272,3.79229e+06
273,8.76122e+06
274,6.46403e+06
275,6.54352e+06
276,5.53085e+06
277,4.43526e+06
278,4.01242e+06
279,4.22992e+06
280,5.2671e+06
281,6.03894e+06
282,6.33536e+06
283,5.63683e+06
284,4.87859e+06
285,3.46646e+06
286,3.58234e+06
287,4.68064e+06
288,1.69126e+06
289,1.46362e+06
290,1.4816e+06
291,1.88346e+06
292,1.79392e+06
293,965792
294,3.38112e+06
295,5.45421e+06
296,6.80906e+06
297,5.97386e+06
298,5.97347e+06
299,4.12886e+06
300,5.91203e+06
301,6.4991e+06
302,320832
303,7.77325e+06
304,8.1409e+06
305,6.02803e+06
306,7.06077e+06
307,6.30589e+06
308,4.76653e+06
309,3.62486e+06
310,5.67037e+06
311,5.24387e+06
312,2.78051e+06
313,3.47398e+06
314,4.31126e+06
315,8.40093e+06
316,7.66678e+06
317,5.68938e+06
318,5.27107e+06
319,4.87296e+06
320,6.90176e+06
321,6.71587e+06
322,5.69286e+06
323,8.55779e+06
324,7.28883e+06
325,4.85437e+06
326,4.88038e+06
327,6.97853e+06
328,6.02173e+06
329,5.51293e+06
330,9.2432e+06
331,7.82125e+06
332,5.06064e+06
333,4.98573e+06
334,5.68957e+06
335,4.8056e+06
336,5.12877e+06
337,4.78256e+06
338,4.67805e+06
339,5.05197e+06
340,2.88323e+06
341,2.0872e+06
342,3.71763e+06
343,3.02243e+06
344,2.70083e+06
345,5.94032e+06
346,1.10955e+07
347,8.97062e+06
348,1.01207e+07
349,9.29117e+06
350,8.56086e+06
351,9.3007e+06
352,9.80531e+06
353,1.05146e+07
354,8.52797e+06
355,6.95206e+06
356,8.36285e+06
357,4.28979e+06
358,8.13805e+06
359,6.00138e+06
360,1.15825e+07
361,1.11939e+07
362,1.09245e+07
363,1.03112e+07
364,4.86349e+06
365,2.63818e+06
366,2.92838e+06
367,1.08612e+07
368,1.20273e+07
369,1.184e+07
370,1.13627e+07
371,1.18887e+07
372,8.0513e+06
373,3.41206e+06
374,6.74899e+06
375,5.09674e+06
376,2.35494e+06
377,3.84909e+06
378,4.86685e+06
379,1.49062e+06
380,3.28771e+06
381,5.54579e+06
382,2.92486e+06
383,3.72496e+06
384,4.52234e+06
385,2.46742e+06
386,1.07078e+06
387,2.02643e+06
388,5.23658e+06
389,1.74995e+06
390,1.79693e+06
391,2.90506e+06
392,2.50394e+06
393,3.59757e+06
394,3.9432e+06
395,6.12765e+06
396,2.43168e+06
397,2.85725e+06
398,5.00826e+06
399,3.62035e+06
400,3.28141e+06
401,5.31917e+06
402,6.09779e+06
403,4.97894e+06
404,4.63629e+06
405,4.00528e+06
406,4.37146e+06
407,4.96336e+06
408,4.16669e+06
409,5.85946e+06
410,3.04022e+06
411,3.97744e+06
412,4.09558e+06
413,6.68522e+06
414,7.26749e+06
415,5.17245e+06
416,3.20464e+06
417,4.66e+06
418,5.67565e+06
419,5.84598e+06
420,5.55213e+06
421,3.1519e+06
422,5.23837e+06
423,1.41315e+07
424,1.01084e+07
425,1.60297e+07
426,1.61026e+07
427,6.92986e+06
428,3.9289e+06
429,1.52355e+07
430,9.41258e+06
431,5.42608e+06
432,4.22992e+06
433,9.2455e+06
434,1.58488e+07
435,1.68701e+07
436,1.17906e+07
437,4.40685e+06
438,9.1696e+06
439,6.00682e+06
440,6.59094e+06
441,5.62563e+06
442,4.42851e+06
443,3.08755e+06
444,2.22803e+06
445,1.73943e+07
446,6.94976e+06
447,1.03079e+07
448,7.51021e+06
449,2.99571e+06
450,6.29005e+06
451,2.98445e+06
452,3.31142e+06
453,4.0448e+06
454,4.90339e+06
455,6.4265e+06
456,5.5105e+06
457,1.7097e+06
458,1.74573e+06
459,4.80128e+06
460,5.24096e+06
461,5.08099e+06
462,4.48918e+06
463,3.56957e+06
464,1.24477e+06
465,1.12182e+07
466,1.28017e+07
467,9.99091e+06
468,1.15473e+07
469,1.00558e+07
470,9.08509e+06
471,9.81014e+06
472,8.96762e+06
473,9.52e+06
474,3.54646e+06
475,3.92342e+06
476,2.6752e+06
477,4.10621e+06
478,4.15917e+06
479,4.05645e+06
480,5.1545e+06
481,7.79645e+06
482,7.71709e+06
483,2.88509e+06
484,2.3537e+06
485,2.53216e+06
486,3.35872e+06
487,1.93312e+06
488,1.79277e+06
489,4.64525e+06
490,3.3336e+06
491,2.68877e+06
492,2.88237e+06
493,3.67702e+06
494,3.01117e+06
495,2.29162e+06
496,2.37408e+06
497,1.96323e+06
498,2.12803e+06
499,1.90227e+06
500,2.37533e+06
501,2.95299e+06
502,4.00874e+06
503,4.33168e+06
504,4.9151e+06
505,5.8129e+06
506,6.44429e+06
507,6.37696e+06
508,6.31299e+06
509,6.03744e+06
510,6.67229e+06
511,6.5504e+06
512,7.01763e+06
513,7.24621e+06
514,6.05184e+06
515,6.44458e+06
516,6.45322e+06
517,6.04432e+06
518,6.22531e+06
519,6.05267e+06
520,5.89539e+06
521,6.24e+06
522,6.64426e+06
523,6.90125e+06
524,6.25533e+06
525,6.17866e+06
526,7.30394e+06
527,6.86074e+06
528,6.25994e+06
529,6.05482e+06
530,5.64282e+06
531,5.87072e+06
532,5.82381e+06
533,5.66163e+06
534,6.37494e+06
535,8.17926e+06
536,1.18754e+07
537,1.3724e+07
538,1.62069e+07
539,1.85669e+07
540,2.17591e+07
541,2.30626e+07
542,2.51487e+07
543,2.4712e+07
544,2.47428e+07
545,2.45054e+07
546,2.41716e+07
547,2.38597e+07
548,2.55275e+07
549,2.41348e+07
550,2.4345e+07
551,2.49443e+07
552,2.64838e+07
553,2.67032e+07
554,2.49856e+07
555,2.36906e+07
556,2.27409e+07
557,2.30096e+07
558,2.21934e+07
559,2.20671e+07
560,2.22206e+07
561,2.18571e+07
562,1.92083e+07
563,1.75339e+07
564,1.67537e+07
565,1.42053e+07
566,1.24986e+07
567,9.20214e+06
568,6.36138e+06
569,4.2823e+06
570,3.04765e+06
571,4.17158e+06
572,4.37178e+06
573,4.60733e+06
574,5.48253e+06
575,5.90499e+06
576,5.80723e+06
577,5.30531e+06
578,3.86304e+06
579,3.67869e+06
580,3.27171e+06
581,2.05398e+06
582,1.57229e+06
583,750912
584,2.49187e+06
585,3.46275e+06
586,3.66275e+06
587,3.11501e+06
588,2.24845e+06
589,2.19472e+06
590,2.32858e+06
591,3.3657e+06
592,3.41869e+06
593,3.59552e+06
594,3.65392e+06
595,3.91731e+06
596,4.2984e+06
597,4.30074e+06
598,2.16115e+06
599,7040
600,5280
