"Interval start","Filtered packets"
0,8
1,9
2,21
3,228
4,486
5,436
6,674
7,817
8,951
9,700
10,1030
11,947
12,1225
13,1231
14,933
15,865
16,886
17,863
18,747
19,391
20,428
21,333
22,332
23,541
24,204
25,318
26,1147
27,1145
28,1098
29,1183
30,1201
31,1119
32,1102
33,1207
34,1169
35,994
36,1075
37,1159
38,1188
39,1143
40,1139
41,1082
42,983
43,940
44,894
45,732
46,647
47,954
48,1040
49,821
50,655
51,1291
52,1288
53,1076
54,591
55,433
56,552
57,594
58,584
59,189
60,222
61,300
62,215
63,346
64,309
65,410
66,532
67,368
68,423
69,485
70,435
71,529
72,435
73,157
74,427
75,419
76,390
77,597
78,725
79,998
80,1009
81,917
82,863
83,801
84,815
85,640
86,394
87,235
88,235
89,326
90,305
91,216
92,439
93,368
94,421
95,226
96,330
97,257
98,333
99,349
100,249
101,177
102,406
103,266
104,458
105,309
106,383
107,334
108,451
109,367
110,359
111,391
112,372
113,329
114,416
115,494
116,405
117,455
118,433
119,501
120,537
121,1005
122,1016
123,806
124,522
125,491
126,419
127,398
128,290
129,447
130,509
131,404
132,348
133,357
134,371
135,379
136,466
137,440
138,603
139,400
140,404
141,484
142,473
143,495
144,408
145,522
146,503
147,368
148,448
149,434
150,231
151,337
152,472
153,456
154,526
155,549
156,577
157,415
158,493
159,413
160,177
161,261
162,324
163,448
164,541
165,397
166,630
167,535
168,453
169,341
170,405
171,535
172,474
173,279
174,246
175,290
176,314
177,328
178,441
179,745
180,524
181,369
182,381
183,572
184,582
185,596
186,588
187,655
188,500
189,735
190,748
191,621
192,399
193,135
194,180
195,799
196,731
197,637
198,722
199,545
200,366
201,404
202,414
203,444
204,525
205,425
206,389
207,363
208,410
209,628
210,450
211,596
212,705
213,729
214,750
215,825
216,757
217,446
218,426
219,487
220,520
221,652
222,480
223,433
224,294
225,161
226,445
227,193
228,373
229,553
230,505
231,460
232,588
233,267
234,225
235,452
236,425
237,327
238,374
239,351
240,452
241,373
242,472
243,336
244,583
245,844
246,937
247,823
248,774
249,769
250,696
251,664
252,676
253,412
254,409
255,537
256,593
257,479
258,361
259,349
260,489
261,486
262,611
263,593
264,395
265,436
266,441
267,526
268,357
269,583
270,378
271,403
272,401
273,871
274,652
275,656
276,564
277,465
278,422
279,444
280,543
281,611
282,642
283,575
284,507
285,375
286,383
287,491
288,213
289,192
290,192
291,228
292,222
293,145
294,374
295,557
296,681
297,606
298,605
299,438
300,601
301,663
302,91
303,781
304,814
305,610
306,709
307,639
308,494
309,388
310,582
311,538
312,312
313,375
314,452
315,828
316,767
317,578
318,539
319,501
320,695
321,674
322,576
323,847
324,728
325,506
326,504
327,705
328,606
329,565
330,924
331,793
332,523
333,512
334,585
335,494
336,528
337,496
338,483
339,520
340,321
341,252
342,401
343,331
344,301
345,610
346,1097
347,890
348,1004
349,916
350,854
351,929
352,965
353,1042
354,854
355,697
356,832
357,453
358,814
359,613
360,1134
361,1107
362,1080
363,1031
364,512
365,301
366,325
367,1075
368,1187
369,1164
370,1117
371,1170
372,810
373,373
374,689
375,532
376,273
377,411
378,504
379,192
380,356
381,574
382,323
383,398
384,475
385,280
386,156
387,240
388,539
389,217
390,222
391,323
392,285
393,390
394,418
395,631
396,277
397,323
398,519
399,388
400,359
401,546
402,618
403,510
404,480
405,423
406,456
407,515
408,436
409,601
410,338
411,421
412,431
413,675
414,724
415,538
416,351
417,483
418,578
419,597
420,571
421,347
422,536
423,1378
424,988
425,1544
426,1568
427,697
428,416
429,1478
430,927
431,551
432,444
433,908
434,1519
435,1625
436,1149
437,455
438,914
439,612
440,662
441,570
442,467
443,340
444,263
445,1680
446,704
447,1013
448,754
449,328
450,638
451,330
452,359
453,428
454,509
455,652
456,571
457,214
458,214
459,501
460,535
461,525
462,469
463,385
464,175
465,1099
466,1252
467,979
468,1135
469,999
470,908
471,969
472,890
473,942
474,386
475,420
476,300
477,435
478,436
479,427
480,535
481,773
482,773
483,318
484,273
485,288
486,364
487,232
488,219
489,483
490,365
491,304
492,322
493,397
494,333
495,268
496,275
497,236
498,250
499,230
500,275
501,330
502,431
503,458
504,505
505,587
506,645
507,642
508,636
509,611
510,670
511,655
512,700
513,727
514,610
515,649
516,648
517,610
518,627
519,612
520,598
521,630
522,668
523,691
524,634
525,623
526,734
527,687
528,631
529,613
530,571
531,599
532,588
533,573
534,640
535,813
536,1164
537,1330
538,1573
539,1787
540,2084
541,2205
542,2400
543,2357
544,2353
545,2348
546,2303
547,2276
548,2444
549,2306
550,2328
551,2378
552,2525
553,2547
554,2384
555,2263
556,2169
557,2194
558,2123
559,2114
560,2125
561,2088
562,1844
563,1690
564,1619
565,1364
566,1223
567,904
568,643
569,451
570,334
571,437
572,457
573,479
574,557
575,599
576,591
577,542
578,409
579,395
580,361
581,245
582,201
583,130
584,281
585,373
586,392
587,341
588,262
589,259
590,267
591,367
592,372
593,386
594,393
595,417
596,450
597,452
598,229
599,8
600,6
