"Interval start","Filtered packets"
0,0
1,0
2,0
3,5280
4,3488
5,5.96656e+06
6,4.77565e+06
7,4.60707e+06
8,4.71094e+06
9,4.66278e+06
10,4.76851e+06
11,4.46637e+06
12,4.44586e+06
13,6.67338e+06
14,4.19693e+06
15,4.63274e+06
16,4.64554e+06
17,4.68138e+06
18,4.77056e+06
19,4.62109e+06
20,4.93453e+06
21,6.67418e+06
22,4.51533e+06
23,4.46598e+06
24,4.6496e+06
25,4.46109e+06
26,4.23494e+06
27,4.39197e+06
28,4.23418e+06
29,4.30682e+06
30,6.70973e+06
31,4.49645e+06
32,4.58506e+06
33,5.27987e+06
34,4.58579e+06
35,4.9751e+06
36,4.84422e+06
37,4.6673e+06
38,6.73987e+06
39,4.69485e+06
40,4.89232e+06
41,4.76634e+06
42,4.6895e+06
43,4.74819e+06
44,4.71734e+06
45,4.95814e+06
46,6.94413e+06
47,4.87613e+06
48,4.77264e+06
49,4.8543e+06
50,5.05862e+06
51,5.00557e+06
52,5.00819e+06
53,4.90854e+06
54,4.89869e+06
55,6.90915e+06
56,4.97632e+06
57,4.92803e+06
58,4.9632e+06
59,4.92918e+06
60,5.12333e+06
61,5.03424e+06
62,5.02022e+06
63,7.21027e+06
64,5.17648e+06
65,5.32688e+06
66,5.21251e+06
67,5.108e+06
68,5.2001e+06
69,5.08611e+06
70,5.08384e+06
71,7.06752e+06
72,4.8001e+06
73,4.51763e+06
74,4.44806e+06
75,4.50624e+06
76,4.62064e+06
77,4.52582e+06
78,4.45958e+06
79,4.43024e+06
80,6.53347e+06
81,4.36026e+06
82,4.19853e+06
83,4.39315e+06
84,4.35693e+06
85,4.62704e+06
86,4.44198e+06
87,4.33782e+06
88,6.26883e+06
89,3.99722e+06
90,4.60115e+06
91,4.05171e+06
92,4.03062e+06
93,5.17299e+06
94,5.12032e+06
95,4.68246e+06
96,6.4961e+06
97,4.32323e+06
98,4.24096e+06
99,4.45402e+06
100,4.66653e+06
101,4.9559e+06
102,4.89472e+06
103,5.04582e+06
104,4.93363e+06
105,6.66813e+06
106,4.63546e+06
107,4.5495e+06
108,4.47501e+06
109,4.38208e+06
110,4.57181e+06
111,4.78355e+06
112,4.79709e+06
113,6.7689e+06
114,4.6383e+06
115,4.75917e+06
116,4.93904e+06
117,4.9544e+06
118,4.99242e+06
119,4.61875e+06
120,5.06349e+06
121,7.01264e+06
122,4.94912e+06
123,5.0936e+06
124,4.91002e+06
125,4.97622e+06
126,4.97741e+06
127,4.79034e+06
128,4.96266e+06
129,4.57827e+06
130,6.75597e+06
131,4.65677e+06
132,4.65939e+06
133,4.74707e+06
134,4.90253e+06
135,4.8607e+06
136,4.79296e+06
137,4.79757e+06
138,7.08867e+06
139,4.74179e+06
140,5.09437e+06
141,5.18134e+06
142,5.50874e+06
143,5.4033e+06
144,5.29802e+06
145,5.52067e+06
146,7.24742e+06
147,5.21072e+06
148,5.2697e+06
149,5.00144e+06
150,5.61587e+06
151,4.93856e+06
152,5.01158e+06
153,5.68294e+06
154,6.83536e+06
155,8.14256e+06
156,6.1705e+06
157,5.81277e+06
158,6.26995e+06
159,6.4719e+06
160,5.85798e+06
161,5.56736e+06
162,5.8184e+06
163,7.05827e+06
164,4.60032e+06
165,4.61725e+06
166,4.71024e+06
167,4.54256e+06
168,4.80125e+06
169,5.14026e+06
170,5.43158e+06
171,6.8879e+06
172,5.18618e+06
173,5.15466e+06
174,5.02928e+06
175,5.29606e+06
176,5.44467e+06
177,5.21024e+06
178,5.02973e+06
179,5.35738e+06
180,7.3559e+06
181,5.53386e+06
182,5.48915e+06
183,5.41008e+06
184,5.14666e+06
185,5.18957e+06
186,5.0952e+06
187,5.0447e+06
188,6.95293e+06
189,4.98304e+06
190,4.9751e+06
191,4.77686e+06
192,4.75459e+06
193,4.69891e+06
194,4.8705e+06
195,4.85018e+06
196,7.01315e+06
197,4.65334e+06
198,4.62854e+06
199,4.73878e+06
200,4.88326e+06
201,4.74218e+06
202,4.88477e+06
203,4.87763e+06
204,4.90781e+06
205,6.86477e+06
206,4.97885e+06
207,5.14966e+06
208,5.09408e+06
209,5.16704e+06
210,5.72838e+06
211,5.01024e+06
212,4.90285e+06
213,6.61149e+06
214,6.02979e+06
