"Interval start","Filtered packets"
0,0
1,0
2,0
3,6
4,5
5,613
6,506
7,490
8,502
9,498
10,507
11,480
12,478
13,688
14,452
15,494
16,496
17,503
18,512
19,495
20,524
21,687
22,482
23,479
24,495
25,478
26,457
27,471
28,455
29,464
30,689
31,480
32,488
33,554
34,493
35,528
36,516
37,498
38,693
39,503
40,520
41,509
42,501
43,505
44,503
45,523
46,712
47,517
48,506
49,515
50,534
51,529
52,528
53,519
54,517
55,707
56,531
57,519
58,528
59,522
60,538
61,533
62,528
63,732
64,547
65,555
66,547
67,534
68,546
69,539
70,537
71,720
72,507
73,488
74,479
75,482
76,494
77,486
78,478
79,476
80,676
81,470
82,456
83,477
84,469
85,495
86,479
87,470
88,653
89,437
90,494
91,442
92,438
93,542
94,538
95,499
96,669
97,471
98,457
99,479
100,496
101,525
102,522
103,532
104,529
105,690
106,497
107,485
108,479
109,472
110,492
111,507
112,507
113,698
114,493
115,506
116,524
117,525
118,530
119,493
120,531
121,718
122,523
123,535
124,523
125,527
126,526
127,509
128,523
129,493
130,692
131,498
132,497
133,506
134,519
135,516
136,508
137,512
138,727
139,504
140,537
141,544
142,578
143,566
144,558
145,574
146,738
147,550
148,551
149,530
150,583
151,519
152,529
153,593
154,692
155,821
156,633
157,606
158,649
159,662
160,610
161,582
162,605
163,723
164,492
165,493
166,500
167,487
168,510
169,539
170,569
171,707
172,545
173,545
174,532
175,557
176,568
177,545
178,533
179,560
180,747
181,577
182,574
183,568
184,540
185,546
186,539
187,533
188,712
189,525
190,528
191,509
192,506
193,502
194,518
195,516
196,722
197,493
198,495
199,504
200,516
201,505
202,516
203,517
204,521
205,705
206,526
207,540
208,540
209,542
210,594
211,533
212,520
213,680
214,623
215,615
216,568
217,461
218,460
219,450
220,461
221,652
222,422
223,439
224,448
225,467
226,468
227,473
228,489
229,500
230,653
231,456
232,435
233,450
234,460
235,470
236,486
237,500
238,678
239,511
240,549
241,545
242,541
243,518
244,502
245,505
246,667
247,468
248,474
249,467
250,482
251,477
252,485
253,500
254,514
255,679
256,491
257,501
258,514
259,479
260,513
261,506
262,504
263,672
264,451
265,460
266,460
267,427
268,460
269,489
270,494
271,695
272,582
273,732
274,656
275,637
276,622
277,592
278,603
279,606
280,783
281,615
282,602
283,597
284,573
285,541
286,525
287,506
288,695
289,507
290,523
291,517
292,513
293,514
294,513
295,514
296,705
297,507
298,490
299,509
300,514
301,514
302,513
303,512
304,508
305,695
306,506
307,509
308,498
309,517
310,523
311,512
312,509
313,704
314,498
315,516
316,504
317,494
318,496
319,515
320,519
321,701
322,517
323,523
324,533
325,532
326,520
327,538
328,519
329,529
330,749
331,652
332,621
333,533
334,520
335,526
336,540
337,524
338,716
339,537
340,547
341,541
342,547
343,535
344,532
345,543
346,708
347,522
348,530
349,512
350,504
351,493
352,492
353,490
354,508
355,668
356,486
357,484
358,475
359,468
360,484
361,468
362,471
363,672
364,479
365,488
366,479
367,460
368,470
369,468
370,486
371,675
372,440
373,446
374,462
375,459
376,476
377,472
378,492
379,486
380,675
381,484
382,494
383,517
384,517
385,539
386,539
387,526
388,694
389,492
390,499
391,491
392,479
393,552
394,577
395,603
396,768
397,607
398,600
399,598
400,613
401,596
402,592
403,547
404,499
405,684
406,494
407,484
408,487
409,484
410,502
411,502
412,507
413,682
414,505
415,543
416,514
417,520
418,520
419,514
420,546
421,716
422,517
423,517
424,538
425,535
426,533
427,527
428,533
429,522
430,713
431,544
432,528
433,539
434,548
435,581
436,563
437,565
438,720
439,545
440,537
441,519
442,514
443,523
444,480
445,479
446,647
447,438
448,431
449,445
450,444
451,431
452,417
453,434
454,438
455,623
456,438
457,442
458,452
459,478
460,489
461,491
462,500
463,685
464,485
465,500
466,487
467,497
468,481
469,481
470,482
471,672
472,463
473,461
474,472
475,481
476,496
477,479
478,486
479,512
480,694
481,513
482,514
483,516
484,512
485,524
486,506
487,482
488,658
489,484
490,488
491,487
492,481
493,484
494,461
495,469
496,662
497,454
498,466
499,487
500,499
501,509
502,490
503,493
504,501
505,657
506,490
507,480
508,484
509,498
510,517
511,597
512,513
513,678
514,583
515,731
516,705
517,610
518,597
519,623
520,648
521,785
522,628
523,625
524,625
525,548
526,524
527,512
528,491
529,496
530,677
531,497
532,495
533,463
534,471
535,479
536,474
537,482
538,661
539,457
540,464
541,454
542,473
543,468
544,457
545,460
546,639
547,431
548,429
549,436
550,458
551,449
552,449
553,456
554,473
555,665
556,474
557,479
558,477
559,490
560,492
561,507
562,514
563,692
564,500
565,512
566,498
567,515
568,505
569,499
570,508
571,690
572,497
573,487
574,495
575,516
576,516
577,512
578,506
579,501
580,682
581,498
582,491
583,496
584,470
585,486
586,452
587,450
588,645
589,444
590,465
591,476
592,477
593,466
594,472
595,487
596,669
597,497
598,485
599,479
600,430
601,371
602,435
603,8
604,6
605,4
