"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,11232
13,4.26794e+07
14,3.25906e+07
15,3.23304e+07
16,3.24968e+07
17,3.41892e+07
18,4.21977e+07
19,3.22989e+07
20,3.09317e+07
21,4.57268e+07
22,2.87886e+07
23,4.06852e+07
24,3.14115e+07
25,3.22725e+07
26,3.35175e+07
27,3.44683e+07
28,4.15271e+07
29,5.12088e+07
30,3.04821e+07
31,3.37456e+07
32,3.4835e+07
33,4.10697e+07
34,3.00053e+07
35,3.29334e+07
36,3.05874e+07
37,2.9991e+07
38,5.38118e+07
39,3.12514e+07
40,3.14004e+07
41,3.69388e+07
42,3.52721e+07
43,4.25754e+07
44,3.39606e+07
45,3.36991e+07
46,4.76733e+07
47,3.19822e+07
48,4.12997e+07
49,3.22838e+07
50,3.30506e+07
51,3.29855e+07
52,3.24086e+07
53,4.19561e+07
54,5.08693e+07
55,3.35457e+07
56,3.2913e+07
57,3.27366e+07
58,4.20459e+07
59,3.65253e+07
60,3.51249e+07
61,3.40315e+07
62,3.45456e+07
63,5.38153e+07
64,3.50798e+07
65,3.4439e+07
66,3.58662e+07
67,3.42421e+07
68,4.22599e+07
69,3.70942e+07
70,3.48609e+07
71,5.02794e+07
72,3.63386e+07
73,4.30444e+07
74,3.78084e+07
75,3.68538e+07
76,3.577e+07
77,3.50953e+07
78,4.10652e+07
79,5.12818e+07
80,3.11347e+07
81,3.11138e+07
82,3.35442e+07
83,4.01439e+07
84,3.38477e+07
85,3.0437e+07
86,3.01601e+07
87,3.10107e+07
88,4.76796e+07
89,3.11563e+07
90,2.86885e+07
91,3.11694e+07
92,2.93737e+07
93,3.85859e+07
94,3.23436e+07
95,2.9238e+07
96,4.42702e+07
97,2.70786e+07
98,3.85976e+07
99,3.0948e+07
100,2.8593e+07
101,3.28937e+07
102,3.40668e+07
103,4.08462e+07
104,4.68315e+07
105,2.78754e+07
106,2.91804e+07
107,2.9318e+07
108,3.92753e+07
109,3.39838e+07
110,3.27937e+07
111,3.49896e+07
112,3.25492e+07
113,4.81396e+07
114,3.23118e+07
115,3.0397e+07
116,2.90902e+07
117,2.81192e+07
118,3.74204e+07
119,3.33679e+07
120,3.09858e+07
121,4.81873e+07
122,3.02904e+07
123,3.99972e+07
124,3.49599e+07
125,3.31117e+07
126,3.24927e+07
127,3.25147e+07
128,4.02966e+07
129,5.05638e+07
130,3.41714e+07
131,3.3296e+07
132,3.22604e+07
133,4.02255e+07
134,3.4544e+07
135,3.37094e+07
136,3.27101e+07
137,3.12019e+07
138,5.06274e+07
139,3.25071e+07
140,3.21341e+07
141,3.21309e+07
142,3.09807e+07
143,3.91298e+07
144,3.30279e+07
145,3.32056e+07
146,4.70988e+07
147,3.17024e+07
148,3.96803e+07
149,3.39502e+07
150,3.70745e+07
151,3.63822e+07
152,3.59084e+07
153,4.22232e+07
154,5.05167e+07
155,3.66909e+07
156,3.40003e+07
157,3.40479e+07
158,4.2433e+07
159,3.42431e+07
160,3.50523e+07
161,3.79821e+07
162,4.04315e+07
163,5.42967e+07
164,3.8266e+07
165,3.75291e+07
166,3.77849e+07
167,4.10743e+07
168,4.31831e+07
169,3.66821e+07
170,3.97347e+07
171,5.18924e+07
172,3.28884e+07
173,4.1129e+07
174,3.30159e+07
175,3.40958e+07
176,3.54706e+07
177,3.5807e+07
178,4.30672e+07
179,5.11231e+07
180,3.59e+07
181,3.59596e+07
182,3.5421e+07
183,4.4626e+07
184,3.70306e+07
185,3.88886e+07
186,3.85833e+07
187,3.90992e+07
188,5.4924e+07
189,3.85254e+07
190,4.00388e+07
191,3.82593e+07
192,3.64977e+07
193,4.32578e+07
194,3.75459e+07
195,3.77834e+07
196,5.19172e+07
197,3.44555e+07
198,4.22361e+07
199,3.58815e+07
200,3.4256e+07
201,3.47052e+07
202,3.47717e+07
203,4.0975e+07
204,5.2118e+07
205,3.52891e+07
206,3.31057e+07
207,3.39449e+07
208,4.14879e+07
209,3.40593e+07
210,3.66188e+07
211,3.58428e+07
212,3.541e+07
213,5.28724e+07
214,3.56556e+07
215,3.73438e+07
216,3.65207e+07
217,3.65264e+07
218,4.57743e+07
219,3.82293e+07
