"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,27
13,565
14,548
15,548
16,538
17,552
18,598
19,544
20,544
21,677
22,540
23,608
24,544
25,546
26,558
27,550
28,590
29,694
30,540
31,548
32,558
33,598
34,544
35,552
36,540
37,542
38,714
39,542
40,538
41,570
42,552
43,590
44,552
45,544
46,678
47,546
48,602
49,544
50,556
51,542
52,548
53,604
54,678
55,544
56,554
57,540
58,594
59,566
60,544
61,544
62,556
63,694
64,544
65,548
66,552
67,540
68,604
69,550
70,546
71,677
72,544
73,598
74,562
75,542
76,548
77,554
78,594
79,692
80,548
81,540
82,544
83,600
84,556
85,540
86,548
87,546
88,683
89,558
90,546
91,544
92,540
93,596
94,560
95,552
96,675
97,540
98,608
99,556
100,544
101,576
102,576
103,604
104,692
105,552
106,542
107,544
108,602
109,558
110,544
111,574
112,550
113,678
114,568
115,546
116,538
117,548
118,588
119,556
120,548
121,677
122,538
123,602
124,558
125,546
126,552
127,546
128,598
129,686
130,544
131,544
132,550
133,584
134,560
135,552
136,550
137,538
138,700
139,546
140,546
141,554
142,542
143,586
144,560
145,552
146,678
147,550
148,586
149,548
150,558
151,544
152,548
153,598
154,676
155,562
156,558
157,548
158,630
159,564
160,560
161,590
162,618
163,720
164,576
165,572
166,568
167,594
168,586
169,550
170,574
171,692
172,548
173,600
174,560
175,560
176,552
177,572
178,620
179,694
180,584
181,578
182,552
183,626
184,570
185,576
186,576
187,576
188,712
189,578
190,592
191,574
192,560
193,606
194,564
195,568
196,694
197,548
198,596
199,570
200,558
201,548
202,566
203,594
204,696
205,566
206,546
207,550
208,594
209,546
210,558
211,554
212,542
213,690
214,552
215,554
216,540
217,552
218,624
219,570
220,558
221,681
222,590
223,636
224,576
225,566
226,564
227,546
228,582
229,706
230,542
231,558
232,546
233,586
234,572
235,558
236,588
237,568
238,704
239,558
240,538
241,572
242,550
243,590
244,578
245,572
246,714
247,576
248,610
249,578
250,574
251,572
252,546
253,588
254,683
255,544
256,562
257,540
258,590
259,552
260,548
261,560
262,586
263,694
264,554
265,564
266,596
267,556
268,608
269,572
270,574
271,707
272,564
273,592
274,576
275,550
276,572
277,574
278,614
279,702
280,592
281,680
282,630
283,612
284,610
285,566
286,578
287,584
288,692
289,564
290,556
291,562
292,558
293,596
294,558
295,550
296,682
297,558
298,584
299,558
300,544
301,542
302,558
303,592
304,682
305,560
306,554
307,562
308,586
309,556
310,538
311,560
312,560
313,672
314,558
315,544
316,544
317,566
318,586
319,554
320,550
321,673
322,552
323,586
324,552
325,542
326,550
327,558
328,584
329,680
330,540
331,542
332,562
333,590
334,556
335,552
336,550
337,564
338,694
339,606
340,590
341,568
342,560
343,586
344,554
345,556
346,679
347,560
348,592
349,548
350,562
351,540
352,556
353,600
354,679
355,548
356,552
357,570
358,588
359,556
360,552
361,536
362,564
363,678
364,542
365,562
366,542
367,556
368,598
369,552
370,550
371,677
372,551
373,590
374,552
375,548
376,538
377,542
378,600
379,681
380,546
381,554
382,544
383,598
384,554
385,552
386,542
387,554
388,686
389,544
390,556
391,542
392,554
393,606
394,544
395,556
396,693
397,548
398,606
399,564
400,544
401,578
402,602
403,612
404,692
405,580
406,576
407,574
408,620
409,572
410,578
411,572
412,540
413,676
414,552
415,550
416,556
417,552
418,592
419,558
420,560
421,667
422,544
423,590
424,548
425,544
426,560
427,542
428,586
429,660
430,546
431,548
432,552
433,588
434,544
435,544
436,554
437,540
438,684
439,548
440,538
441,558
442,540
443,594
444,554
445,552
446,674
447,554
448,586
449,552
450,548
451,555
452,535
453,596
454,673
455,544
456,546
457,544
458,576
459,556
460,544
461,540
462,550
463,664
464,554
465,540
466,546
467,542
468,576
469,560
470,544
471,666
472,554
473,578
474,566
475,554
476,546
477,546
478,598
479,680
480,548
481,548
482,560
483,576
484,562
485,542
486,544
487,546
488,658
489,552
490,550
491,542
492,552
493,572
494,558
495,542
496,669
497,540
498,574
499,566
500,548
501,540
502,548
503,584
504,676
505,546
506,552
507,552
508,572
509,560
510,546
511,552
512,548
513,668
514,562
515,550
516,540
517,560
518,580
519,594
520,578
521,656
522,580
523,660
524,618
525,580
526,580
527,584
528,606
529,685
530,588
531,574
532,582
533,592
534,554
535,558
536,544
537,556
538,686
539,538
540,562
541,544
542,550
543,590
544,548
545,558
546,675
547,552
548,574
549,546
550,570
551,550
552,546
553,596
554,682
555,556
556,546
557,542
558,584
559,546
560,562
561,542
562,544
563,686
564,542
565,554
566,554
567,540
568,576
569,556
570,558
571,675
572,544
573,594
574,544
575,560
576,544
577,542
578,598
579,674
580,556
581,550
582,540
583,590
584,552
585,552
586,550
587,552
588,674
589,554
590,562
591,544
592,552
593,596
594,544
595,554
596,688
597,540
598,594
599,556
600,546
601,554
602,552
603,582
604,670
605,554
606,552
607,572
608,248
609,260
610,226
611,64
612,4
613,2
