"Interval start","Filtered packets"
0,0
1,0
2,0
3,11232
4,2.25546e+06
5,2.15668e+07
6,3.9881e+07
7,4.33026e+07
8,4.7321e+07
9,5.20616e+07
10,5.26408e+07
11,5.33075e+07
12,5.94904e+07
13,7.27846e+07
14,7.28737e+07
15,9.32553e+07
16,7.91758e+07
17,6.77485e+07
18,6.89788e+07
19,7.5151e+07
20,4.82263e+07
21,2.34453e+07
22,2.63931e+07
23,2.01479e+07
24,2.35308e+07
25,3.11704e+07
26,1.00567e+07
27,3.54499e+07
28,9.09907e+07
29,9.24543e+07
30,9.38921e+07
31,8.41731e+07
32,8.50868e+07
33,8.3504e+07
34,9.44853e+07
35,1.00565e+08
36,8.26914e+07
37,7.72171e+07
38,6.73799e+07
39,6.58047e+07
40,6.6008e+07
41,6.48573e+07
42,7.09196e+07
43,6.5289e+07
44,6.1454e+07
45,6.08451e+07
46,6.3371e+07
47,5.90077e+07
48,5.45053e+07
49,5.29451e+07
50,4.95887e+07
51,4.89242e+07
52,6.29796e+07
53,7.82185e+07
54,7.30184e+07
55,6.90218e+07
56,5.19215e+07
57,4.38915e+07
58,4.46236e+07
59,4.81026e+07
60,4.04343e+07
61,8.61206e+06
62,1.24149e+07
63,1.34317e+07
64,1.23869e+07
65,1.8921e+07
66,1.78035e+07
67,2.37432e+07
68,2.90414e+07
69,2.04779e+07
70,2.83e+07
71,2.95456e+07
72,2.30286e+07
73,2.81414e+07
74,2.37877e+07
75,1.5785e+07
76,2.61273e+07
77,3.2866e+07
78,2.3508e+07
79,3.05383e+07
80,5.57647e+07
81,6.13199e+07
82,5.92362e+07
83,5.25772e+07
84,4.69093e+07
85,3.76896e+07
86,3.62706e+07
87,4.11804e+07
88,2.16709e+07
89,1.80006e+07
90,1.30746e+07
91,1.63953e+07
92,2.1708e+07
93,1.37617e+07
94,3.08179e+07
95,2.47019e+07
96,2.27853e+07
97,1.51802e+07
98,2.28773e+07
99,1.4798e+07
100,1.87052e+07
101,1.95522e+07
102,1.58961e+07
103,1.24021e+07
104,2.9685e+07
105,1.89106e+07
106,3.63967e+07
107,2.70588e+07
108,2.54448e+07
109,1.77624e+07
110,2.21887e+07
111,1.82706e+07
112,1.79852e+07
113,2.04077e+07
114,1.92589e+07
115,1.85946e+07
116,2.18724e+07
117,3.34799e+07
118,2.53104e+07
119,3.59512e+07
120,2.818e+07
121,2.8183e+07
122,4.57975e+07
123,5.09644e+07
124,5.58595e+07
125,4.86677e+07
126,2.75588e+07
127,2.84152e+07
128,2.5024e+07
129,2.72765e+07
130,1.88661e+07
131,2.72843e+07
132,2.9647e+07
133,2.70818e+07
134,2.68044e+07
135,2.38598e+07
136,2.80362e+07
137,2.48011e+07
138,2.73594e+07
139,2.91056e+07
140,3.7028e+07
141,2.85506e+07
142,2.66691e+07
143,2.80362e+07
144,3.15213e+07
145,2.97206e+07
146,2.74212e+07
147,3.0784e+07
148,2.95857e+07
149,2.91119e+07
150,3.45675e+07
151,3.93898e+07
152,2.18529e+07
153,3.44896e+07
154,2.33805e+07
155,2.64628e+07
156,3.10166e+07
157,3.56498e+07
158,3.63131e+07
159,2.80362e+07
160,4.90057e+07
161,1.38234e+07
162,1.83865e+07
163,1.9074e+07
164,1.92649e+07
165,3.2082e+07
166,3.25279e+07
167,1.89763e+07
168,3.94438e+07
169,3.44875e+07
170,2.98192e+07
171,1.76138e+07
172,2.73905e+07
173,3.14488e+07
174,2.3452e+07
175,1.28881e+07
176,1.29165e+07
177,1.4931e+07
178,1.66525e+07
179,1.65871e+07
180,2.72097e+07
181,4.43992e+07
182,3.2654e+07
183,2.08005e+07
184,2.1679e+07
185,3.68645e+07
186,3.42252e+07
187,3.65864e+07
188,3.46891e+07
189,3.9128e+07
190,3.03624e+07
191,3.97449e+07
192,4.17991e+07
193,3.09285e+07
194,2.47085e+07
195,1.30262e+07
196,2.05617e+07
197,4.28831e+07
198,3.66007e+07
199,2.92085e+07
200,3.97612e+07
201,2.90541e+07
202,1.90339e+07
203,2.11139e+07
204,2.44074e+07
205,2.4863e+07
206,3.03373e+07
207,2.56515e+07
208,2.51889e+07
209,1.52168e+07
210,2.45577e+07
211,3.12263e+07
212,2.51364e+07
213,3.32751e+07
