"Interval start","Filtered packets"
0,0
1,0
2,0
3,27
4,148
5,430
6,430
7,430
8,442
9,442
10,498
11,546
12,670
13,876
14,830
15,948
16,848
17,810
18,844
19,852
20,634
21,430
22,434
23,424
24,438
25,470
26,430
27,587
28,868
29,860
30,894
31,868
32,866
33,860
34,886
35,936
36,846
37,898
38,848
39,868
40,860
41,864
42,880
43,864
44,852
45,814
46,645
47,666
48,518
49,448
50,458
51,476
52,704
53,880
54,848
55,774
56,608
57,522
58,474
59,462
60,468
61,432
62,434
63,430
64,440
65,442
66,442
67,456
68,506
69,430
70,438
71,426
72,434
73,436
74,450
75,450
76,508
77,553
78,450
79,426
80,716
81,770
82,674
83,484
84,456
85,434
86,432
87,464
88,448
89,438
90,424
91,432
92,438
93,436
94,464
95,432
96,452
97,424
98,504
99,432
100,440
101,432
102,424
103,432
104,540
105,438
106,444
107,458
108,496
109,432
110,432
111,440
112,424
113,440
114,432
115,429
116,435
117,498
118,456
119,550
120,456
121,426
122,596
123,538
124,618
125,572
126,430
127,432
128,450
129,504
130,440
131,462
132,432
133,438
134,432
135,424
136,432
137,432
138,432
139,432
140,520
141,432
142,432
143,432
144,450
145,436
146,428
147,432
148,450
149,450
150,550
151,594
152,448
153,568
154,434
155,440
156,422
157,450
158,450
159,432
160,592
161,432
162,436
163,428
164,432
165,492
166,434
167,424
168,474
169,468
170,434
171,450
172,486
173,432
174,432
175,424
176,432
177,438
178,428
179,430
180,468
181,503
182,476
183,432
184,424
185,470
186,432
187,436
188,434
189,440
190,452
191,432
192,474
193,428
194,468
195,436
196,450
197,426
198,434
199,468
200,474
201,444
202,468
203,438
204,450
205,424
206,432
207,438
208,444
209,434
210,454
211,428
212,466
213,476
214,434
215,422
216,450
217,432
218,450
219,432
220,438
221,426
222,434
223,492
224,430
225,488
226,450
227,442
228,626
229,430
230,486
231,432
232,434
233,502
234,551
235,457
236,438
237,450
238,426
239,432
240,432
241,432
242,432
243,432
244,492
245,424
246,576
247,880
248,758
249,546
250,446
251,430
252,438
253,434
254,504
255,430
256,442
257,432
258,494
259,440
260,454
261,472
262,432
263,452
264,524
265,563
266,432
267,458
268,424
269,468
270,452
271,438
272,424
273,432
274,440
275,664
276,422
277,476
278,490
279,482
280,532
281,432
282,504
283,432
284,504
285,539
286,452
287,438
288,424
289,564
290,444
291,468
292,440
293,450
294,432
295,470
296,602
297,432
298,424
299,450
300,450
301,456
302,432
303,504
304,426
305,790
306,923
307,796
308,814
309,740
310,458
311,430
312,444
313,504
314,454
315,454
316,432
317,548
318,434
319,458
320,432
321,460
322,450
323,456
324,426
325,438
326,470
327,468
328,460
329,450
330,450
331,438
332,432
333,446
334,436
335,434
336,424
337,432
338,503
339,450
340,432
341,456
342,432
343,432
344,539
345,434
346,460
347,558
348,648
349,498
350,458
351,562
352,450
353,436
354,520
355,594
356,602
357,434
358,594
359,558
360,596
361,580
362,750
363,638
364,462
365,626
366,562
367,492
368,424
369,926
370,832
371,787
372,809
373,716
374,626
375,504
376,592
377,490
378,438
379,549
380,576
381,432
382,486
383,502
384,432
385,473
386,429
387,450
388,432
389,432
390,518
391,430
392,436
393,436
394,434
395,448
396,434
397,586
398,476
399,452
400,504
401,422
402,432
403,486
404,450
405,434
406,430
407,432
408,432
409,556
410,634
411,448
412,490
413,424
414,432
415,468
416,486
417,450
418,432
419,432
420,451
421,477
422,520
423,426
424,536
425,640
426,672
427,860
428,864
429,438
430,438
431,963
432,524
433,436
434,430
435,662
436,884
437,844
438,612
439,438
440,588
441,432
442,468
443,432
444,434
445,448
446,522
447,900
448,462
449,720
450,458
451,430
452,556
453,432
454,432
455,432
456,460
457,432
458,458
459,432
460,430
461,434
462,448
463,446
464,436
465,452
466,460
467,864
468,880
469,848
470,864
471,504
472,450
473,504
474,432
475,450
476,438
477,486
478,426
479,438
480,434
481,424
482,450
483,504
484,452
485,436
486,432
487,432
488,450
489,434
490,424
491,468
492,432
493,432
494,448
495,440
496,426
497,450
498,450
499,432
500,434
501,438
502,432
503,424
504,468
505,438
506,428
507,454
508,432
509,432
510,452
511,450
512,572
513,536
514,486
515,490
516,428
517,452
518,448
519,440
520,426
521,430
522,432
523,432
524,450
525,486
526,432
527,432
528,636
529,432
530,430
531,436
532,424
533,438
534,428
535,466
536,438
537,712
538,852
539,894
540,968
541,1214
542,1297
543,1301
544,1436
545,1347
546,1362
547,1388
548,1336
549,1380
550,1426
551,1346
552,1360
553,1468
554,1446
555,1502
556,1426
557,1371
558,1312
559,1288
560,1264
561,1292
562,1318
563,1278
564,1284
565,1254
566,1038
567,918
568,876
569,740
570,440
571,424
572,432
573,432
574,436
575,438
576,430
577,462
578,434
579,436
580,430
581,426
582,434
583,438
584,424
585,432
586,430
587,454
588,430
589,432
590,434
591,434
592,428
593,432
594,432
595,432
596,432
597,440
598,450
599,442
600,428
601,0
602,18
