"Interval start","Filtered packets"
0,0
1,0
2,2048
3,38208
4,1.8623e+06
5,4.54915e+06
6,4.42291e+06
7,5.26806e+06
8,5.56214e+06
9,5.90947e+06
10,5.72208e+06
11,6.67744e+06
12,7.50054e+06
13,8.47795e+06
14,9.57958e+06
15,9.83526e+06
16,7.22762e+06
17,7.8569e+06
18,8.0096e+06
19,6.48784e+06
20,2.73834e+06
21,2.70835e+06
22,2.43834e+06
23,2.58192e+06
24,3.52493e+06
25,1.39075e+06
26,2.11558e+06
27,1.03857e+07
28,9.77379e+06
29,1.09489e+07
30,8.97066e+06
31,9.4751e+06
32,9.33603e+06
33,1.01692e+07
34,1.07985e+07
35,1.00361e+07
36,8.69754e+06
37,7.98986e+06
38,7.01846e+06
39,7.69658e+06
40,6.68157e+06
41,7.83955e+06
42,7.3673e+06
43,7.01235e+06
44,6.74845e+06
45,7.28816e+06
46,6.25862e+06
47,6.25811e+06
48,6.23734e+06
49,5.2839e+06
50,5.71731e+06
51,5.90192e+06
52,9.16749e+06
53,8.05011e+06
54,7.9751e+06
55,6.46768e+06
56,4.35885e+06
57,5.20922e+06
58,4.89286e+06
59,5.14243e+06
60,1.47267e+06
61,1.16826e+06
62,1.52992e+06
63,1.34192e+06
64,1.94573e+06
65,2.01722e+06
66,2.69613e+06
67,3.30896e+06
68,2.09021e+06
69,2.8767e+06
70,3.46186e+06
71,2.67818e+06
72,2.79709e+06
73,3.22032e+06
74,1.38102e+06
75,3.14954e+06
76,3.53738e+06
77,2.63606e+06
78,3.27456e+06
79,5.19699e+06
80,6.70051e+06
81,7.15101e+06
82,6.0289e+06
83,5.24029e+06
84,4.24083e+06
85,3.95517e+06
86,4.13334e+06
87,3.25261e+06
88,2.14355e+06
89,1.46224e+06
90,1.79613e+06
91,2.34128e+06
92,1.58336e+06
93,3.19395e+06
94,2.70986e+06
95,2.76541e+06
96,1.69987e+06
97,2.65322e+06
98,1.64944e+06
99,1.94803e+06
100,2.13232e+06
101,1.9337e+06
102,1.37651e+06
103,3.19536e+06
104,2.13222e+06
105,3.54378e+06
106,3.17299e+06
107,2.81795e+06
108,2.24202e+06
109,2.4992e+06
110,2.00598e+06
111,2.13523e+06
112,2.19168e+06
113,2.02554e+06
114,2.02394e+06
115,2.29626e+06
116,3.8511e+06
117,2.9113e+06
118,3.71344e+06
119,3.28048e+06
120,3.1783e+06
121,3.90986e+06
122,5.95661e+06
123,6.288e+06
124,6.12486e+06
125,3.08285e+06
126,3.2121e+06
127,2.92262e+06
128,2.96675e+06
129,2.06765e+06
130,2.86838e+06
131,3.35498e+06
132,2.98429e+06
133,2.88733e+06
134,2.79478e+06
135,2.93014e+06
136,2.99101e+06
137,3.1001e+06
138,3.00013e+06
139,4.09475e+06
140,3.30765e+06
141,2.99853e+06
142,3.16326e+06
143,3.2896e+06
144,3.39258e+06
145,3.13469e+06
146,3.18813e+06
147,3.19034e+06
148,3.48803e+06
149,3.97734e+06
150,4.39766e+06
151,2.28112e+06
152,3.69379e+06
153,2.93386e+06
154,2.60307e+06
155,3.58509e+06
156,3.61898e+06
157,4.0792e+06
158,3.42938e+06
159,3.65126e+06
160,3.61859e+06
161,1.9383e+06
162,2.17283e+06
163,2.11949e+06
164,3.23005e+06
165,3.50998e+06
166,2.52928e+06
167,3.87085e+06
168,4.00992e+06
169,3.1768e+06
170,2.41718e+06
171,2.27661e+06
172,3.90765e+06
173,2.90387e+06
174,1.53594e+06
175,1.49082e+06
176,1.54346e+06
177,1.86682e+06
178,1.94723e+06
179,2.07216e+06
180,5.55504e+06
181,3.6633e+06
182,2.41798e+06
183,2.30298e+06
184,3.84528e+06
185,3.99418e+06
186,3.83334e+06
187,3.99267e+06
188,4.02586e+06
189,3.7745e+06
190,4.10256e+06
191,4.57392e+06
192,4.00621e+06
193,2.80752e+06
194,1.56973e+06
195,1.6721e+06
196,4.81005e+06
197,4.1161e+06
198,3.53686e+06
199,3.87536e+06
200,3.89642e+06
201,2.22688e+06
202,2.18646e+06
203,2.59014e+06
204,2.63466e+06
205,3.38435e+06
206,2.93235e+06
207,2.58352e+06
208,2.20211e+06
209,2.10294e+06
210,3.79114e+06
211,2.63386e+06
212,3.6263e+06
213,3.99427e+06
