"Interval start","Filtered packets"
0,0
1,0
2,5
3,6
4,48
5,50
6,46
7,50
8,48
9,52
10,58
11,76
12,90
13,98
14,100
15,100
16,88
17,94
18,92
19,80
20,50
21,46
22,48
23,50
24,50
25,50
26,54
27,100
28,92
29,102
30,92
31,98
32,96
33,96
34,102
35,98
36,98
37,100
38,92
39,100
40,92
41,96
42,96
43,96
44,94
45,72
46,74
47,64
48,52
49,48
50,53
51,69
52,100
53,96
54,88
55,74
56,52
57,58
58,48
59,52
60,52
61,46
62,48
63,48
64,50
65,48
66,54
67,56
68,46
69,50
70,46
71,50
72,46
73,52
74,48
75,56
76,64
77,50
78,48
79,66
80,86
81,84
82,58
83,48
84,50
85,46
86,48
87,54
88,48
89,48
90,48
91,50
92,46
93,54
94,46
95,50
96,48
97,56
98,50
99,48
100,46
101,50
102,48
103,58
104,50
105,48
106,50
107,54
108,50
109,50
110,46
111,50
112,48
113,46
114,50
115,46
116,58
117,50
118,60
119,52
120,48
121,54
122,62
123,72
124,70
125,46
126,50
127,48
128,58
129,46
130,52
131,50
132,48
133,46
134,48
135,48
136,50
137,48
138,46
139,58
140,48
141,50
142,48
143,48
144,50
145,48
146,46
147,48
148,52
149,62
150,64
151,50
152,64
153,50
154,46
155,50
156,48
157,48
158,52
159,50
160,64
161,46
162,50
163,48
164,54
165,46
166,50
167,50
168,52
169,48
170,52
171,50
172,52
173,46
174,48
175,48
176,48
177,48
178,50
179,46
180,62
181,50
182,50
183,48
184,50
185,50
186,46
187,50
188,46
189,54
190,46
191,52
192,50
193,50
194,50
195,46
196,52
197,46
198,54
199,50
200,50
201,54
202,46
203,52
204,46
205,48
206,50
207,46
208,52
209,48
210,50
211,48
212,56
213,46
214,50
215,48
216,48
217,50
218,50
219,46
220,50
221,46
222,54
223,48
224,50
225,56
226,50
227,68
228,50
229,50
230,52
231,48
232,48
233,64
234,56
235,48
236,48
237,50
238,46
239,48
240,50
241,46
242,48
243,56
244,46
245,58
246,96
247,82
248,72
249,48
250,50
251,46
252,50
253,54
254,48
255,52
256,46
257,54
258,50
259,50
260,54
261,46
262,52
263,58
264,60
265,52
266,48
267,50
268,50
269,50
270,48
271,50
272,48
273,48
274,72
275,50
276,48
277,58
278,52
279,62
280,46
281,54
282,52
283,54
284,48
285,64
286,46
287,48
288,64
289,48
290,54
291,46
292,52
293,46
294,52
295,68
296,50
297,46
298,48
299,54
300,46
301,50
302,56
303,48
304,76
305,112
306,82
307,92
308,84
309,56
310,50
311,50
312,54
313,50
314,50
315,48
316,60
317,52
318,50
319,48
320,46
321,54
322,48
323,52
324,46
325,52
326,54
327,50
328,52
329,46
330,50
331,50
332,50
333,46
334,50
335,46
336,48
337,56
338,50
339,50
340,50
341,46
342,50
343,60
344,46
345,50
346,60
347,78
348,51
349,53
350,60
351,54
352,48
353,56
354,64
355,68
356,52
357,52
358,72
359,68
360,60
361,78
362,78
363,56
364,58
365,70
366,56
367,48
368,92
369,96
370,82
371,92
372,84
373,76
374,54
375,68
376,54
377,50
378,60
379,64
380,48
381,56
382,54
383,50
384,48
385,50
386,52
387,46
388,48
389,60
390,48
391,46
392,48
393,48
394,50
395,50
396,64
397,54
398,48
399,56
400,48
401,48
402,52
403,54
404,46
405,50
406,46
407,50
408,54
409,56
410,70
411,54
412,50
413,46
414,54
415,46
416,58
417,46
418,48
419,48
420,56
421,56
422,50
423,50
424,78
425,68
426,92
427,100
428,56
429,48
430,102
431,64
432,48
433,50
434,62
435,96
436,100
437,74
438,50
439,62
440,50
441,54
442,46
443,48
444,50
445,48
446,112
447,46
448,86
449,48
450,48
451,62
452,48
453,50
454,46
455,54
456,48
457,46
458,52
459,48
460,46
461,50
462,50
463,50
464,48
465,50
466,88
467,100
468,96
469,92
470,68
471,48
472,58
473,46
474,48
475,50
476,56
477,46
478,50
479,46
480,50
481,48
482,48
483,56
484,50
485,48
486,50
487,50
488,46
489,48
490,52
491,50
492,46
493,52
494,48
495,48
496,48
497,52
498,46
499,48
500,50
501,46
502,50
503,50
504,50
505,46
506,52
507,46
508,48
509,52
510,48
511,64
512,58
513,58
514,54
515,46
516,52
517,48
518,50
519,46
520,50
521,48
522,46
523,52
524,54
525,46
526,50
527,70
528,46
529,50
530,46
531,48
532,48
533,48
534,50
535,50
536,72
537,92
538,98
539,100
540,136
541,150
542,146
543,154
544,162
545,156
546,154
547,142
548,154
549,164
550,158
551,148
552,160
553,170
554,162
555,172
556,146
557,152
558,140
559,150
560,138
561,154
562,138
563,152
564,136
565,130
566,102
567,92
568,96
569,46
570,50
571,48
572,46
573,48
574,50
575,46
576,54
577,46
578,48
579,50
580,46
581,50
582,48
583,46
584,50
585,46
586,48
587,50
588,48
589,48
590,50
591,46
592,48
593,50
594,46
595,48
596,50
597,48
598,50
599,64
600,0
601,0
602,2
