"Interval start","Filtered packets"
0,1600
1,1248
2,66688
3,1.78861e+06
4,4.35222e+06
5,4.15661e+06
6,6.49165e+06
7,7.95085e+06
8,8.93005e+06
9,7.09696e+06
10,1.01452e+07
11,9.25933e+06
12,1.20872e+07
13,1.17e+07
14,9.35027e+06
15,8.77123e+06
16,8.64048e+06
17,8.36746e+06
18,7.14058e+06
19,3.37312e+06
20,4.07389e+06
21,2.9121e+06
22,2.75197e+06
23,5.21293e+06
24,1.52019e+06
25,2.15469e+06
26,1.18558e+07
27,1.08995e+07
28,1.09173e+07
29,1.21265e+07
30,1.18468e+07
31,1.10769e+07
32,1.04453e+07
33,1.2401e+07
34,1.11745e+07
35,9.70822e+06
36,1.08933e+07
37,1.13679e+07
38,1.16213e+07
39,1.06867e+07
40,1.16631e+07
41,1.01348e+07
42,9.80979e+06
43,9.18262e+06
44,9.08627e+06
45,6.74723e+06
46,6.48778e+06
47,9.43405e+06
48,1.01497e+07
49,7.76093e+06
50,6.14902e+06
51,1.27231e+07
52,1.29917e+07
53,1.08572e+07
54,5.49328e+06
55,3.93472e+06
56,5.01229e+06
57,5.8049e+06
58,5.35971e+06
59,1.42835e+06
60,1.73747e+06
61,2.41658e+06
62,1.75472e+06
63,2.89546e+06
64,2.67898e+06
65,3.81731e+06
66,4.92707e+06
67,3.05427e+06
68,4.0017e+06
69,4.47626e+06
70,4.01002e+06
71,4.7175e+06
72,4.16925e+06
73,1.01034e+06
74,3.76006e+06
75,3.76749e+06
76,3.44291e+06
77,5.55645e+06
78,7.30531e+06
79,9.85792e+06
80,9.93011e+06
81,9.05178e+06
82,8.00669e+06
83,7.88467e+06
84,8.25005e+06
85,6.05267e+06
86,3.51872e+06
87,1.8615e+06
88,1.76083e+06
89,2.92934e+06
90,2.53389e+06
91,1.72013e+06
92,4.10218e+06
93,3.11885e+06
94,3.81802e+06
95,1.80064e+06
96,2.79229e+06
97,2.1232e+06
98,2.92714e+06
99,2.94749e+06
100,2.09462e+06
101,1.20435e+06
102,3.72006e+06
103,2.1992e+06
104,4.25949e+06
105,2.54282e+06
106,3.48934e+06
107,2.72189e+06
108,4.20474e+06
109,3.252e+06
110,3.18432e+06
111,3.37462e+06
112,3.45875e+06
113,2.69181e+06
114,3.7769e+06
115,4.77306e+06
116,3.67002e+06
117,4.03008e+06
118,4.1145e+06
119,4.45149e+06
120,5.25354e+06
121,9.30986e+06
122,9.93312e+06
123,8.13984e+06
124,4.88304e+06
125,4.5657e+06
126,3.71894e+06
127,3.61117e+06
128,2.45037e+06
129,4.10678e+06
130,4.76954e+06
131,3.54899e+06
132,3.14211e+06
133,2.952e+06
134,3.49264e+06
135,3.38205e+06
136,4.0785e+06
137,4.16864e+06
138,5.49869e+06
139,3.66861e+06
140,3.61146e+06
141,4.66346e+06
142,4.18528e+06
143,4.75891e+06
144,3.54378e+06
145,5.01238e+06
146,4.69203e+06
147,3.11734e+06
148,4.19382e+06
149,3.85411e+06
150,1.90662e+06
151,3.07274e+06
152,4.16013e+06
153,4.20323e+06
154,4.94099e+06
155,5.17242e+06
156,5.20179e+06
157,3.81219e+06
158,4.4535e+06
159,3.98326e+06
160,1.20285e+06
161,2.1984e+06
162,2.69632e+06
163,4.21277e+06
164,5.08608e+06
165,3.50688e+06
166,5.92502e+06
167,4.81757e+06
168,4.28525e+06
169,3.05398e+06
170,3.59843e+06
171,5.0537e+06
172,4.35062e+06
173,2.26016e+06
174,2.07357e+06
175,2.44134e+06
176,2.69552e+06
177,2.85494e+06
178,4.03699e+06
179,7.20032e+06
180,4.77776e+06
181,3.42867e+06
182,3.4039e+06
183,5.40474e+06
184,5.55152e+06
185,5.43261e+06
186,5.80259e+06
187,6.27747e+06
188,4.39405e+06
189,6.91869e+06
190,7.38192e+06
191,5.85184e+06
192,3.52253e+06
193,829056
194,1.30582e+06
195,7.6735e+06
196,7.06288e+06
197,5.85664e+06
198,6.8904e+06
199,5.36944e+06
200,3.24058e+06
201,3.72797e+06
202,3.7001e+06
203,3.83254e+06
204,5.15968e+06
205,3.8137e+06
206,3.43699e+06
207,3.1001e+06
208,3.75414e+06
209,5.92592e+06
210,4.16854e+06
211,5.36854e+06
212,6.72307e+06
213,7.32378e+06
214,6.8833e+06
215,7.89069e+06
216,7.57424e+06
217,4.07238e+06
218,3.68746e+06
219,4.74618e+06
220,4.61603e+06
221,6.44531e+06
222,4.47245e+06
223,3.9617e+06
224,2.41718e+06
225,1.12304e+06
226,4.06448e+06
227,1.45242e+06
228,3.14301e+06
229,5.26186e+06
230,4.84314e+06
231,4.23162e+06
232,5.30547e+06
233,2.45142e+06
234,1.67395e+06
235,4.20464e+06
236,3.87085e+06
237,2.65792e+06
238,3.44672e+06
239,2.94448e+06
240,4.1153e+06
241,3.4753e+06
242,4.10458e+06
243,2.99632e+06
244,5.65962e+06
245,7.87283e+06
246,9.15616e+06
247,8.32074e+06
248,7.5201e+06
249,7.46454e+06
250,6.28349e+06
251,6.79104e+06
252,6.36851e+06
253,3.82944e+06
254,3.70611e+06
255,5.02963e+06
