"Interval start","Filtered packets"
0,4
1,3
2,10
3,48
4,46
5,50
6,78
7,96
8,92
9,80
10,96
11,96
12,114
13,108
14,98
15,98
16,94
17,96
18,80
19,46
20,50
21,48
22,46
23,60
24,46
25,54
26,102
27,94
28,102
29,106
30,102
31,98
32,94
33,104
34,102
35,98
36,102
37,96
38,98
39,92
40,110
41,92
42,96
43,96
44,100
45,82
46,70
47,98
48,96
49,82
50,66
51,126
52,120
53,102
54,66
55,52
56,54
57,54
58,54
59,50
60,48
61,46
62,50
63,52
64,48
65,56
66,64
67,46
68,50
69,48
70,48
71,54
72,56
73,46
74,60
75,64
76,52
77,66
78,78
79,96
80,96
81,96
82,88
83,96
84,100
85,70
86,58
87,50
88,46
89,50
90,46
91,50
92,62
93,50
94,58
95,48
96,58
97,50
98,48
99,46
100,50
101,46
102,66
103,48
104,56
105,50
106,60
107,46
108,50
109,48
110,48
111,46
112,50
113,46
114,48
115,58
116,52
117,58
118,50
119,46
120,60
121,90
122,96
123,86
124,50
125,50
126,50
127,60
128,48
129,58
130,48
131,50
132,52
133,46
134,48
135,50
136,46
137,50
138,60
139,48
140,48
141,50
142,46
143,52
144,48
145,50
146,50
147,50
148,66
149,58
150,50
151,60
152,60
153,50
154,48
155,56
156,54
157,50
158,56
159,66
160,46
161,50
162,46
163,60
164,50
165,50
166,62
167,52
168,48
169,58
170,58
171,52
172,50
173,46
174,50
175,48
176,48
177,48
178,52
179,66
180,50
181,50
182,48
183,58
184,52
185,56
186,56
187,72
188,58
189,82
190,82
191,72
192,56
193,48
194,48
195,90
196,90
197,60
198,70
199,56
200,54
201,50
202,52
203,48
204,54
205,50
206,48
207,48
208,56
209,56
210,54
211,62
212,86
213,92
214,84
215,96
216,90
217,50
218,46
219,50
220,52
221,66
222,50
223,56
224,52
225,50
226,66
227,50
228,46
229,58
230,52
231,58
232,58
233,51
234,47
235,54
236,50
237,48
238,50
239,46
240,48
241,50
242,56
243,48
244,60
245,88
246,102
247,100
248,90
249,86
250,72
251,74
252,70
253,52
254,52
255,52
256,58
257,54
258,50
259,54
260,52
261,48
262,64
263,64
264,50
265,56
266,52
267,60
268,48
269,54
270,50
271,48
272,52
273,84
274,72
275,74
276,54
277,50
278,56
279,50
280,56
281,54
282,64
283,56
284,62
285,48
286,50
287,60
288,46
289,50
290,46
291,50
292,48
293,46
294,66
295,56
296,78
297,52
298,68
299,60
300,60
301,72
302,46
303,82
304,78
305,70
306,80
307,60
308,64
309,50
310,58
311,72
312,48
313,46
314,48
315,90
316,88
317,64
318,50
319,46
320,60
321,78
322,66
323,96
324,86
325,58
326,72
327,74
328,64
329,54
330,86
331,82
332,56
333,48
334,58
335,50
336,62
337,52
338,46
339,56
340,48
341,48
342,66
343,46
344,52
345,68
346,104
347,96
348,92
349,96
350,98
351,94
352,96
353,96
354,92
355,82
356,94
357,56
358,88
359,74
360,98
361,96
362,96
363,96
364,62
365,50
366,48
367,94
368,122
369,100
370,96
371,100
372,86
373,50
374,82
375,56
376,46
377,63
378,67
379,46
380,50
381,68
382,50
383,48
384,56
385,50
386,48
387,48
388,64
389,48
390,46
391,48
392,50
393,54
394,50
395,72
396,52
397,50
398,60
399,48
400,50
401,58
402,68
403,48
404,48
405,48
406,48
407,66
408,60
409,68
410,52
411,46
412,48
413,74
414,80
415,56
416,48
417,50
418,58
419,66
420,68
421,48
422,53
423,119
424,114
425,138
426,144
427,74
428,48
429,134
430,82
431,52
432,48
433,86
434,150
435,144
436,102
437,50
438,86
439,66
440,74
441,56
442,50
443,54
444,46
445,154
446,72
447,102
448,74
449,50
450,64
451,50
452,48
453,46
454,62
455,68
456,70
457,46
458,50
459,54
460,54
461,54
462,48
463,56
464,48
465,100
466,114
467,92
468,100
469,102
470,96
471,100
472,100
473,98
474,58
475,56
476,54
477,48
478,48
479,50
480,68
481,86
482,80
483,50
484,50
485,46
486,56
487,48
488,48
489,60
490,48
491,50
492,52
493,58
494,46
495,52
496,54
497,48
498,48
499,50
500,48
501,48
502,52
503,48
504,48
505,50
506,66
507,56
508,56
509,50
510,74
511,72
512,88
513,76
514,64
515,58
516,58
517,56
518,60
519,52
520,52
521,62
522,74
523,80
524,56
525,50
526,90
527,82
528,58
529,56
530,46
531,50
532,48
533,48
534,54
535,92
536,98
537,136
538,138
539,158
540,184
541,200
542,196
543,192
544,196
545,184
546,192
547,200
548,194
549,192
550,184
551,200
552,212
553,230
554,196
555,196
556,192
557,192
558,182
559,200
560,192
561,184
562,168
563,138
564,150
565,144
566,104
567,92
568,74
569,48
570,46
571,50
572,46
573,50
574,48
575,52
576,48
577,46
578,50
579,48
580,48
581,50
582,48
583,46
584,50
585,48
586,52
587,46
588,48
589,48
590,50
591,46
592,48
593,50
594,48
595,48
596,50
597,52
598,60
599,0
600,0
601,2
