"Interval start","Filtered packets"
0,0
1,0
2,1600
3,2048
4,3.45302e+06
5,4.62035e+06
6,4.50755e+06
7,4.49702e+06
8,4.46394e+06
9,4.63008e+06
10,4.46243e+06
11,4.20374e+06
12,6.55782e+06
13,3.96461e+06
14,4.29398e+06
15,4.36317e+06
16,4.47446e+06
17,4.51357e+06
18,4.43686e+06
19,4.72483e+06
20,4.53162e+06
21,6.33373e+06
22,4.17517e+06
23,4.50154e+06
24,4.48048e+06
25,4.09846e+06
26,4.15411e+06
27,3.95789e+06
28,4.18038e+06
29,6.48262e+06
30,4.26842e+06
31,4.35264e+06
32,4.72413e+06
33,4.65795e+06
34,4.70608e+06
35,4.71661e+06
36,4.52109e+06
37,6.63904e+06
38,4.33158e+06
39,4.65043e+06
40,4.53011e+06
41,4.5647e+06
42,4.62035e+06
43,4.50304e+06
44,4.70458e+06
45,4.71661e+06
46,6.65558e+06
47,4.64291e+06
48,4.65344e+06
49,4.73165e+06
50,4.84144e+06
51,4.8279e+06
52,4.74368e+06
53,4.7873e+06
54,6.58941e+06
55,4.83242e+06
56,4.72714e+06
57,4.64893e+06
58,4.78128e+06
59,4.78278e+06
60,4.91965e+06
61,4.64522e+06
62,7.21126e+06
63,4.80083e+06
64,5.08208e+06
65,5.06102e+06
66,4.97379e+06
67,4.98883e+06
68,4.90611e+06
69,4.9031e+06
70,4.9008e+06
71,6.63453e+06
72,4.43235e+06
73,4.30902e+06
74,4.23232e+06
75,4.43987e+06
76,4.43987e+06
77,4.27744e+06
78,4.28346e+06
79,6.34125e+06
80,4.22781e+06
81,4.14358e+06
82,4.01123e+06
83,4.18419e+06
84,4.35114e+06
85,4.34662e+06
86,4.20675e+06
87,6.27958e+06
88,3.61869e+06
89,4.2233e+06
90,4.12102e+06
91,3.85181e+06
92,4.29248e+06
93,5.15728e+06
94,4.82339e+06
95,4.09696e+06
96,6.27056e+06
97,4.0383e+06
98,4.16314e+06
99,4.45642e+06
100,4.51808e+06
101,4.79933e+06
102,4.80083e+06
103,4.80234e+06
104,6.31498e+06
105,4.50675e+06
106,4.42784e+06
107,4.17446e+06
108,4.42102e+06
109,4.2609e+06
110,4.46093e+06
111,4.64893e+06
112,6.70522e+06
113,4.34813e+06
114,4.54666e+06
115,4.51808e+06
116,4.78048e+06
117,4.83843e+06
118,4.64141e+06
119,4.72262e+06
120,4.7903e+06
121,6.67248e+06
122,4.86099e+06
123,4.80384e+06
124,4.77226e+06
125,4.58054e+06
126,4.89178e+06
127,4.7519e+06
128,4.49853e+06
129,6.44653e+06
130,4.38874e+06
131,4.56019e+06
132,4.42784e+06
133,4.72112e+06
134,4.73616e+06
135,4.60381e+06
136,4.58426e+06
137,6.88118e+06
138,4.37971e+06
139,4.7527e+06
140,4.9001e+06
141,5.16029e+06
142,5.25504e+06
143,5.10765e+06
144,5.19939e+06
145,5.06182e+06
146,7.10147e+06
147,4.92717e+06
148,5.04899e+06
149,5.29334e+06
150,4.87453e+06
151,4.78429e+06
152,4.62416e+06
153,6.53786e+06
154,8.0168e+06
155,6.21078e+06
156,5.62954e+06
157,5.76941e+06
158,6.29542e+06
159,5.85213e+06
160,5.43251e+06
161,5.44304e+06
162,7.41891e+06
163,4.40528e+06
164,4.42032e+06
165,4.41581e+06
166,4.52259e+06
167,4.32106e+06
168,4.84746e+06
169,5.14144e+06
170,4.87904e+06
171,6.83757e+06
172,4.9392e+06
173,4.89709e+06
174,4.9392e+06
175,5.14675e+06
176,5.17683e+06
177,4.88506e+06
178,4.91213e+06
179,7.24515e+06
180,5.07606e+06
181,5.4295e+06
182,5.30768e+06
183,4.98131e+06
184,5.00989e+06
185,4.9031e+06
186,4.74669e+06
187,7.01955e+06
188,4.60832e+06
189,4.76022e+06
190,4.70307e+06
191,4.56922e+06
192,4.5256e+06
193,4.61734e+06
194,4.72864e+06
195,4.6023e+06
196,6.65709e+06
197,4.49251e+06
198,4.488e+06
199,4.68202e+06
200,4.59629e+06
201,4.57373e+06
202,4.73014e+06
203,4.67149e+06
204,6.68416e+06
205,4.66848e+06
206,4.87754e+06
207,4.8655e+06
208,4.93469e+06
209,5.03094e+06
210,5.4663e+06
211,4.68803e+06
212,6.78192e+06
213,4.85197e+06
