"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,4.4918e+07
11,3.42904e+07
12,3.25501e+07
13,3.41637e+07
14,3.42228e+07
15,4.37944e+07
16,3.31415e+07
17,3.09788e+07
18,4.72074e+07
19,2.95004e+07
20,4.23329e+07
21,3.15533e+07
22,3.3378e+07
23,3.43327e+07
24,3.52451e+07
25,4.27469e+07
26,5.22255e+07
27,3.13083e+07
28,3.48058e+07
29,3.54309e+07
30,4.25779e+07
31,3.01425e+07
32,3.40961e+07
33,3.08605e+07
34,3.10295e+07
35,5.54527e+07
36,3.1756e+07
37,3.23727e+07
38,3.84215e+07
39,3.59124e+07
40,4.39634e+07
41,3.51944e+07
42,3.35048e+07
43,4.90068e+07
44,3.29979e+07
45,4.23414e+07
46,3.3378e+07
47,3.36146e+07
48,3.38427e+07
49,3.33527e+07
50,4.30341e+07
51,5.21411e+07
52,3.45439e+07
53,3.34287e+07
54,3.37751e+07
55,4.41577e+07
56,3.62081e+07
57,3.65207e+07
58,3.42735e+07
59,3.60561e+07
60,5.4988e+07
61,3.63602e+07
62,3.54816e+07
63,3.58956e+07
64,3.56421e+07
65,4.37606e+07
66,3.69178e+07
67,3.6394e+07
68,5.16595e+07
69,3.71712e+07
70,4.43942e+07
71,3.89537e+07
72,3.75429e+07
73,3.6715e+07
74,3.56506e+07
75,4.31693e+07
76,5.17862e+07
77,3.14097e+07
78,3.27107e+07
79,3.35808e+07
80,4.17669e+07
81,3.36568e+07
82,3.16124e+07
83,3.09028e+07
84,3.20179e+07
85,4.86267e+07
86,3.25164e+07
87,2.90696e+07
88,3.21362e+07
89,2.98721e+07
90,3.97394e+07
91,3.28796e+07
92,3.01594e+07
93,4.51208e+07
94,2.81994e+07
95,3.91311e+07
96,3.18574e+07
97,2.94328e+07
98,3.38004e+07
99,3.56083e+07
100,4.11756e+07
101,4.75622e+07
102,2.87232e+07
103,2.96947e+07
104,3.0548e+07
105,4.04406e+07
106,3.48818e+07
107,3.38934e+07
108,3.51944e+07
109,3.34118e+07
110,4.91082e+07
111,3.35724e+07
112,3.11224e+07
113,2.93146e+07
114,2.91625e+07
115,3.78555e+07
116,3.49578e+07
117,3.12914e+07
118,4.9801e+07
119,3.13336e+07
120,4.04744e+07
121,3.57942e+07
122,3.42144e+07
123,3.38258e+07
124,3.3226e+07
125,4.1108e+07
126,5.19552e+07
127,3.52535e+07
128,3.39018e+07
129,3.25332e+07
130,4.19697e+07
131,3.58787e+07
132,3.40961e+07
133,3.37075e+07
134,3.16209e+07
135,5.19974e+07
136,3.3547e+07
137,3.28374e+07
138,3.27191e+07
139,3.17729e+07
140,4.02125e+07
141,3.42144e+07
142,3.38342e+07
143,4.74271e+07
144,3.33105e+07
145,4.08038e+07
146,3.49663e+07
147,3.81765e+07
148,3.76274e+07
149,3.6149e+07
150,4.28989e+07
151,5.2158e+07
152,3.81258e+07
153,3.48902e+07
154,3.40792e+07
155,4.36677e+07
156,3.48987e+07
157,3.67995e+07
158,3.95113e+07
159,4.12516e+07
160,5.49711e+07
161,3.93677e+07
162,3.86918e+07
163,3.93508e+07
164,4.23836e+07
165,4.31439e+07
166,3.77795e+07
167,4.03814e+07
168,5.33491e+07
169,3.33949e+07
170,4.224e+07
171,3.44003e+07
172,3.47466e+07
173,3.66136e+07
174,3.7205e+07
175,4.39718e+07
176,5.22593e+07
177,3.70276e+07
178,3.62166e+07
179,3.65207e+07
180,4.67259e+07
181,3.73908e+07
182,3.97647e+07
183,3.98408e+07
184,3.96718e+07
185,5.67452e+07
186,3.98408e+07
187,4.0373e+07
188,3.92916e+07
189,3.75514e+07
190,4.45801e+07
191,3.87763e+07
192,3.86074e+07
193,5.24029e+07
194,3.58533e+07
195,4.37775e+07
196,3.65292e+07
197,3.51606e+07
198,3.51014e+07
199,3.61321e+07
200,4.15388e+07
201,5.32984e+07
202,3.74669e+07
203,3.29219e+07
204,3.47804e+07
205,4.25948e+07
206,3.56083e+07
207,3.69769e+07
208,3.75176e+07
209,3.56421e+07
210,5.45656e+07
211,3.60054e+07
212,3.9241e+07
213,3.68586e+07
214,3.72895e+07
215,4.76298e+07
216,3.84722e+07
217,3.79907e+07
