"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,5317
11,4059
12,3853
13,4044
14,4051
15,5184
16,3923
17,3667
18,5588
19,3492
20,5011
21,3735
22,3951
23,4064
24,4172
25,5060
26,6182
27,3706
28,4120
29,4194
30,5040
31,3568
32,4036
33,3653
34,3673
35,6564
36,3759
37,3832
38,4548
39,4251
40,5204
41,4166
42,3966
43,5801
44,3906
45,5012
46,3951
47,3979
48,4006
49,3948
50,5094
51,6172
52,4089
53,3957
54,3998
55,5227
56,4286
57,4323
58,4057
59,4268
60,6509
61,4304
62,4200
63,4249
64,4219
65,5180
66,4370
67,4308
68,6115
69,4400
70,5255
71,4611
72,4444
73,4346
74,4220
75,5110
76,6130
77,3718
78,3872
79,3975
80,4944
81,3984
82,3742
83,3658
84,3790
85,5756
86,3849
87,3441
88,3804
89,3536
90,4704
91,3892
92,3570
93,5341
94,3338
95,4632
96,3771
97,3484
98,4001
99,4215
100,4874
101,5630
102,3400
103,3515
104,3616
105,4787
106,4129
107,4012
108,4166
109,3955
110,5813
111,3974
112,3684
113,3470
114,3452
115,4481
116,4138
117,3704
118,5895
119,3709
120,4791
121,4237
122,4050
123,4004
124,3933
125,4866
126,6150
127,4173
128,4013
129,3851
130,4968
131,4247
132,4036
133,3990
134,3743
135,6155
136,3971
137,3887
138,3873
139,3761
140,4760
141,4050
142,4005
143,5614
144,3943
145,4830
146,4139
147,4519
148,4454
149,4279
150,5078
151,6174
152,4513
153,4130
154,4034
155,5169
156,4131
157,4356
158,4677
159,4883
160,6507
161,4660
162,4580
163,4658
164,5017
165,5107
166,4472
167,4780
168,6315
169,3953
170,5000
171,4072
172,4113
173,4334
174,4404
175,5205
176,6186
177,4383
178,4287
179,4323
180,5531
181,4426
182,4707
183,4716
184,4696
185,6717
186,4716
187,4779
188,4651
189,4445
190,5277
191,4590
192,4570
193,6203
194,4244
195,5182
196,4324
197,4162
198,4155
199,4277
200,4917
201,6309
202,4435
203,3897
204,4117
205,5042
206,4215
207,4377
208,4441
209,4219
210,6459
211,4262
212,4645
213,4363
214,4414
215,5638
216,4554
217,4497
218,6014
219,4764
220,5207
221,4628
222,4111
223,3907
224,3555
225,4407
226,5640
227,3270
228,3648
229,3404
230,4286
231,3798
232,3731
233,4038
234,3979
235,5830
236,3568
237,3382
238,3725
239,3583
240,4507
241,4194
242,3892
243,6126
244,4347
245,5112
246,4377
247,4382
248,4289
249,3864
250,4765
251,5799
252,3585
253,3838
254,3495
255,4515
256,3775
257,3735
258,4142
259,4508
260,6289
261,3744
262,4022
263,4190
264,3797
265,4831
266,4036
267,3961
268,5996
269,3517
270,4257
271,3886
272,3524
273,3798
274,3860
275,4588
276,5928
277,4314
278,5660
279,5025
280,5125
281,4785
282,4262
283,4425
284,4653
285,6438
286,4246
287,4576
288,4504
289,4316
290,5018
291,4015
292,4127
293,5926
294,3854
295,4839
296,4108
297,3843
298,4009
299,3996
300,4734
301,5990
302,3818
303,4098
304,4191
305,4743
306,3854
307,3894
308,4103
309,4155
310,6057
311,3902
312,3937
313,3789
314,4258
315,4833
316,4038
317,3827
318,5795
319,4180
320,4758
321,4035
322,3885
323,4054
324,4388
325,5038
326,5977
327,4112
328,4266
329,4296
330,4918
331,4080
332,4178
333,4109
334,4231
335,6436
336,4359
337,4382
338,3960
339,4389
340,5012
341,4169
342,4161
343,6214
344,4392
345,5117
346,4318
347,4273
348,4339
349,4346
350,5046
351,6397
352,4047
353,4255
354,4164
355,4746
356,4028
357,3782
358,3741
359,4124
360,5900
361,3763
362,3744
363,3655
364,3826
365,4665
366,3615
367,3775
368,5739
369,3714
370,4545
371,3695
372,3865
373,3631
374,3798
375,4752
376,5676
377,3384
378,3534
379,3530
380,4699
381,3777
382,3753
383,3889
384,3942
385,6144
386,3630
387,3963
388,4126
389,4046
390,5075
391,4240
392,4230
393,6167
394,3839
395,5030
396,4166
397,3870
398,4492
399,4903
400,5274
401,6187
402,4388
403,4508
404,4508
405,5335
406,4419
407,4433
408,4534
409,3852
410,6170
411,3972
412,3800
413,3828
414,3911
415,4937
416,3970
417,4084
418,5694
419,4068
420,5042
421,4085
422,4087
423,4371
424,4144
425,5035
