"Interval start","Filtered packets"
0,0
1,0
2,8.42266e+06
3,3.10802e+07
4,4.55939e+07
5,4.43351e+07
6,5.05444e+07
7,5.39996e+07
8,5.56723e+07
9,6.08172e+07
10,6.19745e+07
11,7.12842e+07
12,9.36376e+07
13,8.448e+07
14,7.75949e+07
15,6.97889e+07
16,7.42157e+07
17,7.48239e+07
18,2.77939e+07
19,2.46513e+07
20,2.54285e+07
21,2.0233e+07
22,2.9078e+07
23,2.32658e+07
24,1.01123e+07
25,7.20783e+07
26,9.29871e+07
27,9.92556e+07
28,8.78339e+07
29,8.59922e+07
30,8.87631e+07
31,9.09765e+07
32,9.62058e+07
33,9.9678e+07
34,8.22244e+07
35,7.51534e+07
36,6.81078e+07
37,6.90455e+07
38,6.50918e+07
39,6.9282e+07
40,7.04056e+07
41,6.56325e+07
42,6.41541e+07
43,6.5717e+07
44,5.87052e+07
45,5.97274e+07
46,5.57737e+07
47,5.35519e+07
48,4.88379e+07
49,4.82972e+07
50,8.14725e+07
51,7.57279e+07
52,7.77638e+07
53,5.66861e+07
54,5.19299e+07
55,4.67935e+07
56,4.67174e+07
57,5.05021e+07
58,2.52004e+07
59,7.75526e+06
60,1.47333e+07
61,1.30099e+07
62,1.43363e+07
63,1.95994e+07
64,2.31391e+07
65,1.94726e+07
66,3.10211e+07
67,2.21844e+07
68,3.31077e+07
69,2.65098e+07
70,2.32996e+07
71,3.3961e+07
72,1.40406e+07
73,3.00833e+07
74,1.46488e+07
75,3.87341e+07
76,2.50652e+07
77,3.9959e+07
78,6.03103e+07
79,6.43991e+07
80,5.81053e+07
81,5.41263e+07
82,3.99506e+07
83,3.86158e+07
84,3.90213e+07
85,3.67826e+07
86,2.07314e+07
87,1.23172e+07
88,1.61441e+07
89,1.94895e+07
90,1.85096e+07
91,1.54852e+07
92,3.46452e+07
93,2.96018e+07
94,1.61948e+07
95,1.92614e+07
96,1.93797e+07
97,1.55105e+07
98,2.08328e+07
99,1.89235e+07
100,1.29001e+07
101,1.36435e+07
102,3.20348e+07
103,2.34685e+07
104,3.8996e+07
105,2.60114e+07
106,2.18212e+07
107,2.03428e+07
108,2.16776e+07
109,1.76732e+07
110,2.09933e+07
111,1.74789e+07
112,2.04948e+07
113,2.05624e+07
114,2.68477e+07
115,3.36315e+07
116,3.745e+07
117,2.50906e+07
118,2.91287e+07
119,2.99651e+07
120,5.4667e+07
121,5.70578e+07
122,5.53428e+07
123,3.83962e+07
124,2.81825e+07
125,3.20686e+07
126,1.88559e+07
127,2.80812e+07
128,1.86954e+07
129,3.28205e+07
130,2.9399e+07
131,2.76334e+07
132,2.59776e+07
133,2.58255e+07
134,2.89682e+07
135,2.61888e+07
136,2.7946e+07
137,3.90298e+07
138,2.87063e+07
139,2.83261e+07
140,2.86049e+07
141,3.00918e+07
142,3.16631e+07
143,2.91625e+07
144,2.98975e+07
145,3.04888e+07
146,3.40285e+07
147,2.47273e+07
148,5.4591e+07
149,1.83913e+07
150,2.93906e+07
151,3.09366e+07
152,2.49723e+07
153,2.75067e+07
154,3.44256e+07
155,3.70191e+07
156,3.32429e+07
157,2.97539e+07
158,4.36762e+07
159,1.71156e+07
160,1.83491e+07
161,1.99626e+07
162,1.93037e+07
163,3.90889e+07
164,2.73039e+07
165,3.05311e+07
166,3.6791e+07
167,3.19334e+07
168,2.80389e+07
169,1.50459e+07
170,3.42735e+07
171,3.17983e+07
172,1.74113e+07
173,1.3728e+07
174,1.33647e+07
175,1.73691e+07
176,1.61948e+07
177,1.8121e+07
178,3.58111e+07
179,4.3541e+07
180,2.78531e+07
181,2.07567e+07
182,3.05395e+07
183,3.65123e+07
184,3.58618e+07
185,3.66052e+07
186,3.65292e+07
187,3.65292e+07
188,3.598e+07
189,4.25526e+07
190,3.91142e+07
191,3.3961e+07
192,1.31704e+07
193,1.39308e+07
194,3.45523e+07
195,4.26962e+07
196,3.58364e+07
197,2.64845e+07
198,4.30003e+07
199,2.12298e+07
200,2.22774e+07
201,1.94642e+07
202,2.83768e+07
203,2.80474e+07
204,2.87063e+07
205,2.56059e+07
206,2.36291e+07
207,1.34408e+07
208,3.35555e+07
209,3.12914e+07
210,2.4854e+07
211,3.7526e+07
212,3.77964e+07
