"Interval start","Filtered packets"
0,0
1,0
2,997
3,3679
4,5397
5,5248
6,5983
7,6392
8,6590
9,7199
10,7336
11,8438
12,11084
13,10000
14,9185
15,8261
16,8785
17,8857
18,3290
19,2918
20,3010
21,2395
22,3442
23,2754
24,1197
25,8532
26,11007
27,11749
28,10397
29,10179
30,10507
31,10769
32,11388
33,11799
34,9733
35,8896
36,8062
37,8173
38,7705
39,8201
40,8334
41,7769
42,7594
43,7779
44,6949
45,7070
46,6602
47,6339
48,5781
49,5717
50,9644
51,8964
52,9205
53,6710
54,6147
55,5539
56,5530
57,5978
58,2983
59,918
60,1744
61,1540
62,1697
63,2320
64,2739
65,2305
66,3672
67,2626
68,3919
69,3138
70,2758
71,4020
72,1662
73,3561
74,1734
75,4585
76,2967
77,4730
78,7139
79,7623
80,6878
81,6407
82,4729
83,4571
84,4619
85,4354
86,2454
87,1458
88,1911
89,2307
90,2191
91,1833
92,4101
93,3504
94,1917
95,2280
96,2294
97,1836
98,2466
99,2240
100,1527
101,1615
102,3792
103,2778
104,4616
105,3079
106,2583
107,2408
108,2566
109,2092
110,2485
111,2069
112,2426
113,2434
114,3178
115,3981
116,4433
117,2970
118,3448
119,3547
120,6471
121,6754
122,6551
123,4545
124,3336
125,3796
126,2232
127,3324
128,2213
129,3885
130,3480
131,3271
132,3075
133,3057
134,3429
135,3100
136,3308
137,4620
138,3398
139,3353
140,3386
141,3562
142,3748
143,3452
144,3539
145,3609
146,4028
147,2927
148,6462
149,2177
150,3479
151,3662
152,2956
153,3256
154,4075
155,4382
156,3935
157,3522
158,5170
159,2026
160,2172
161,2363
162,2285
163,4627
164,3232
165,3614
166,4355
167,3780
168,3319
169,1781
170,4057
171,3764
172,2061
173,1625
174,1582
175,2056
176,1917
177,2145
178,4239
179,5154
180,3297
181,2457
182,3615
183,4322
184,4245
185,4333
186,4324
187,4324
188,4259
189,5037
190,4630
191,4020
192,1559
193,1649
194,4090
195,5054
196,4242
197,3135
198,5090
199,2513
200,2637
201,2304
202,3359
203,3320
204,3398
205,3031
206,2797
207,1591
208,3972
209,3704
210,2942
211,4442
212,4474
213,5128
214,5421
215,5325
216,3554
217,2813
218,3213
219,3314
220,4271
221,3935
222,3274
223,3391
224,1538
225,2225
226,6516
227,4019
228,4394
229,3217
230,2931
231,3761
232,4595
233,2876
234,2615
235,2883
236,2789
237,2206
238,2454
239,2883
240,2806
241,3307
242,2506
243,2967
244,8229
245,10793
246,6982
247,5277
248,5072
249,4461
250,5032
251,3783
252,3954
253,2517
254,2946
255,4014
256,3769
257,3172
258,1593
259,3656
260,3466
261,4478
262,5721
263,3473
264,2122
265,3546
266,3339
267,3065
268,3477
269,3263
270,3161
271,3775
272,5068
273,7113
274,5444
275,5783
276,4590
277,5104
278,3591
279,2985
280,4949
281,4556
282,4399
283,5402
284,3223
285,3047
286,3463
287,4008
288,3171
289,1821
290,2015
291,2544
292,2469
293,5188
294,2623
295,3612
296,3966
297,4353
298,2872
299,3396
300,4336
301,2145
302,2853
303,9797
304,9678
305,8843
306,7937
307,6257
308,2603
309,3474
310,5213
311,2667
312,3068
313,3033
314,5221
315,5006
316,4654
317,3400
318,3306
319,4128
320,4437
321,4152
322,4582
323,4499
324,3682
325,2265
326,5033
327,4187
328,4249
329,4998
330,5276
331,4120
332,3588
333,3903
334,3415
335,3732
336,3276
337,3260
338,3062
339,3148
340,2057
341,1374
342,4789
343,3227
344,4244
345,7267
346,6619
347,6632
348,6929
349,5779
350,5551
351,5968
352,6558
353,7336
354,5770
355,5861
356,5885
357,6824
358,5296
359,7275
360,7306
361,6739
362,6906
363,7860
364,4343
365,3435
366,7115
367,8349
368,7723
369,7836
370,7503
371,7328
372,5671
373,7016
374,4690
375,3333
376,2617
377,6750
378,3869
379,3223
380,5187
381,3039
382,2993
383,3459
384,2898
385,2351
386,1822
387,4062
388,2311
389,1724
390,2107
391,2621
392,2547
393,3271
394,4870
395,3349
396,2783
397,2875
398,3619
399,2464
400,2439
401,5144
402,2715
403,2492
404,2859
405,2201
406,3313
407,4668
408,5488
409,4319
410,2424
411,2394
412,3497
413,4484
414,4654
415,2761
416,3255
417,3891
418,4083
419,4488
420,2641
421,2799
422,8496
423,5348
424,11271
