"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,388608
6,2.7287e+06
7,4.78157e+06
8,4.93363e+06
9,5.15328e+06
10,6.30221e+06
11,5.98963e+06
12,6.28531e+06
13,6.81754e+06
14,8.22835e+06
15,1.01038e+07
16,9.03936e+06
17,8.98867e+06
18,7.69613e+06
19,8.19456e+06
20,8.27904e+06
21,4.8407e+06
22,2.67802e+06
23,2.92301e+06
24,2.31475e+06
25,2.7625e+06
26,3.40454e+06
27,1.0729e+06
28,5.17862e+06
29,1.03488e+07
30,1.06698e+07
31,1.04164e+07
32,9.54624e+06
33,9.83347e+06
34,9.74899e+06
35,1.05262e+07
36,1.1447e+07
37,9.52934e+06
38,8.54093e+06
39,7.78906e+06
40,7.44269e+06
41,7.52717e+06
42,7.51027e+06
43,7.90733e+06
44,7.13011e+06
45,7.34131e+06
46,6.79219e+06
47,7.29062e+06
48,6.69082e+06
49,6.30221e+06
50,5.98118e+06
51,5.51654e+06
52,5.7193e+06
53,7.62854e+06
54,8.70989e+06
55,8.49024e+06
56,7.56941e+06
57,5.6855e+06
58,5.06035e+06
59,5.12794e+06
60,5.66861e+06
61,4.14797e+06
62,743424
63,1.51219e+06
64,1.48685e+06
65,1.38547e+06
66,2.25562e+06
67,1.94304e+06
68,2.79629e+06
69,3.30317e+06
70,2.37389e+06
71,3.45523e+06
72,3.17645e+06
73,2.56819e+06
74,3.27782e+06
75,2.44992e+06
76,2.58509e+06
77,2.23027e+06
78,3.98746e+06
79,2.60198e+06
80,3.50592e+06
81,6.70771e+06
82,7.10477e+06
83,6.70771e+06
84,6.01498e+06
85,5.03501e+06
86,4.29158e+06
87,4.19866e+06
88,4.62106e+06
89,2.36544e+06
90,1.80787e+06
91,1.64736e+06
92,1.86701e+06
93,2.42458e+06
94,1.52909e+06
95,3.59885e+06
96,2.85542e+06
97,2.44992e+06
98,1.85011e+06
99,2.46682e+06
100,1.75718e+06
101,2.112e+06
102,2.27251e+06
103,1.75718e+06
104,1.36013e+06
105,3.41299e+06
106,2.19648e+06
107,4.44365e+06
108,2.9399e+06
109,2.71181e+06
110,2.07821e+06
111,2.5175e+06
112,1.98528e+06
113,2.12045e+06
114,2.25562e+06
115,2.21338e+06
116,2.17114e+06
117,2.44992e+06
118,4.02125e+06
119,2.67802e+06
120,4.13952e+06
121,3.32006e+06
122,3.05818e+06
123,5.63482e+06
124,6.05722e+06
125,6.1417e+06
126,5.2969e+06
127,3.12576e+06
128,3.168e+06
129,2.78784e+06
130,3.1511e+06
131,2.06976e+06
132,3.27782e+06
133,3.27782e+06
134,3.19334e+06
135,2.9568e+06
136,2.77094e+06
137,3.24403e+06
138,2.7625e+06
139,3.23558e+06
140,4.55347e+06
141,2.89766e+06
142,3.21024e+06
143,3.12576e+06
144,3.34541e+06
145,3.42144e+06
146,3.41299e+06
147,3.09197e+06
148,3.53126e+06
149,3.5904e+06
150,3.05818e+06
151,4.67174e+06
152,3.49747e+06
153,2.84698e+06
154,3.92832e+06
155,2.5175e+06
156,3.06662e+06
157,3.65798e+06
158,4.06349e+06
159,3.9959e+06
160,3.29472e+06
161,5.22931e+06
162,1.6727e+06
163,2.10355e+06
164,2.24717e+06
165,2.1289e+06
166,3.85229e+06
167,3.50592e+06
168,2.91456e+06
169,3.94522e+06
170,3.83539e+06
171,3.32006e+06
172,1.95149e+06
173,3.22714e+06
174,3.70022e+06
175,2.46682e+06
176,1.45306e+06
177,1.44461e+06
178,1.69805e+06
179,1.94304e+06
180,1.97683e+06
181,3.41299e+06
182,4.89984e+06
183,3.53971e+06
184,2.21338e+06
185,2.61888e+06
186,4.4183e+06
187,3.95366e+06
188,4.07194e+06
189,3.91987e+06
190,4.57882e+06
191,3.41299e+06
192,4.61261e+06
193,4.71398e+06
194,3.7847e+06
195,2.24717e+06
196,1.44461e+06
197,2.70336e+06
198,4.95898e+06
199,4.18176e+06
200,3.09197e+06
201,4.62106e+06
202,3.10042e+06
203,2.13734e+06
204,2.38234e+06
205,2.85542e+06
206,3.04128e+06
207,3.1849e+06
208,2.99904e+06
209,2.83853e+06
210,1.62202e+06
211,3.04973e+06
212,3.55661e+06
213,3.10042e+06
214,3.6073e+06
215,4.0297e+06
