"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,46
6,323
7,566
8,584
9,610
10,746
11,709
12,744
13,807
14,974
15,1196
16,1070
17,1064
18,911
19,970
20,980
21,573
22,317
23,346
24,274
25,327
26,403
27,127
28,613
29,1225
30,1263
31,1233
32,1130
33,1164
34,1154
35,1246
36,1355
37,1128
38,1011
39,922
40,881
41,891
42,889
43,936
44,844
45,869
46,804
47,863
48,792
49,746
50,708
51,653
52,677
53,903
54,1031
55,1005
56,896
57,673
58,599
59,607
60,671
61,491
62,88
63,179
64,176
65,164
66,267
67,230
68,331
69,391
70,281
71,409
72,376
73,304
74,388
75,290
76,306
77,264
78,472
79,308
80,415
81,794
82,841
83,794
84,712
85,596
86,508
87,497
88,547
89,280
90,214
91,195
92,221
93,287
94,181
95,426
96,338
97,290
98,219
99,292
100,208
101,250
102,269
103,208
104,161
105,404
106,260
107,526
108,348
109,321
110,246
111,298
112,235
113,251
114,267
115,262
116,257
117,290
118,476
119,317
120,490
121,393
122,362
123,667
124,717
125,727
126,627
127,370
128,375
129,330
130,373
131,245
132,388
133,388
134,378
135,350
136,328
137,384
138,327
139,383
140,539
141,343
142,380
143,370
144,396
145,405
146,404
147,366
148,418
149,425
150,362
151,553
152,414
153,337
154,465
155,298
156,363
157,433
158,481
159,473
160,390
161,619
162,198
163,249
164,266
165,252
166,456
167,415
168,345
169,467
170,454
171,393
172,231
173,382
174,438
175,292
176,172
177,171
178,201
179,230
180,234
181,404
182,580
183,419
184,262
185,310
186,523
187,468
188,482
189,464
190,542
191,404
192,546
193,558
194,448
195,266
196,171
197,320
198,587
199,495
200,366
201,547
202,367
203,253
204,282
205,338
206,360
207,377
208,355
209,336
210,192
211,361
212,421
213,367
214,427
215,477
216,563
217,595
218,613
219,462
220,311
221,343
222,378
223,396
224,506
225,377
226,377
227,203
228,244
229,644
230,432
231,530
232,364
233,364
234,394
235,551
236,306
237,231
238,383
239,287
240,262
241,267
242,299
243,329
244,295
245,362
246,305
247,663
248,1202
249,904
250,641
251,563
252,504
253,555
254,456
255,473
256,289
257,308
258,366
259,483
260,402
261,197
262,347
263,355
264,378
265,670
266,538
267,256
268,341
269,301
270,421
271,392
272,358
273,334
274,409
275,470
276,826
277,609
278,644
279,557
280,520
281,471
282,341
283,502
284,475
285,511
286,647
287,351
288,351
289,337
290,531
291,282
292,268
293,216
294,284
295,242
296,304
297,575
298,340
299,486
300,431
301,392
302,352
303,410
304,426
305,61
306,1089
307,1067
308,968
309,925
310,820
311,304
312,326
313,572
314,361
315,348
316,323
317,334
318,748
319,560
320,382
321,377
322,429
323,470
324,506
325,416
326,537
327,483
328,275
329,469
330,486
331,469
332,487
333,643
334,490
335,377
336,417
337,421
338,444
339,345
340,353
341,361
342,392
343,184
344,200
345,483
346,363
347,462
348,599
349,854
350,731
351,722
352,712
353,612
354,633
355,739
356,741
357,754
358,615
359,722
360,659
361,692
362,698
363,813
364,769
365,757
366,821
367,626
368,421
369,409
370,1115
371,887
372,872
373,839
374,799
375,772
376,638
377,619
378,468
379,279
380,596
381,565
382,342
383,542
384,374
385,354
386,407
387,305
388,293
389,189
390,440
391,265
392,211
393,217
394,302
395,256
396,360
397,295
398,558
399,326
400,354
401,435
402,268
403,254
404,543
405,343
406,269
407,303
408,257
409,423
410,468
411,613
412,425
413,337
414,247
415,305
416,529
417,548
418,330
419,324
420,417
421,433
422,503
423,371
424,297
425,660
426,838
427,962
428,1301
429,1136
430,311
431,309
432,1543
433,397
434,286
435,337
436,829
437,1053
438,1178
439,605
440,296
441,672
442,465
443,463
444,387
445,312
446,274
447,664
448,1046
449,603
450,848
451,413
452,303
453,463
454,254
455,308
456,295
457,393
458,435
459,364
460,211
461,221
462,372
463,382
464,295
465,291
466,200
467,385
468,1119
469,1032
470,1070
471,1174
472,607
473,600
474,665
475,594
476,578
477,207
478,351
479,236
480,315
481,320
482,331
483,306
484,434
485,349
486,265
487,242
488,239
489,342
490,322
491,370
492,265
493,245
494,198
495,207
496,425
497,335
498,314
499,265
500,209
501,221
502,192
503,237
504,295
505,424
506,440
507,500
508,587
509,619
510,632
511,634
512,641
513,753
514,718
515,768
516,657
517,639
518,643
519,643
520,641
521,639
522,649
523,627
524,663
525,671
526,708
527,662
528,645
529,764
530,674
531,650
532,608
533,585
534,589
535,578
536,592
537,590
538,801
539,1061
540,1249
541,1486
542,1713
543,2015
544,2137
545,2267
546,2208
547,2252
548,2161
549,2195
550,2211
551,2219
552,2212
553,2200
554,2262
555,2323
556,2290
557,2258
558,2128
559,1995
560,2064
561,1971
562,1962
563,2027
564,1972
565,1813
566,1731
567,1451
568,1312
569,986
570,788
571,538
572,403
573,346
574,354
575,326
576,328
577,372
578,421
579,409
580,367
581,316
582,335
583,281
584,187
585,184
586,120
587,243
588,305
589,269
590,261
591,211
592,204
593,231
594,275
595,283
596,315
597,319
598,326
599,356
600,336
601,305
