"Interval start","Filtered packets"
0,0
1,329472
2,2.61888e+06
3,5.00122e+06
4,4.33382e+06
5,7.34131e+06
6,8.39731e+06
7,9.46176e+06
8,7.02029e+06
9,1.05431e+07
10,9.9433e+06
11,1.37196e+07
12,1.10246e+07
13,8.98022e+06
14,8.61696e+06
15,9.0816e+06
16,8.60006e+06
17,5.73619e+06
18,3.64954e+06
19,3.89453e+06
20,2.81318e+06
21,3.53971e+06
22,4.46054e+06
23,1.34323e+06
24,5.74464e+06
25,1.17258e+07
26,1.14386e+07
27,1.14893e+07
28,1.20975e+07
29,1.21398e+07
30,1.09824e+07
31,1.1692e+07
32,1.29846e+07
33,1.05009e+07
34,9.9433e+06
35,1.12781e+07
36,1.17765e+07
37,1.18948e+07
38,1.14301e+07
39,1.14217e+07
40,1.06952e+07
41,9.83347e+06
42,9.05626e+06
43,8.69299e+06
44,6.86822e+06
45,6.9865e+06
46,1.02643e+07
47,1.00869e+07
48,6.79219e+06
49,8.59162e+06
50,1.35252e+07
51,1.33056e+07
52,8.07629e+06
53,5.53344e+06
54,4.69709e+06
55,5.18707e+06
56,5.82912e+06
57,4.6633e+06
58,1.06445e+06
59,2.1289e+06
60,2.39923e+06
61,1.64736e+06
62,3.40454e+06
63,2.7625e+06
64,3.91987e+06
65,4.93363e+06
66,3.51437e+06
67,4.17331e+06
68,4.53658e+06
69,4.15642e+06
70,5.81222e+06
71,2.28941e+06
72,2.49216e+06
73,2.7625e+06
74,3.74246e+06
75,4.4183e+06
76,6.1417e+06
77,8.45645e+06
78,1.02897e+07
79,1.01967e+07
80,9.14074e+06
81,8.11008e+06
82,8.15232e+06
83,7.77216e+06
84,6.17549e+06
85,2.21338e+06
86,1.64736e+06
87,2.29786e+06
88,2.91456e+06
89,2.28096e+06
90,2.04442e+06
91,4.51123e+06
92,3.71712e+06
93,2.88922e+06
94,1.8839e+06
95,2.81318e+06
96,2.44992e+06
97,3.17645e+06
98,2.87232e+06
99,1.6896e+06
100,1.25875e+06
101,4.11418e+06
102,2.28096e+06
103,4.75622e+06
104,2.16269e+06
105,3.53971e+06
106,3.38765e+06
107,4.19021e+06
108,3.02438e+06
109,3.38765e+06
110,3.48058e+06
111,3.53971e+06
112,3.24403e+06
113,3.81005e+06
114,4.78157e+06
115,3.42989e+06
116,4.4183e+06
117,4.42675e+06
118,4.70554e+06
119,6.31066e+06
120,1.04417e+07
121,1.00278e+07
122,6.80909e+06
123,4.77312e+06
124,4.63795e+06
125,3.42144e+06
126,3.54816e+06
127,2.57664e+06
128,4.77312e+06
129,4.68019e+06
130,3.58195e+06
131,3.05818e+06
132,3.23558e+06
133,3.75936e+06
134,3.34541e+06
135,4.15642e+06
136,6.06566e+06
137,4.15642e+06
138,3.43834e+06
139,4.224e+06
140,4.4352e+06
141,4.79846e+06
142,4.31693e+06
143,4.0128e+06
144,5.0688e+06
145,4.40986e+06
146,3.17645e+06
147,4.51123e+06
148,3.27782e+06
149,2.1289e+06
150,4.4183e+06
151,3.42989e+06
152,4.4521e+06
153,5.27155e+06
154,5.55034e+06
155,4.83226e+06
156,4.15642e+06
157,5.51654e+06
158,2.15424e+06
159,1.42771e+06
160,2.33165e+06
161,2.85542e+06
162,4.99277e+06
163,4.89139e+06
164,4.51968e+06
165,5.62637e+06
166,4.69709e+06
167,4.30848e+06
168,2.58509e+06
169,4.58726e+06
170,5.09414e+06
171,3.77626e+06
172,2.17958e+06
173,2.06976e+06
174,2.54285e+06
175,2.81318e+06
176,3.05818e+06
177,5.22931e+06
178,6.91891e+06
179,4.55347e+06
180,3.3792e+06
181,3.49747e+06
182,6.18394e+06
183,5.87981e+06
184,5.63482e+06
185,5.75309e+06
186,6.66547e+06
187,4.78157e+06
188,7.29907e+06
189,7.29062e+06
190,5.80378e+06
191,1.95149e+06
192,1.11514e+06
193,3.19334e+06
194,7.75526e+06
195,6.94426e+06
196,5.99808e+06
197,7.13011e+06
198,4.53658e+06
199,3.21869e+06
200,3.83539e+06
201,4.27469e+06
202,4.40141e+06
203,4.65485e+06
204,3.86918e+06
205,4.05504e+06
206,2.3063e+06
207,4.8407e+06
208,5.94739e+06
209,4.61261e+06
210,5.88826e+06
211,6.79219e+06
212,7.45114e+06
213,7.6032e+06
214,8.2368e+06
215,6.42893e+06
216,3.69178e+06
217,4.03814e+06
218,5.04346e+06
219,5.27155e+06
220,6.02342e+06
221,4.35917e+06
222,4.37606e+06
223,1.2672e+06
224,1.14048e+06
225,4.50278e+06
226,1.58822e+06
227,4.49434e+06
228,4.90829e+06
229,4.4183e+06
230,4.70554e+06
231,5.36448e+06
232,1.66426e+06
233,1.98528e+06
234,5.0519e+06
235,3.70022e+06
236,2.89766e+06
237,3.17645e+06
238,3.58195e+06
239,3.9959e+06
240,3.29472e+06
241,4.46054e+06
242,3.5904e+06
243,6.1248e+06
244,9.40262e+06
245,8.94643e+06
246,8.06784e+06
247,7.63699e+06
248,7.04563e+06
249,7.36666e+06
250,6.07411e+06
251,6.07411e+06
252,3.88608e+06
253,4.0297e+06
254,5.13638e+06
255,5.64326e+06
256,4.74778e+06
257,2.33165e+06
258,4.26624e+06
259,4.19866e+06
260,4.40986e+06
261,8.19456e+06
262,3.82694e+06
263,3.15955e+06
264,4.60416e+06
265,3.75936e+06
266,4.90829e+06
267,4.44365e+06
268,4.72243e+06
269,3.14266e+06
270,4.15642e+06
271,4.38451e+06
272,8.4649e+06
273,6.5303e+06
274,6.42048e+06
275,4.92518e+06
276,4.4183e+06
277,3.92832e+06
278,4.19866e+06
279,5.88826e+06
280,5.63482e+06
281,6.09946e+06
282,6.55565e+06
283,3.28627e+06
284,3.46368e+06
285,3.54816e+06
286,4.06349e+06
287,1.52909e+06
288,1.36858e+06
289,1.72339e+06
290,1.76563e+06
291,1.68115e+06
292,937728
293,4.67174e+06
294,5.32224e+06
295,6.88512e+06
296,6.28531e+06
297,5.00122e+06
298,4.36762e+06
299,5.9136e+06
300,5.00966e+06
301,667392
302,9.0816e+06
303,7.49338e+06
304,6.53875e+06
305,6.94426e+06
306,6.80064e+06
307,3.08352e+06
308,3.92832e+06
309,6.60634e+06
310,3.85229e+06
311,2.5513e+06
312,3.94522e+06
313,3.9959e+06
314,9.58003e+06
315,7.76371e+06
316,4.68864e+06
317,5.13638e+06
318,5.98963e+06
319,6.1079e+06
320,6.81754e+06
321,6.13325e+06
322,8.13542e+06
323,6.83443e+06
324,3.75091e+06
325,6.32755e+06
326,6.53875e+06
327,5.43206e+06
328,6.18394e+06
329,9.77434e+06
330,6.16704e+06
331,5.33914e+06
332,5.03501e+06
333,5.45741e+06
334,5.81222e+06
335,4.09728e+06
336,4.59571e+06
337,4.4352e+06
338,5.09414e+06
339,2.29786e+06
340,1.46995e+06
341,4.30848e+06
342,2.94835e+06
343,2.67802e+06
344,8.37197e+06
345,1.01629e+07
346,9.33504e+06
347,1.00447e+07
348,8.80282e+06
349,8.41421e+06
350,9.37728e+06
351,1.00869e+07
352,1.03066e+07
353,7.32442e+06
354,7.23994e+06
355,6.99494e+06
356,5.7024e+06
357,6.16704e+06
358,8.72678e+06
359,1.14639e+07
360,1.10162e+07
361,1.08726e+07
362,9.52934e+06
363,3.03283e+06
364,2.5513e+06
365,3.32006e+06
366,1.34577e+07
367,1.13457e+07
368,1.18188e+07
369,1.11514e+07
370,1.18779e+07
371,5.56723e+06
372,5.21242e+06
373,5.22931e+06
374,4.33382e+06
375,2.3232e+06
376,4.4183e+06
377,3.85229e+06
378,1.7065e+06
379,4.40141e+06
380,4.51968e+06
381,2.77094e+06
382,4.95898e+06
383,3.5735e+06
384,1.69805e+06
385,1.18272e+06
386,4.2409e+06
387,2.69491e+06
388,1.74874e+06
389,2.03597e+06
390,2.82163e+06
391,2.71181e+06
392,4.00435e+06
393,3.5735e+06
394,5.56723e+06
395,2.15424e+06
396,3.49747e+06
397,5.30534e+06
398,3.26938e+06
399,3.13421e+06
400,6.85978e+06
401,4.89984e+06
402,4.84915e+06
403,4.54502e+06
404,3.72557e+06
405,4.89984e+06
406,4.98432e+06
407,5.45741e+06
408,3.88608e+06
409,2.9568e+06
410,3.9959e+06
411,4.8576e+06
412,6.59789e+06
413,7.6201e+06
414,3.5735e+06
415,3.43834e+06
416,5.0857e+06
417,5.28845e+06
418,6.72461e+06
419,3.71712e+06
420,3.76781e+06
421,8.74368e+06
422,1.17512e+07
423,1.21482e+07
424,1.58907e+07
425,1.49023e+07
426,4.44365e+06
427,4.79846e+06
428,1.82054e+07
429,5.77843e+06
430,5.22086e+06
431,4.51968e+06
432,1.20468e+07
433,1.57386e+07
434,1.69889e+07
435,8.28749e+06
436,4.13107e+06
437,9.12384e+06
438,6.50496e+06
439,6.42048e+06
440,5.30534e+06
441,3.67488e+06
442,2.66112e+06
443,8.4649e+06
444,1.27818e+07
445,6.7753e+06
446,9.98554e+06
447,6.1248e+06
448,3.55661e+06
449,5.99808e+06
450,2.82163e+06
451,3.5904e+06
452,3.77626e+06
453,5.0857e+06
454,7.1639e+06
455,4.11418e+06
456,1.40237e+06
457,2.14579e+06
458,5.5081e+06
459,5.4743e+06
460,4.4352e+06
461,4.24934e+06
462,2.38234e+06
463,3.70022e+06
464,1.20637e+07
465,1.22327e+07
466,9.9433e+06
467,1.18694e+07
468,9.22522e+06
469,8.99712e+06
470,9.51245e+06
471,8.83661e+06
472,8.98867e+06
473,2.01907e+06
474,4.13107e+06
475,2.79629e+06
476,4.25779e+06
477,4.08883e+06
478,3.68333e+06
479,6.3529e+06
480,7.53562e+06
481,7.07098e+06
482,1.99373e+06
483,2.49216e+06
484,2.42458e+06
485,3.29472e+06
486,1.73184e+06
487,3.168e+06
488,3.75936e+06
489,3.00749e+06
490,2.83853e+06
491,2.06131e+06
492,4.30003e+06
493,2.83853e+06
494,1.60512e+06
495,2.9568e+06
496,1.57978e+06
497,2.28096e+06
498,1.84166e+06
499,2.45837e+06
500,3.08352e+06
501,4.10573e+06
502,4.46054e+06
503,5.04346e+06
504,6.01498e+06
505,6.45427e+06
506,6.25152e+06
507,6.1248e+06
508,6.1248e+06
509,6.62323e+06
510,6.60634e+06
511,7.43424e+06
512,6.47117e+06
513,6.16704e+06
514,6.29376e+06
515,6.28531e+06
516,6.17549e+06
517,5.88826e+06
518,5.98963e+06
519,5.82067e+06
520,6.3529e+06
521,6.63168e+06
522,6.59789e+06
523,6.20083e+06
524,6.25997e+06
525,7.23994e+06
526,6.74995e+06
527,6.06566e+06
528,5.85446e+06
529,5.62637e+06
530,5.83757e+06
531,5.7024e+06
532,5.87136e+06
533,6.336e+06
534,9.25056e+06
535,1.23003e+07
536,1.42433e+07
537,1.7141e+07
538,1.92192e+07
539,2.18127e+07
540,2.3798e+07
541,2.51497e+07
542,2.42796e+07
543,2.45921e+07
544,2.39247e+07
545,2.42204e+07
546,2.44316e+07
547,2.43894e+07
548,2.3967e+07
549,2.42458e+07
550,2.51328e+07
551,2.68477e+07
552,2.57073e+07
553,2.45161e+07
554,2.30799e+07
555,2.27082e+07
556,2.28434e+07
557,2.18127e+07
558,2.21507e+07
559,2.17958e+07
560,2.12721e+07
561,1.83068e+07
562,1.74958e+07
563,1.54598e+07
564,1.43278e+07
565,1.07712e+07
566,8.56627e+06
567,5.37293e+06
568,3.64109e+06
569,3.3792e+06
570,4.33382e+06
571,4.23245e+06
572,4.76467e+06
573,5.65171e+06
574,5.82912e+06
575,5.79533e+06
576,4.74778e+06
577,3.51437e+06
578,3.8016e+06
579,2.83853e+06
580,1.4615e+06
581,1.36858e+06
582,1.37702e+06
583,2.83008e+06
584,3.70867e+06
585,3.1511e+06
586,2.98214e+06
587,1.99373e+06
588,2.23872e+06
589,2.5175e+06
590,3.34541e+06
591,3.40454e+06
592,3.65798e+06
593,3.54816e+06
594,3.88608e+06
595,4.2409e+06
596,4.19866e+06
