"Interval start","Filtered packets"
0,0
1,39
2,310
3,592
4,513
5,869
6,994
7,1120
8,831
9,1248
10,1177
11,1624
12,1305
13,1063
14,1020
15,1075
16,1018
17,679
18,432
19,461
20,333
21,419
22,528
23,159
24,680
25,1388
26,1354
27,1360
28,1432
29,1437
30,1300
31,1384
32,1537
33,1243
34,1177
35,1335
36,1394
37,1408
38,1353
39,1352
40,1266
41,1164
42,1072
43,1029
44,813
45,827
46,1215
47,1194
48,804
49,1017
50,1601
51,1575
52,956
53,655
54,556
55,614
56,690
57,552
58,126
59,252
60,284
61,195
62,403
63,327
64,464
65,584
66,416
67,494
68,537
69,492
70,688
71,271
72,295
73,327
74,443
75,523
76,727
77,1001
78,1218
79,1207
80,1082
81,960
82,965
83,920
84,731
85,262
86,195
87,272
88,345
89,270
90,242
91,534
92,440
93,342
94,223
95,333
96,290
97,376
98,340
99,200
100,149
101,487
102,270
103,563
104,256
105,419
106,401
107,496
108,358
109,401
110,412
111,419
112,384
113,451
114,566
115,406
116,523
117,524
118,557
119,747
120,1236
121,1187
122,806
123,565
124,549
125,405
126,420
127,305
128,565
129,554
130,424
131,362
132,383
133,445
134,396
135,492
136,718
137,492
138,407
139,500
140,525
141,568
142,511
143,475
144,600
145,522
146,376
147,534
148,388
149,252
150,523
151,406
152,527
153,624
154,657
155,572
156,492
157,653
158,255
159,169
160,276
161,338
162,591
163,579
164,535
165,666
166,556
167,510
168,306
169,543
170,603
171,447
172,258
173,245
174,301
175,333
176,362
177,619
178,819
179,539
180,400
181,414
182,732
183,696
184,667
185,681
186,789
187,566
188,864
189,863
190,687
191,231
192,132
193,378
194,918
195,822
196,710
197,844
198,537
199,381
200,454
201,506
202,521
203,551
204,458
205,480
206,273
207,573
208,704
209,546
210,697
211,804
212,882
213,900
214,975
215,761
216,437
217,478
218,597
219,624
220,713
221,516
222,518
223,150
224,135
225,533
226,188
227,532
228,581
229,523
230,557
231,635
232,197
233,235
234,598
235,438
236,343
237,376
238,424
239,473
240,390
241,528
242,425
243,725
244,1113
245,1059
246,955
247,904
248,834
249,872
250,719
251,719
252,460
253,477
254,608
255,668
256,562
257,276
258,505
259,497
260,522
261,970
262,453
263,374
264,545
265,445
266,581
267,526
268,559
269,372
270,492
271,519
272,1002
273,773
274,760
275,583
276,523
277,465
278,497
279,697
280,667
281,722
282,776
283,389
284,410
285,420
286,481
287,181
288,162
289,204
290,209
291,199
292,111
293,553
294,630
295,815
296,744
297,592
298,517
299,700
300,593
301,79
302,1075
303,887
304,774
305,822
306,805
307,365
308,465
309,782
310,456
311,302
312,467
313,473
314,1134
315,919
316,555
317,608
318,709
319,723
320,807
321,726
322,963
323,809
324,444
325,749
326,774
327,643
328,732
329,1157
330,730
331,632
332,596
333,646
334,688
335,485
336,544
337,525
338,603
339,272
340,174
341,510
342,349
343,317
344,991
345,1203
346,1105
347,1189
348,1042
349,996
350,1110
351,1194
352,1220
353,867
354,857
355,828
356,675
357,730
358,1033
359,1357
360,1304
361,1287
362,1128
363,359
364,302
365,393
366,1593
367,1343
368,1399
369,1320
370,1406
371,659
372,617
373,619
374,513
375,275
376,523
377,456
378,202
379,521
380,535
381,328
382,587
383,423
384,201
385,140
386,502
387,319
388,207
389,241
390,334
391,321
392,474
393,423
394,659
395,255
396,414
397,628
398,387
399,371
400,812
401,580
402,574
403,538
404,441
405,580
406,590
407,646
408,460
409,350
410,473
411,575
412,781
413,902
414,423
415,407
416,602
417,626
418,796
419,440
420,446
421,1035
422,1391
423,1438
424,1881
425,1764
426,526
427,568
428,2155
429,684
430,618
431,535
432,1426
433,1863
434,2011
435,981
436,489
437,1080
438,770
439,760
440,628
441,435
442,315
443,1002
444,1513
445,802
446,1182
447,725
448,421
449,710
450,334
451,425
452,447
453,602
454,848
455,487
456,166
457,254
458,652
459,648
460,525
461,503
462,282
463,438
464,1428
465,1448
466,1177
467,1405
468,1092
469,1065
470,1126
471,1046
472,1064
473,239
474,489
475,331
476,504
477,484
478,436
479,752
480,892
481,837
482,236
483,295
484,287
485,390
486,205
487,375
488,445
489,356
490,336
491,244
492,509
493,336
494,190
495,350
496,187
497,270
498,218
499,291
500,365
501,486
502,528
503,597
504,712
505,764
506,740
507,725
508,725
509,784
510,782
511,880
512,766
513,730
514,745
515,744
516,731
517,697
518,709
519,689
520,752
521,785
522,781
523,734
524,741
525,857
526,799
527,718
528,693
529,666
530,691
531,675
532,695
533,750
534,1095
535,1456
536,1686
537,2029
538,2275
539,2582
540,2817
541,2977
542,2874
543,2911
544,2832
545,2867
546,2892
547,2887
548,2837
549,2870
550,2975
551,3178
552,3043
553,2902
554,2732
555,2688
556,2704
557,2582
558,2622
559,2580
560,2518
561,2167
562,2071
563,1830
564,1696
565,1275
566,1014
567,636
568,431
569,400
570,513
571,501
572,564
573,669
574,690
575,686
576,562
577,416
578,450
579,336
580,173
581,162
582,163
583,335
584,439
585,373
586,353
587,236
588,265
589,298
590,396
591,403
592,433
593,420
594,460
595,502
596,497
597,410
