"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4.03814e+06
8,4.72243e+06
9,4.57037e+06
10,4.67174e+06
11,4.58726e+06
12,4.74778e+06
13,4.51968e+06
14,4.32538e+06
15,6.59789e+06
16,4.16486e+06
17,4.42675e+06
18,4.53658e+06
19,4.53658e+06
20,4.68019e+06
21,4.51123e+06
22,4.86605e+06
23,4.67174e+06
24,6.48806e+06
25,4.35917e+06
26,4.57037e+06
27,4.54502e+06
28,4.18176e+06
29,4.30003e+06
30,4.19021e+06
31,4.19866e+06
32,6.66547e+06
33,4.35917e+06
34,4.46899e+06
35,4.8576e+06
36,4.76467e+06
37,4.8407e+06
38,4.84915e+06
39,4.61261e+06
40,6.69926e+06
41,4.61261e+06
42,4.74778e+06
43,4.68864e+06
44,4.68019e+06
45,4.69709e+06
46,4.63795e+06
47,4.67174e+06
48,5.03501e+06
49,6.83443e+06
50,4.79846e+06
51,4.69709e+06
52,4.86605e+06
53,5.03501e+06
54,4.89984e+06
55,4.8576e+06
56,4.90829e+06
57,6.78374e+06
58,4.97587e+06
59,4.83226e+06
60,4.8407e+06
61,4.8745e+06
62,4.93363e+06
63,5.00122e+06
64,4.97587e+06
65,7.08787e+06
66,5.09414e+06
67,5.20397e+06
68,5.17862e+06
69,5.12794e+06
70,5.13638e+06
71,5.01811e+06
72,5.03501e+06
73,5.00966e+06
74,6.82598e+06
75,4.49434e+06
76,4.4352e+06
77,4.4352e+06
78,4.51123e+06
79,4.51123e+06
80,4.40986e+06
81,4.40141e+06
82,6.47962e+06
83,4.31693e+06
84,4.21555e+06
85,4.19021e+06
86,4.25779e+06
87,4.49434e+06
88,4.46054e+06
89,4.25779e+06
90,6.30221e+06
91,3.84384e+06
92,4.40141e+06
93,4.18176e+06
94,3.91987e+06
95,4.55347e+06
96,5.30534e+06
97,4.84915e+06
98,4.2071e+06
99,6.43738e+06
100,4.13952e+06
101,4.13107e+06
102,4.71398e+06
103,4.70554e+06
104,4.89139e+06
105,5.00966e+06
106,4.8407e+06
107,6.58944e+06
108,4.57037e+06
109,4.49434e+06
110,4.42675e+06
111,4.36762e+06
112,4.36762e+06
113,4.68019e+06
114,4.73088e+06
115,6.72461e+06
116,4.61261e+06
117,4.52813e+06
118,4.82381e+06
119,4.8576e+06
120,4.96742e+06
121,4.73933e+06
122,4.8576e+06
123,4.93363e+06
124,6.86822e+06
125,4.99277e+06
126,4.94208e+06
127,4.91674e+06
128,4.88294e+06
129,4.81536e+06
130,4.83226e+06
131,4.62106e+06
132,6.63168e+06
133,4.57037e+06
134,4.60416e+06
135,4.6633e+06
136,4.78157e+06
137,4.8576e+06
138,4.6464e+06
139,4.76467e+06
140,6.91046e+06
141,4.63795e+06
142,4.90829e+06
143,5.0519e+06
144,5.36448e+06
145,5.36448e+06
146,5.24621e+06
147,5.35603e+06
148,5.33069e+06
149,7.13011e+06
150,5.07725e+06
151,5.11949e+06
152,5.44051e+06
153,4.99277e+06
154,4.95898e+06
155,5.06035e+06
156,6.55565e+06
157,8.16077e+06
158,6.36134e+06
159,5.75309e+06
160,5.94739e+06
161,6.5303e+06
162,5.93894e+06
163,5.55878e+06
164,5.63482e+06
165,7.392e+06
166,4.6464e+06
167,4.54502e+06
168,4.51123e+06
169,4.61261e+06
170,4.50278e+06
171,4.96742e+06
172,5.34758e+06
173,4.91674e+06
174,7.04563e+06
175,5.06035e+06
176,5.01811e+06
177,5.15328e+06
178,5.28845e+06
179,5.31379e+06
180,4.95898e+06
181,5.09414e+06
182,7.43424e+06
183,5.21242e+06
184,5.62637e+06
185,5.38138e+06
186,5.18707e+06
187,5.10259e+06
188,5.02656e+06
189,4.8745e+06
190,7.03718e+06
191,4.8407e+06
192,4.97587e+06
193,4.79846e+06
194,4.6464e+06
195,4.68019e+06
196,4.73088e+06
197,4.8407e+06
198,4.73933e+06
199,6.80909e+06
200,4.61261e+06
201,4.60416e+06
202,4.83226e+06
203,4.69709e+06
204,4.70554e+06
205,4.82381e+06
206,4.88294e+06
207,6.76685e+06
208,4.8745e+06
209,5.02656e+06
210,4.92518e+06
211,5.15328e+06
212,5.19552e+06
213,5.55034e+06
214,4.77312e+06
215,6.7584e+06
