"Interval start","Filtered packets"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,478
8,559
9,541
10,553
11,543
12,562
13,535
14,512
15,781
16,493
17,524
18,537
19,537
20,554
21,534
22,576
23,553
24,768
25,516
26,541
27,538
28,495
29,509
30,496
31,497
32,789
33,516
34,529
35,575
36,564
37,573
38,574
39,546
40,793
41,546
42,562
43,555
44,554
45,556
46,549
47,553
48,596
49,809
50,568
51,556
52,576
53,596
54,580
55,575
56,581
57,803
58,589
59,572
60,573
61,577
62,584
63,592
64,589
65,839
66,603
67,616
68,613
69,607
70,608
71,594
72,596
73,593
74,808
75,532
76,525
77,525
78,534
79,534
80,522
81,521
82,767
83,511
84,499
85,496
86,504
87,532
88,528
89,504
90,746
91,455
92,521
93,495
94,464
95,539
96,628
97,574
98,498
99,762
100,490
101,489
102,558
103,557
104,579
105,593
106,573
107,780
108,541
109,532
110,524
111,517
112,517
113,554
114,560
115,796
116,546
117,536
118,571
119,575
120,588
121,561
122,575
123,584
124,813
125,591
126,585
127,582
128,578
129,570
130,572
131,547
132,785
133,541
134,545
135,552
136,566
137,575
138,550
139,564
140,818
141,549
142,581
143,598
144,635
145,635
146,621
147,634
148,631
149,844
150,601
151,606
152,644
153,591
154,587
155,599
156,776
157,966
158,753
159,681
160,704
161,773
162,703
163,658
164,667
165,875
166,550
167,538
168,534
169,546
170,533
171,588
172,633
173,582
174,834
175,599
176,594
177,610
178,626
179,629
180,587
181,603
182,880
183,617
184,666
185,637
186,614
187,604
188,595
189,577
190,833
191,573
192,589
193,568
194,550
195,554
196,560
197,573
198,561
199,806
200,546
201,545
202,572
203,556
204,557
205,571
206,578
207,801
208,577
209,595
210,583
211,610
212,615
213,657
214,565
215,800
216,622
217,717
218,647
219,544
220,500
221,483
222,490
223,490
224,713
225,467
226,481
227,479
228,511
229,491
230,535
231,540
232,766
233,492
234,472
235,476
236,485
237,513
238,515
239,548
240,772
241,552
242,589
243,617
244,601
245,564
246,574
247,564
248,522
249,748
250,512
251,509
252,524
253,495
254,550
255,539
256,565
257,791
258,527
259,542
260,550
261,556
262,540
263,575
264,542
265,782
266,499
267,493
268,481
269,485
270,463
271,533
272,546
273,520
274,874
275,762
276,802
277,712
278,742
279,673
280,682
281,685
282,905
283,686
284,688
285,689
286,669
287,620
288,570
289,570
290,790
291,553
292,574
293,570
294,575
295,563
296,573
297,574
298,554
299,789
300,538
301,557
302,561
303,564
304,563
305,568
306,551
307,794
308,561
309,555
310,549
311,563
312,577
313,562
314,554
315,819
316,541
317,565
318,557
319,544
320,552
321,548
322,575
323,570
324,803
325,573
326,596
327,586
328,570
329,600
330,593
331,573
332,824
333,714
334,733
335,624
336,571
337,568
338,603
339,572
340,829
341,581
342,605
343,604
344,605
345,599
346,585
347,595
348,592
349,804
350,578
351,576
352,557
353,539
354,547
355,519
356,533
357,776
358,532
359,531
360,531
361,489
362,531
363,516
364,513
365,757
366,517
367,524
368,536
369,503
370,503
371,510
372,530
373,507
374,738
375,480
376,476
377,499
378,511
379,504
380,531
381,534
382,761
383,532
384,520
385,568
386,565
387,589
388,589
389,591
390,809
391,538
392,549
393,540
394,530
395,562
396,632
397,681
398,673
399,899
400,678
401,678
402,685
403,674
404,668
405,642
406,543
407,782
408,539
409,531
410,521
411,539
412,537
413,539
414,554
415,792
416,545
417,590
418,575
419,570
420,567
421,572
422,588
423,610
424,801
425,581
426,576
427,600
428,598
429,590
430,583
431,583
432,809
433,604
434,586
435,598
436,602
437,629
438,646
439,627
440,840
441,609
442,604
443,582
444,559
445,578
446,551
447,512
448,493
449,710
450,461
451,479
452,476
453,457
454,449
455,457
456,462
457,707
458,466
459,466
460,487
461,509
462,532
463,532
464,537
465,791
466,525
467,537
468,536
469,531
470,535
471,527
472,534
473,514
474,750
475,503
476,508
477,521
478,519
479,527
480,533
481,544
482,792
483,566
484,566
485,565
486,563
487,570
488,553
489,549
490,751
491,522
492,543
493,521
494,538
495,515
496,511
497,511
498,500
499,741
500,497
501,521
502,534
503,556
504,545
505,546
506,527
507,753
508,524
509,541
510,522
511,546
512,557
513,587
514,650
515,753
516,616
517,755
518,856
519,727
520,672
521,690
522,746
523,712
524,917
525,695
526,714
527,651
528,602
529,553
530,542
531,550
532,772
533,546
534,531
535,504
536,507
537,528
538,498
539,531
540,749
541,486
542,506
543,470
544,504
545,533
546,495
547,493
548,469
549,719
550,461
551,457
552,486
553,484
554,484
555,492
556,499
557,752
558,523
559,512
560,523
561,524
562,531
563,559
564,560
565,799
566,541
567,558
568,556
569,545
570,555
571,549
572,573
573,549
574,757
575,565
576,544
577,554
578,565
579,557
580,564
581,558
582,777
583,544
584,533
585,540
586,523
587,523
588,491
589,479
590,744
591,460
592,498
593,512
594,514
595,517
596,506
597,521
598,524
599,766
600,538
601,520
602,521
603,378
604,631
